open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1715904000000,2943.22,2950.86,2939.20,2944.13,29598.797,1715905799999,87173558.25491,48571,16169.483,47622249.58265,0
1715905800000,2944.13,2952.10,2944.12,2951.60,14331.747,1715907599999,42246659.77682,27792,7762.901,22883939.36205,0
1715907600000,2951.59,2951.79,2931.36,2938.21,26711.018,1715909399999,78550930.49389,48559,9237.402,27163435.09696,0
1715909400000,2938.20,2948.95,2938.20,2944.08,24527.004,1715911199999,72215375.18258,41034,13598.651,40035558.53548,0
1715911200000,2944.08,2947.83,2939.23,2945.81,19834.460,1715912999999,58379994.84480,34608,11220.046,33026301.45566,0
1715913000000,2945.80,2955.18,2944.43,2949.09,19153.580,1715914799999,56521795.52427,39803,11006.696,32481191.42192,0
1715914800000,2949.08,2954.78,2946.67,2950.50,14949.461,1715916599999,44093827.83331,32363,8061.863,23779347.92978,0
1715916600000,2950.51,2955.00,2946.74,2948.84,21584.649,1715918399999,63681818.99333,41032,11201.894,33051264.32794,0
1715918400000,2948.84,2955.95,2948.54,2951.04,12026.920,1715920199999,35505487.90081,28677,6270.060,18509757.37617,0
1715920200000,2951.03,2952.51,2943.37,2944.30,15936.454,1715921999999,46964677.02579,34055,5831.918,17188306.48528,0
1715922000000,2944.29,2948.88,2941.21,2941.24,12284.796,1715923799999,36183816.99743,27017,4959.409,14609356.02119,0
1715923800000,2941.24,2946.31,2939.40,2946.11,11729.604,1715925599999,34515970.50171,24649,6082.134,17899426.58951,0
1715925600000,2946.12,2946.31,2938.56,2940.94,15401.275,1715927399999,45311479.40895,31163,8649.810,25448591.81416,0
1715927400000,2940.94,2967.25,2939.57,2959.04,59795.513,1715929199999,176788498.20856,81608,35523.140,105024299.68651,0
1715929200000,2959.00,3030.00,2958.96,3028.41,263080.715,1715930999999,789529892.92359,251199,143471.197,430398196.74253,0
1715931000000,3028.42,3032.71,3013.21,3023.58,124004.737,1715932799999,374908050.26797,141501,58285.155,176218201.29694,0
1715932800000,3023.59,3060.00,3016.29,3046.72,160026.372,1715934599999,486774436.02113,174887,87016.173,264713762.41289,0
1715934600000,3046.71,3047.10,3023.00,3026.88,86692.416,1715936399999,263107180.50050,112263,37573.391,114041419.09564,0
1715936400000,3026.88,3034.44,3022.02,3029.01,53459.717,1715938199999,161830755.11618,72076,32043.754,97003863.50256,0
1715938200000,3029.01,3032.49,3026.31,3026.57,27225.816,1715939999999,82497404.65243,48797,14373.524,43555315.57877,0
1715940000000,3026.57,3034.64,3016.15,3032.62,71147.405,1715941799999,215248095.52973,87727,38286.890,115874532.09240,0
1715941800000,3032.62,3038.00,3025.13,3035.44,53006.183,1715943599999,160808023.83079,74967,27734.242,84154639.62816,0
1715943600000,3035.44,3036.42,3021.94,3030.58,43186.256,1715945399999,130750057.54790,64296,19631.837,59434341.68662,0
1715945400000,3030.58,3034.37,3026.71,3029.21,17032.939,1715947199999,51622616.99392,37195,8438.117,25576673.90028,0
1715947200000,3029.21,3037.50,3018.31,3036.84,47329.765,1715948999999,143320119.88435,67322,22753.799,68915045.36007,0
1715949000000,3036.85,3082.89,3036.84,3078.31,200903.638,1715950799999,615477967.90350,193291,114383.630,350398651.16163,0
1715950800000,3078.32,3087.62,3067.11,3071.26,112284.273,1715952599999,345521622.25560,135097,49685.504,152905805.86790,0
1715952600000,3071.25,3072.81,3052.01,3058.27,95249.245,1715954399999,291496845.62913,112422,40932.167,125298569.38552,0
1715954400000,3058.28,3093.94,3055.82,3086.07,94333.083,1715956199999,290050864.85204,115812,53239.533,163706252.81558,0
1715956200000,3086.08,3091.77,3077.98,3090.10,79877.658,1715957999999,246292695.12078,97982,39406.053,121529275.11058,0
1715958000000,3090.10,3112.00,3074.30,3110.26,145875.318,1715959799999,451270376.39608,169353,85024.434,263088218.85242,0
1715959800000,3110.27,3116.90,3096.13,3109.85,112266.120,1715961599999,348758656.34093,147344,55280.991,171754819.61899,0
1715961600000,3109.85,3119.00,3100.33,3104.32,61685.539,1715963399999,191762168.80382,97656,29874.244,92895970.14871,0
1715963400000,3104.32,3106.49,3092.00,3094.68,50525.227,1715965199999,156528701.05064,76033,20613.830,63866936.44169,0
1715965200000,3094.68,3101.99,3088.56,3094.38,45126.902,1715966999999,139721016.73448,68734,22359.762,69233448.56843,0
1715967000000,3094.37,3094.73,3082.50,3084.62,61727.060,1715968799999,190641750.01275,62055,27657.607,85427137.63665,0
1715968800000,3084.61,3084.92,3066.00,3078.08,73713.047,1715970599999,226617360.37982,96750,35141.627,108028095.31133,0
1715970600000,3078.07,3088.18,3074.44,3085.71,35116.764,1715972399999,108228386.82147,49000,20919.877,64473560.07353,0
1715972400000,3085.72,3085.72,3077.53,3083.35,20692.245,1715974199999,63758460.56943,36972,10248.319,31579057.99434,0
1715974200000,3083.34,3088.25,3078.47,3083.52,19901.316,1715975999999,61361792.58742,36432,9825.649,30299629.94632,0
1715976000000,3083.53,3088.25,3079.18,3085.89,17070.765,1715977799999,52629068.05872,30694,10783.224,33243971.68950,0
1715977800000,3085.89,3091.44,3084.39,3087.63,13561.703,1715979599999,41867326.06717,24616,7449.125,22998617.43245,0
1715979600000,3087.63,3092.80,3085.19,3091.74,14278.897,1715981399999,44100053.37059,24149,6788.814,20970863.10564,0
