open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1705449600000,2587.40,2590.21,2579.54,2582.49,65139.180,1705451399999,168323169.86375,69487,23876.777,61703917.91279,0
1705451400000,2582.48,2592.40,2581.50,2588.69,44871.513,1705453199999,116072436.73050,49195,23918.239,61873961.42904,0
1705453200000,2588.69,2593.00,2584.06,2592.37,35460.339,1705454999999,91790955.40138,45241,18227.732,47187481.66643,0
1705455000000,2592.38,2593.01,2577.00,2578.56,35256.468,1705456799999,91058798.90754,55933,15103.297,39010465.60642,0
1705456800000,2578.56,2581.76,2572.83,2577.15,32587.654,1705458599999,83988630.89008,50633,15144.314,39034056.92419,0
1705458600000,2577.15,2582.13,2572.78,2576.72,24991.570,1705460399999,64428171.19546,40079,11671.910,30092912.07097,0
1705460400000,2576.72,2579.21,2573.96,2575.99,15869.268,1705462199999,40882639.27150,34231,8083.599,20825897.51732,0
1705462200000,2575.99,2576.96,2570.99,2571.60,22581.300,1705463999999,58121057.93618,43782,10987.087,28281710.60462,0
1705464000000,2571.60,2575.63,2566.35,2566.50,27549.066,1705465799999,70818927.61575,47225,12464.192,32041975.34684,0
1705465800000,2566.49,2569.52,2562.00,2568.73,33891.661,1705467599999,86974400.65974,49883,16997.119,43618483.35316,0
1705467600000,2568.73,2573.03,2566.03,2571.58,20852.992,1705469399999,53595360.12326,34969,12825.789,32961305.40896,0
1705469400000,2571.58,2573.55,2561.00,2562.47,32560.044,1705471199999,83560495.63101,43162,14748.356,37849902.85965,0
1705471200000,2562.48,2570.86,2561.04,2565.89,30426.681,1705472999999,78077214.62115,51251,15418.658,39568031.89133,0
1705473000000,2565.92,2568.00,2560.62,2562.75,19595.836,1705474799999,50244784.52515,32985,7797.147,19994879.70203,0
1705474800000,2562.75,2565.98,2555.31,2557.25,39920.717,1705476599999,102176889.30577,60835,18856.678,48268237.49328,0
1705476600000,2557.25,2560.80,2551.25,2552.14,55083.488,1705478399999,140778836.02997,74113,25006.989,63914903.12046,0
1705478400000,2552.13,2554.12,2535.19,2545.28,102008.702,1705480199999,259387378.48940,129913,48378.363,123013914.46524,0
1705480200000,2545.29,2548.65,2541.01,2546.59,29066.546,1705481999999,73974474.06131,49330,14475.825,36843722.89981,0
1705482000000,2546.59,2551.70,2545.25,2551.39,33743.885,1705483799999,86007565.96781,47836,19401.182,49449022.30500,0
1705483800000,2551.40,2551.60,2542.02,2544.31,23963.418,1705485599999,61014338.18336,44123,11758.947,29939999.22961,0
1705485600000,2544.31,2549.45,2539.42,2548.96,35947.915,1705487399999,91472133.99572,54651,20305.996,51674610.82475,0
1705487400000,2548.97,2553.00,2543.41,2552.96,38149.747,1705489199999,97247091.58011,57874,19841.881,50583878.88934,0
1705489200000,2552.95,2553.62,2543.56,2546.78,27479.973,1705490999999,70027104.16076,46347,13980.960,35631585.09218,0
1705491000000,2546.78,2550.56,2541.12,2543.08,30873.253,1705492799999,78561916.24809,49955,14754.384,37542828.22766,0
1705492800000,2543.08,2544.43,2532.00,2542.34,59176.884,1705494599999,150231825.90192,90424,28768.914,73041045.62941,0
1705494600000,2542.35,2552.97,2534.41,2552.33,63221.123,1705496399999,160925211.12527,87001,36150.612,92025578.93279,0
1705496400000,2552.34,2552.89,2541.61,2546.45,34263.607,1705498199999,87281401.58552,60874,15776.935,40189142.98990,0
1705498200000,2546.45,2551.12,2540.61,2543.58,46894.175,1705499999999,119372008.96744,68085,22697.405,57781214.85452,0
1705500000000,2543.58,2553.59,2538.83,2551.47,64426.850,1705501799999,164119799.95819,85688,33167.956,84500264.30837,0
1705501800000,2551.47,2575.26,2537.84,2550.27,197681.634,1705503599999,505903968.72311,208338,99402.431,254461831.83261,0
1705503600000,2550.27,2564.13,2534.85,2550.71,182342.193,1705505399999,465429564.86059,168923,98001.028,250206890.95758,0
1705505400000,2550.72,2554.66,2536.00,2539.31,92254.208,1705507199999,234736785.51933,119122,39786.772,101242598.26646,0
1705507200000,2539.32,2545.53,2533.58,2537.66,61864.421,1705508999999,157078341.64792,97511,29995.111,76170383.57294,0
1705509000000,2537.66,2540.89,2520.60,2534.77,92090.612,1705510799999,233222033.09281,113434,42521.772,107706367.78444,0
1705510800000,2534.77,2535.44,2523.23,2533.52,53455.666,1705512599999,135209989.01509,86398,27465.701,69474816.68775,0
1705512600000,2533.52,2537.95,2528.80,2530.08,30517.927,1705514399999,77297351.47922,50132,15762.587,39925543.16076,0
