open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1726531200000,2294.61,2298.07,2290.22,2292.30,21197.193,1726532999999,48631728.45235,29259,10732.057,24621614.26496,0
1726533000000,2292.29,2293.07,2271.49,2271.53,44529.300,1726534799999,101601659.38170,54575,18120.864,41349764.14577,0
1726534800000,2271.54,2280.56,2262.00,2270.38,80961.180,1726536599999,183810000.45233,80631,37970.681,86231476.68743,0
1726536600000,2270.38,2278.45,2268.90,2274.47,24444.290,1726538399999,55583316.40200,41569,13064.025,29708254.70530,0
1726538400000,2274.47,2282.90,2273.39,2280.41,26898.074,1726540199999,61253750.33274,36503,12847.982,29260397.10248,0
1726540200000,2280.32,2288.30,2278.04,2285.77,31633.931,1726541999999,72271131.07511,36187,16501.115,37696922.91493,0
1726542000000,2285.77,2287.56,2280.63,2283.31,22153.934,1726543799999,50608254.31290,31152,9155.313,20916640.50891,0
1726543800000,2283.30,2285.92,2282.34,2282.92,11456.289,1726545599999,26165652.20463,21042,3872.485,8845272.83915,0
1726545600000,2282.92,2285.59,2281.20,2284.49,11957.509,1726547399999,27306876.87380,21605,6065.936,13853805.46331,0
1726547400000,2284.50,2289.85,2284.02,2287.79,22592.111,1726549199999,51679248.62867,27572,13956.852,31926678.47408,0
1726549200000,2287.79,2293.46,2286.54,2292.80,17225.304,1726550999999,39465941.89918,24775,8998.791,20617912.00528,0
1726551000000,2292.80,2305.41,2292.33,2300.69,44704.495,1726552799999,102805930.92623,48952,23185.750,53316321.19155,0
1726552800000,2300.69,2302.21,2295.47,2297.60,27555.880,1726554599999,63333572.96012,35888,12549.159,28842642.09779,0
1726554600000,2297.59,2303.30,2297.59,2298.24,16868.081,1726556399999,38812760.33688,23721,6454.757,14852245.06143,0
1726556400000,2298.23,2303.39,2294.20,2301.28,20490.798,1726558199999,47116608.08518,31101,10274.971,23628290.53473,0
1726558200000,2301.14,2309.88,2301.06,2308.09,34965.983,1726559999999,80671278.99970,40511,21358.828,49271540.77733,0
1726560000000,2308.09,2316.00,2305.01,2305.73,59562.734,1726561799999,137566419.40731,56563,25932.310,59909383.26805,0
1726561800000,2305.74,2312.54,2305.74,2308.78,20534.554,1726563599999,47415579.35385,32485,10530.776,24316738.75686,0
1726563600000,2308.79,2313.73,2301.15,2304.32,44050.843,1726565399999,101568608.90499,51779,20620.242,47553171.36455,0
1726565400000,2304.32,2320.00,2303.50,2312.71,45782.239,1726567199999,105893701.35460,50484,25027.407,57888808.41316,0
1726567200000,2312.70,2315.44,2306.01,2309.56,47937.103,1726568999999,110814843.64359,50118,23709.887,54819764.02026,0
1726569000000,2309.56,2317.86,2307.70,2316.21,29703.654,1726570799999,68721780.54548,40616,14795.848,34234680.39381,0
1726570800000,2316.19,2322.91,2308.20,2309.57,47843.655,1726572599999,110780707.54276,58453,23705.177,54906483.22585,0
1726572600000,2309.58,2311.79,2305.22,2307.29,23153.404,1726574399999,53444662.10921,34008,9428.920,21766113.18658,0
1726574400000,2307.29,2313.66,2305.57,2313.09,23893.503,1726576199999,55189998.46932,37731,13207.220,30507920.23319,0
1726576200000,2313.09,2320.89,2309.00,2317.48,34394.505,1726577999999,79619631.91002,52577,18508.763,42848727.59297,0
1726578000000,2317.47,2327.60,2315.15,2322.14,52030.381,1726579799999,120773260.61287,68019,27043.688,62785573.95443,0
1726579800000,2322.13,2328.95,2300.76,2305.41,93571.890,1726581599999,216398120.07062,110520,43807.637,101345995.44243,0
1726581600000,2305.41,2364.00,2304.44,2353.09,273788.659,1726583399999,641010272.29881,228100,150467.531,352157826.57150,0
1726583400000,2353.08,2356.14,2331.72,2345.29,153473.618,1726585199999,359926265.82740,159133,73450.582,172271448.72523,0
1726585200000,2345.30,2392.62,2344.88,2383.30,285601.170,1726586999999,678031729.33756,231229,159091.163,377605033.06238,0
