open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1721174400000,3442.84,3459.06,3440.36,3452.03,31117.753,1721176199999,107425500.20401,49062,16077.362,55492046.97673,0
1721176200000,3452.04,3469.38,3451.47,3463.60,30058.166,1721177999999,104032171.67447,53419,16172.984,55978408.79291,0
1721178000000,3463.59,3517.14,3463.22,3492.74,160320.398,1721179799999,560395095.70509,184518,87351.572,305249859.35292,0
1721179800000,3492.74,3501.66,3480.29,3480.75,54704.271,1721181599999,190965621.41222,73956,23615.710,82463796.89516,0
1721181600000,3480.75,3492.22,3470.56,3485.41,44701.874,1721183399999,155626333.30548,58925,22608.580,78720200.88823,0
1721183400000,3485.40,3490.56,3473.00,3476.69,30031.313,1721185199999,104566984.95534,50693,13814.553,48108813.91269,0
1721185200000,3476.70,3485.51,3462.21,3477.28,61097.763,1721186999999,212238073.06779,70235,29335.759,101933396.33879,0
1721187000000,3477.28,3487.35,3476.28,3478.87,31391.720,1721188799999,109311570.28080,44315,15814.900,55075662.63323,0
1721188800000,3478.88,3485.83,3476.91,3476.92,17620.564,1721190599999,61340251.05785,34797,9164.818,31907751.65382,0
1721190600000,3476.91,3494.63,3470.28,3494.62,26417.709,1721192399999,92040992.98597,51027,14979.717,52197428.91054,0
1721192400000,3494.62,3514.94,3488.00,3511.91,81333.205,1721194199999,284703000.99539,81410,44192.412,154713168.09563,0
1721194200000,3511.91,3511.92,3495.03,3497.04,43818.738,1721195999999,153453669.04068,62071,20184.243,70688407.71752,0
1721196000000,3497.04,3507.19,3485.20,3486.01,56943.638,1721197799999,199202098.22695,62289,28543.633,99866597.30229,0
1721197800000,3486.01,3495.13,3481.11,3489.63,52477.936,1721199599999,183064125.74429,58871,27891.625,97302164.52111,0
1721199600000,3489.64,3491.66,3481.47,3486.66,29132.611,1721201399999,101591336.39428,49911,14496.672,50554181.41489,0
1721201400000,3486.65,3494.34,3477.61,3484.53,47042.879,1721203199999,164001487.87872,60265,21785.836,75949142.14170,0
1721203200000,3484.52,3489.64,3462.02,3488.46,74027.575,1721204999999,257260035.19501,98596,34189.860,118828256.58529,0
1721205000000,3488.47,3499.82,3476.80,3479.38,47186.969,1721206799999,164678182.05605,78108,23510.146,82057562.14298,0
1721206800000,3479.38,3497.95,3477.21,3487.96,44857.097,1721208599999,156410575.82674,62184,23531.366,82038319.19428,0
1721208600000,3487.96,3495.11,3484.33,3490.37,19985.438,1721210399999,69771806.21993,42931,10566.085,36888263.55308,0
1721210400000,3490.36,3490.49,3477.18,3490.34,21815.927,1721212199999,75992251.70881,43874,9218.735,32118057.11047,0
1721212200000,3490.34,3490.35,3477.40,3478.54,19078.645,1721213999999,66444390.44604,35702,9021.144,31417048.88282,0
1721214000000,3478.54,3480.04,3447.02,3458.07,85589.242,1721215799999,296460892.77937,105011,38319.998,132752102.38140,0
1721215800000,3458.08,3458.69,3440.24,3448.13,79543.093,1721217599999,274288903.05935,106909,39769.680,137137480.07078,0
1721217600000,3448.12,3461.00,3443.30,3453.44,51036.164,1721219399999,176227448.78823,72337,25686.486,88702956.91373,0
1721219400000,3453.44,3462.45,3447.17,3453.20,23539.416,1721221199999,81311583.40998,51526,12530.352,43283361.23909,0
1721221200000,3453.20,3462.33,3436.21,3445.58,39888.315,1721222999999,137609501.30368,62866,16758.820,57831140.97810,0
1721223000000,3445.59,3474.33,3440.18,3465.97,85689.028,1721224799999,296399442.24320,125776,44860.998,155183308.20550,0
1721224800000,3465.96,3471.80,3445.18,3448.00,54293.822,1721226599999,187597584.18853,103450,24472.891,84560660.25943,0
1721226600000,3448.00,3465.00,3446.15,3455.44,33178.455,1721228399999,114710318.53299,75726,15810.629,54660893.09907,0
