open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1731801600000,3134.71,3154.90,3132.81,3153.36,34382.145,1731803399999,108029781.63890,90039,19404.849,60971767.04050,0
1731803400000,3153.37,3155.88,3143.75,3150.94,22964.910,1731805199999,72354097.34144,74410,11954.934,37668542.86207,0
1731805200000,3150.93,3150.94,3138.23,3138.96,25585.090,1731806999999,80439441.49332,67704,9197.721,28916695.03603,0
1731807000000,3138.96,3138.97,3074.01,3086.43,180087.654,1731808799999,558374160.20407,261970,71567.570,221858615.26879,0
1731808800000,3086.43,3086.43,3035.00,3052.00,211519.447,1731810599999,646102454.67500,310467,94346.630,288240796.47810,0
1731810600000,3052.00,3072.00,3043.19,3067.03,62886.282,1731812399999,192363774.64512,136931,36339.245,111185546.51406,0
1731812400000,3067.02,3074.45,3054.25,3066.90,48319.458,1731814199999,148048209.03589,101726,22146.876,67861148.43805,0
1731814200000,3066.90,3082.22,3066.12,3081.83,37576.701,1731815999999,115606333.03059,71581,19309.841,59406501.22667,0
1731816000000,3081.82,3096.20,3077.25,3094.66,58585.793,1731817799999,180847410.39154,123731,29558.124,91253742.53901,0
1731817800000,3094.66,3138.60,3085.54,3128.36,151006.736,1731819599999,470700466.92653,205872,81420.789,253726272.16588,0
1731819600000,3128.35,3137.37,3111.08,3112.63,59895.537,1731821399999,187064592.59822,112604,26779.054,83640531.14250,0
1731821400000,3112.63,3115.31,3095.09,3105.20,67661.031,1731823199999,209970403.45724,95787,29433.336,91357420.14381,0
1731823200000,3105.20,3119.76,3103.87,3115.49,25113.904,1731824999999,78184706.39868,57624,13627.036,42425398.81385,0
1731825000000,3115.50,3143.70,3115.48,3136.18,56591.242,1731826799999,177169069.72978,101551,31117.578,97411620.01937,0
1731826800000,3136.18,3141.05,3122.23,3139.02,47278.847,1731828599999,148053564.18772,89473,21285.206,66672429.69335,0
1731828600000,3139.02,3149.98,3137.89,3139.22,38935.606,1731830399999,122416077.41395,75714,17525.992,55102992.16796,0
