open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1702857600000,2197.93,2206.89,2195,2202.23,91996.083,1702859399999,202424713.51458,72602,45471.600,100077182.40321,0
1702859400000,2202.23,2204.60,2192.80,2194.89,44259.693,1702861199999,97310845.02273,43165,21568.920,47430087.88534,0
1702861200000,2194.73,2200.46,2186.07,2191.53,65554.592,1702862999999,143819545.13362,58086,28312.072,62135747.62751,0
1702863000000,2191.53,2192.30,2170.53,2171.03,172825.527,1702864799999,376703906.53550,137758,76989.083,167821296.31389,0
1702864800000,2171.08,2180.86,2169.37,2173.88,66999.891,1702866599999,145822947.44034,58919,35113.291,76428999.15149,0
1702866600000,2173.89,2175.64,2161.57,2167.31,81348.935,1702868399999,176479081.17691,76527,38447.425,83431938.45457,0
1702868400000,2167.32,2173.63,2165.43,2172.20,44308.496,1702870199999,96201476.27928,44887,23903.484,51899708.90328,0
1702870200000,2172.20,2176.98,2169.77,2175.75,26904.943,1702871999999,58472621.56818,29444,14981.534,32562289.26932,0
1702872000000,2175.75,2180,2173.20,2179.37,32315.475,1702873799999,70339020.29297,29300,17710.560,38553750.98678,0
1702873800000,2179.37,2179.78,2173.34,2175.12,25861.623,1702875599999,56268350.55891,25010,12982.014,28242901.03389,0
1702875600000,2175.12,2175.57,2170,2174.56,26515.977,1702877399999,57616613.69553,27984,12028.263,26137171.64470,0
1702877400000,2174.56,2175.36,2165.72,2167.48,25842.687,1702879199999,56053363.11052,29615,10551.554,22887399.76478,0
1702879200000,2167.47,2177.66,2165.53,2176.47,35225.684,1702880999999,76460690.35081,35683,20452.969,44398003.61501,0
1702881000000,2176.47,2183.84,2174.22,2181.23,57563.572,1702882799999,125437490.79079,43131,35699.421,77800534.60342,0
1702882800000,2181.23,2184.30,2178.33,2182.10,23308.891,1702884599999,50857446.84025,25054,11310.421,24678813.95379,0
1702884600000,2182.09,2185.80,2167.48,2170.05,50060.919,1702886399999,108918512.72258,51338,21953.844,47764850.70177,0
1702886400000,2170.05,2177.50,2160.39,2176.30,67253.722,1702888199999,145871693.95634,65102,34726.085,75334462.42497,0
1702888200000,2176.30,2179.31,2172.37,2173.40,30201.538,1702889999999,65711904.42026,33096,13343.530,29034138.97557,0
1702890000000,2173.40,2173.78,2146.02,2151.58,176686.894,1702891799999,381031407.30591,134823,74098.194,159785239.85685,0
1702891800000,2151.57,2166.85,2148.57,2159.78,73695.109,1702893599999,159140039.78173,73688,38022.673,82108051.06819,0
1702893600000,2159.77,2160.30,2118.53,2129.03,227709.334,1702895399999,487087986.64070,171252,92906.956,198775102.19239,0
1702895400000,2129.03,2137.86,2116.56,2137.37,167678.484,1702897199999,357025361.69129,149051,83655.445,178152964.54310,0
1702897200000,2137.38,2149,2133.15,2140.08,88964.825,1702898999999,190510702.19258,79105,43390.482,92914657.08751,0
1702899000000,2140.08,2143.56,2131.53,2143.05,51359.656,1702900799999,109733260.43767,52293,26445.147,56507929.61612,0
1702900800000,2143.05,2144.64,2135.21,2141.76,42177.359,1702902599999,90280871.81185,45057,19875.118,42547006.91131,0
1702902600000,2141.76,2142.35,2128.89,2129.13,38680.459,1702904399999,82553694.88650,44050,17684.645,37742719.04620,0
1702904400000,2129.12,2146.90,2128.39,2143.67,62948.059,1702906199999,134623322.78241,58076,32974.640,70506636.43880,0
1702906200000,2143.67,2161.53,2143.51,2157.52,82458.491,1702907999999,177537063.55141,79525,44396.328,95570761.09587,0
1702908000000,2157.53,2166.61,2153.36,2166.16,67900.720,1702909799999,146615966.07178,61385,31544.056,68129463.32838,0
1702909800000,2166.16,2175.03,2164.79,2170.32,97091.767,1702911599999,210719547.04097,91302,45052.276,97783444.47782,0
1702911600000,2170.31,2171.72,2156.41,2158.27,66400.176,1702913399999,143648807.93426,69110,30005.762,64916037.34188,0
1702913400000,2158.28,2164.70,2153.22,2156.17,48138.932,1702915199999,103952522.01390,52284,23807.749,51422846.43990,0
1702915200000,2156.17,2160.63,2150.31,2158.75,57544.504,1702916999999,124036337.63931,56864,29276.813,63102337.80411,0
1702917000000,2158.74,2164.28,2153.40,2164.03,44897.805,1702918799999,96979944.53536,47920,23807.461,51432423.58063,0
1702918800000,2164.04,2170.88,2158.97,2167.56,55981.206,1702920599999,121183163.82184,49938,29000.750,62787345.89185,0
1702920600000,2167.56,2173.22,2163.53,2163.82,34814.868,1702922399999,75481229.00376,41347,16699.029,36208860.40573,0
1702922400000,2163.82,2164.34,2158.81,2161.56,25530.662,1702924199999,55188230.59817,31911,11273.360,24370001.83610,0
1702924200000,2161.56,2172.00,2161.56,2171.50,20958.502,1702925999999,45418332.73587,26147,11506.689,24932848.13241,0
1702926000000,2171.50,2176.32,2169.23,2173.65,39237.405,1702927799999,85263484.84418,40669,20399.394,44331549.99715,0
1702927800000,2173.66,2177.10,2171.30,2175.42,30504.689,1702929599999,66326202.67124,33650,17068.139,37113038.24142,0
1702929600000,2175.42,2182.00,2167.87,2173.16,39026.989,1702931399999,84885851.35392,47627,20500.428,44599978.84130,0
1702931400000,2173.15,2189.80,2173.00,2186.82,72394.033,1702933199999,158026789.71072,72389,39010.222,85139638.43067,0
1702933200000,2186.82,2212.75,2184.87,2212.19,147197.078,1702934999999,324308760.89995,137626,77819.526,171414144.21692,0
1702935000000,2212.19,2218.97,2207.69,2217.45,63309.950,1702936799999,140206293.09312,72173,32969.805,73017455.34005,0
1702936800000,2217.45,2226.52,2216.35,2217.92,89008.476,1702938599999,197662023.40180,77114,43652.742,96938759.08013,0
1702938600000,2217.93,2218.45,2212.00,2214.00,31165.931,1702940399999,69019569.13408,35825,15734.182,34845909.10121,0
1702940400000,2214.00,2225.00,2214.00,2216.88,56981.940,1702942199999,126534657.41675,55915,30673.526,68107320.11348,0
