open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1729209600000,2605.01,2607.81,2599.22,2602.93,23129.858,1729211399999,60225235.42338,47524,11469.718,29864886.42778,0
1729211400000,2602.94,2602.94,2595.61,2596.46,23169.928,1729213199999,60208558.50813,47394,11601.298,30146497.98758,0
1729213200000,2596.46,2620.00,2596.00,2619.09,39420.737,1729214999999,102900820.35046,60049,21421.133,55927996.32308,0
1729215000000,2619.09,2651.05,2614.60,2643.42,140540.727,1729216799999,370477933.15914,160647,78886.451,207990416.04299,0
1729216800000,2643.43,2645.63,2627.76,2630.73,82197.473,1729218599999,216548075.51620,108438,31590.675,83222897.31782,0
1729218600000,2630.73,2636.66,2627.21,2632.80,36561.274,1729220399999,96242257.78337,64802,20689.520,54468112.36922,0
1729220400000,2632.80,2633.53,2616.61,2620.15,52565.156,1729222199999,137871000.94822,73124,27376.994,71798269.80563,0
1729222200000,2620.15,2622.34,2607.47,2609.10,39252.958,1729223999999,102620499.40905,54155,17422.996,45557784.62411,0
1729224000000,2609.11,2618.50,2607.88,2618.11,40573.008,1729225799999,106018388.40207,55518,24242.343,63341351.48082,0
1729225800000,2618.12,2621.71,2613.30,2614.72,22574.356,1729227599999,59101910.47461,40266,11707.663,30656401.35290,0
1729227600000,2614.73,2619.70,2611.69,2617.08,17310.467,1729229399999,45273945.37455,37362,9085.918,23765949.27979,0
1729229400000,2617.09,2627.95,2616.95,2626.86,28212.532,1729231199999,74010652.89322,43550,19147.897,50231754.80646,0
1729231200000,2626.86,2638.28,2624.28,2628.52,56784.857,1729232999999,149379896.36546,69124,32049.262,84326065.66440,0
1729233000000,2628.52,2632.74,2624.44,2626.27,30942.148,1729234799999,81296022.01180,55092,12990.850,34131630.94888,0
1729234800000,2626.27,2633.58,2624.00,2633.49,25341.092,1729236599999,66608060.10953,44868,14124.500,37129356.69892,0
1729236600000,2633.49,2645.00,2630.00,2643.62,59543.342,1729238399999,157008949.24583,81242,31391.615,82780871.80338,0
1729238400000,2643.62,2649.82,2634.20,2638.94,62568.789,1729240199999,165274282.78983,92713,31358.378,82858931.82907,0
1729240200000,2638.95,2644.33,2636.37,2637.81,18693.495,1729241999999,49333372.77564,42282,8605.430,22712786.03639,0
1729242000000,2637.82,2639.07,2627.02,2628.32,34031.046,1729243799999,89597046.53513,57225,14247.378,37511035.87579,0
1729243800000,2628.33,2629.18,2620.05,2624.07,35954.040,1729245599999,94351110.47531,58130,19934.071,52313801.64831,0
1729245600000,2624.08,2630.74,2623.26,2629.10,24387.179,1729247399999,64064806.07429,45873,12242.576,32160575.47106,0
1729247400000,2629.09,2630.26,2624.55,2626.50,13561.753,1729249199999,35635052.56166,35274,6711.745,17636815.05588,0
1729249200000,2626.51,2631.98,2624.76,2624.80,20243.076,1729250999999,53201442.60335,37742,9194.695,24165682.95895,0
1729251000000,2624.81,2627.00,2620.20,2621.43,23975.908,1729252799999,62906711.38987,38717,11655.366,30583676.00084,0
1729252800000,2621.43,2624.53,2616.00,2619.13,31283.107,1729254599999,81973690.43011,49551,13106.291,34350752.99954,0
1729254600000,2619.14,2620.80,2612.54,2615.97,37296.747,1729256399999,97564474.19996,61478,16781.435,43904872.06469,0
1729256400000,2615.98,2621.68,2611.39,2618.55,39843.209,1729258199999,104307152.88543,60211,21553.304,56432949.02679,0
1729258200000,2618.54,2630.18,2612.07,2627.14,79255.194,1729259999999,207711830.85964,115833,46772.969,122579079.59312,0
1729260000000,2627.15,2638.27,2616.49,2629.05,115404.196,1729261799999,303338754.31068,168200,54755.680,143953557.68513,0
1729261800000,2629.06,2645.40,2627.10,2640.97,133065.291,1729263599999,351099891.24723,166263,65009.956,171519613.18936,0
1729263600000,2640.96,2651.50,2636.36,2651.09,89531.776,1729265399999,236749587.79475,116300,47695.969,126153858.78958,0
1729265400000,2651.08,2664.00,2645.00,2652.12,162754.412,1729267199999,432002064.55046,173604,85984.145,228236635.07034,0
1729267200000,2652.12,2653.51,2628.46,2641.26,141917.915,1729268999999,374452098.98067,149405,66625.633,175775945.56876,0
1729269000000,2641.25,2655.95,2637.53,2650.80,56493.461,1729270799999,149572517.44370,84584,26978.924,71434300.58167,0
1729270800000,2650.79,2655.25,2642.42,2643.86,40842.018,1729272599999,108199582.98357,69392,16741.709,44356990.73844,0
1729272600000,2643.87,2652.00,2638.27,2646.00,26620.579,1729274399999,70434831.92994,54771,13298.502,35190344.41705,0
1729274400000,2646.00,2662.50,2640.28,2659.86,63331.739,1729276199999,168052049.71737,75851,38298.986,101690766.01181,0
