open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1708214400000,2787.44,2793.49,2785.53,2787.00,18540.258,1708216199999,51705263.95963,31613,8076.110,22523877.49454,0
1708216200000,2787.00,2791.34,2779.08,2790.22,28936.890,1708217999999,80584590.53819,40330,15412.760,42929771.64220,0
1708218000000,2790.22,2799.95,2790.22,2794.23,33372.385,1708219799999,93295131.66747,46484,16350.087,45706002.16971,0
1708219800000,2794.33,2795.59,2777.36,2781.23,28298.096,1708221599999,78792096.94516,42832,10855.518,30226802.66079,0
1708221600000,2781.23,2783.00,2764.80,2778.85,42710.852,1708223399999,118511790.62865,59396,17722.429,49182868.77753,0
1708223400000,2778.86,2781.18,2767.12,2772.77,33857.348,1708225199999,93874462.84276,48999,14885.385,41273132.85073,0
1708225200000,2772.78,2778.26,2769.86,2776.32,19531.095,1708226999999,54178206.55754,31323,10848.865,30097884.75859,0
1708227000000,2776.33,2784.57,2775.83,2783.89,18628.476,1708228799999,51815442.91586,27772,10684.388,29717280.22833,0
1708228800000,2783.90,2798.89,2783.88,2797.52,30420.804,1708230599999,84921862.62519,48703,16851.824,47045048.48387,0
1708230600000,2797.52,2800.80,2791.80,2798.78,40261.105,1708232399999,112606865.91882,53788,18235.285,51011168.06415,0
1708232400000,2798.77,2807.04,2796.67,2798.81,40979.650,1708234199999,114810278.12779,56295,21175.039,59334130.64016,0
1708234200000,2798.82,2806.24,2796.82,2804.41,29478.664,1708235999999,82610222.29496,42114,15485.753,43400173.57730,0
1708236000000,2804.40,2808.99,2792.00,2792.04,49828.409,1708237799999,139539676.56050,60097,21718.833,60846464.09258,0
1708237800000,2792.05,2792.97,2780.21,2789.37,46279.210,1708239599999,128972342.35873,62180,21260.244,59252588.54657,0
1708239600000,2789.38,2806.79,2784.03,2802.46,45816.565,1708241399999,128149208.83337,64164,25628.204,71679329.37938,0
1708241400000,2802.45,2808.16,2798.58,2802.29,31809.872,1708243199999,89189948.05722,43903,16145.604,45273723.24717,0
1708243200000,2802.28,2806.47,2798.22,2803.73,27309.888,1708244999999,76525122.99219,38677,13899.345,38950842.19369,0
1708245000000,2803.72,2807.64,2800.83,2806.58,19606.405,1708246799999,54994652.13926,33804,10447.900,29305792.18093,0
1708246800000,2806.58,2825.00,2806.39,2816.62,90118.217,1708248599999,253914276.62428,102273,49807.236,140328932.82649,0
1708248600000,2816.63,2822.00,2810.00,2821.08,33235.081,1708250399999,93595170.96987,50929,17037.074,47985992.92405,0
1708250400000,2821.08,2824.88,2811.22,2811.25,34093.676,1708252199999,96055166.09130,54145,14878.053,41924419.68511,0
1708252200000,2811.24,2813.85,2806.80,2811.37,27730.952,1708253999999,77942666.94687,40058,12998.575,36538116.69554,0
1708254000000,2811.37,2812.04,2798.66,2804.84,37893.007,1708255799999,106278006.88049,54259,15966.176,44780273.64835,0
1708255800000,2804.85,2808.60,2802.31,2804.97,19381.626,1708257599999,54371115.56602,30336,9082.549,25478988.32693,0
1708257600000,2804.97,2809.35,2801.68,2805.83,24559.060,1708259399999,68921837.95762,33742,12739.202,35752628.36625,0
1708259400000,2805.82,2805.83,2791.57,2793.82,59493.311,1708261199999,166498772.64316,74728,25897.972,72484278.16483,0
1708261200000,2793.82,2800.19,2788.02,2796.18,48544.173,1708262999999,135658426.69331,59019,23881.056,66746026.14869,0
1708263000000,2796.18,2796.53,2786.41,2788.31,34288.542,1708264799999,95735424.15521,42821,15223.679,42513139.85322,0
1708264800000,2788.32,2803.45,2788.31,2797.38,41998.662,1708266599999,117480283.99196,50055,25249.311,70622773.88176,0
1708266600000,2797.37,2814.88,2796.71,2811.00,52628.409,1708268399999,147802042.13383,73871,29886.697,83930923.86902,0
1708268400000,2811.00,2811.47,2802.06,2805.03,24975.611,1708270199999,70086470.69728,44008,10660.345,29913630.28643,0
1708270200000,2805.03,2810.93,2801.92,2808.60,31768.449,1708271999999,89153377.56876,46334,15792.040,44320483.34227,0
1708272000000,2808.60,2809.12,2795.40,2798.15,30750.843,1708273799999,86161564.42467,49216,14067.383,39414648.54958,0
1708273800000,2798.15,2809.00,2794.97,2806.86,34559.834,1708275599999,96791444.05783,47676,19399.599,54340123.67882,0
1708275600000,2806.87,2823.00,2806.10,2820.89,63106.567,1708277399999,177822864.52000,86310,35718.758,100655773.01015,0
1708277400000,2820.88,2823.64,2810.09,2813.19,37563.322,1708279199999,105812532.50160,56604,17495.130,49281920.24879,0
1708279200000,2813.19,2821.68,2808.30,2815.75,44136.477,1708280999999,124213686.45771,54537,20515.195,57743782.12378,0
1708281000000,2815.75,2837.84,2810.64,2836.41,71460.074,1708282799999,201990570.11197,88622,42437.643,119980098.44838,0
1708282800000,2836.41,2844.26,2823.26,2842.79,54347.700,1708284599999,153937472.72353,73756,28845.019,81728404.81023,0
1708284600000,2842.78,2846.97,2828.63,2829.03,57663.112,1708286399999,163768570.41806,73993,26431.099,75073510.47451,0
1708286400000,2829.03,2834.26,2817.34,2822.04,42247.188,1708288199999,119324156.51061,56051,17615.153,49760146.99064,0
1708288200000,2822.05,2830.47,2822.04,2828.58,21510.000,1708289999999,60804919.97135,34810,11737.776,33180025.14103,0
1708290000000,2828.59,2831.51,2824.08,2828.01,14115.678,1708291799999,39914836.43755,29859,6794.276,19212552.71716,0
1708291800000,2828.01,2848.95,2824.61,2848.32,46646.541,1708293599999,132592837.66267,68129,24740.670,70305455.96787,0
1708293600000,2848.32,2888.72,2845.20,2887.44,167802.927,1708295399999,481983475.71976,188499,95977.869,275623946.71696,0
1708295400000,2887.44,2899.00,2872.19,2882.78,105385.728,1708297199999,304366377.24395,141180,52483.809,151595379.97412,0
1708297200000,2882.79,2894.30,2878.07,2880.77,87934.963,1708298999999,253892286.61622,109961,42831.350,123666979.39204,0
1708299000000,2880.77,2883.74,2868.00,2883.58,86062.817,1708300799999,247367131.94502,93940,45054.416,129508750.44206,0
