open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713398400000,2983.26,2996.94,2953.01,2965.41,84905.971,1713400199999,252420463.84347,124185,40256.696,119692182.58368,0
1713400200000,2965.39,2991.94,2949.54,2991.94,60248.479,1713401999999,178977049.30838,101661,29108.451,86503518.98178,0
1713402000000,2991.93,3010.95,2987.99,3004.37,55366.357,1713403799999,166203391.51276,102948,26458.339,79424167.78731,0
1713403800000,3004.38,3004.38,2985.92,3002.51,30739.672,1713405599999,92024997.40600,68902,13176.841,39456581.98178,0
1713405600000,3002.50,3013.87,2989.13,2997.84,36951.197,1713407399999,110916230.59719,71915,17624.565,52911711.17124,0
1713407400000,2997.85,3013.01,2992.88,3010.15,28401.930,1713409199999,85358718.08179,54194,14750.544,44335741.10750,0
1713409200000,3010.12,3032.12,3009.36,3019.62,54983.234,1713410999999,166285341.77103,90049,27921.270,84433078.07526,0
1713411000000,3019.61,3034.35,3014.06,3023.94,30914.898,1713412799999,93501671.12681,59666,15258.338,46151653.27448,0
1713412800000,3023.94,3031.79,3019.07,3028.76,23908.569,1713414599999,72323406.08977,52020,12062.362,36491349.46961,0
1713414600000,3028.77,3033.34,3006.09,3012.60,57572.944,1713416399999,173682025.48343,67778,24410.365,73651092.24345,0
1713416400000,3012.61,3016.88,3008.60,3016.66,21187.696,1713418199999,63839608.17582,42730,10740.593,32363554.46075,0
1713418200000,3016.65,3020.67,2975.40,2981.94,77843.676,1713419999999,233343204.72336,111766,33667.002,100944404.85224,0
1713420000000,2981.94,2990.22,2966.00,2971.41,69599.368,1713421799999,207206852.03876,98389,34516.671,102766886.03135,0
1713421800000,2971.41,2972.95,2954.77,2971.52,65946.965,1713423599999,195423437.05617,91045,34471.055,102161000.83974,0
1713423600000,2971.53,2987.40,2965.84,2978.06,42269.598,1713425399999,125887417.02468,71653,24109.435,71806634.66149,0
1713425400000,2978.06,2981.94,2960.58,2973.66,46179.286,1713427199999,137255778.17962,85344,22201.217,65998643.65280,0
1713427200000,2973.66,2981.34,2952.00,2969.52,57999.945,1713428999999,171865213.44365,98064,28368.724,84071380.63042,0
1713429000000,2969.53,2991.17,2969.53,2983.67,58408.752,1713430799999,174240943.26298,105246,29678.114,88531538.48120,0
1713430800000,2983.68,3015.00,2981.11,2998.15,65357.425,1713432599999,195918576.37806,98716,39462.228,118323293.54098,0
1713432600000,2998.15,3009.94,2990.00,3005.84,53538.337,1713434399999,160581326.81669,80696,24627.960,73876903.24127,0
1713434400000,3005.85,3009.60,2996.25,3004.19,25431.496,1713436199999,76358142.34923,54318,12085.594,36291771.02841,0
1713436200000,3004.19,3014.44,2999.24,3010.05,31892.629,1713437999999,95882502.98121,63163,16996.197,51106099.08593,0
1713438000000,3010.06,3064.56,3008.80,3055.72,152400.751,1713439799999,463525684.08349,199530,83124.796,252792905.44736,0
1713439800000,3055.72,3061.81,3042.66,3045.00,61830.795,1713441599999,188687768.27014,107274,27071.315,82611354.09355,0
1713441600000,3045.00,3050.97,3012.20,3013.56,78299.768,1713443399999,237426211.98410,112455,32125.303,97466384.23067,0
1713443400000,3013.57,3029.00,2982.93,3023.88,144129.201,1713445199999,433365309.68800,188484,76151.733,229020253.66629,0
1713445200000,3023.90,3036.10,3016.00,3030.54,52920.657,1713446999999,160123068.87598,98858,25785.798,78038946.98489,0
1713447000000,3030.55,3049.70,3006.73,3047.72,113303.373,1713448799999,343243286.51069,179461,57945.038,175594987.47131,0
1713448800000,3047.71,3088.99,3034.19,3078.69,175328.521,1713450599999,538217816.29420,245632,92572.052,284177089.61051,0
1713450600000,3078.71,3091.99,3059.20,3078.71,111477.432,1713452399999,342753828.87884,166574,51559.556,158562591.42693,0
1713452400000,3078.70,3093.59,3056.11,3057.98,93568.821,1713454199999,287653705.17074,145886,44751.199,137604498.40424,0
1713454200000,3057.98,3072.00,3054.70,3066.99,50179.759,1713455999999,153614340.95628,86444,25865.453,79186198.60416,0
1713456000000,3066.99,3081.95,3055.80,3077.66,50112.941,1713457799999,153768619.65239,97432,26023.375,79871488.97522,0
1713457800000,3077.66,3078.28,3053.80,3060.45,42463.962,1713459599999,130134608.97132,89337,20101.175,61599885.75669,0
1713459600000,3060.45,3068.11,3047.25,3051.53,47683.217,1713461399999,145708103.93845,88440,23671.566,72347109.72366,0
1713461400000,3051.65,3058.59,3030.80,3036.25,70033.022,1713463199999,213160630.06758,104812,33821.626,102967652.13360,0
1713463200000,3036.25,3042.89,3016.41,3038.33,76919.109,1713464999999,233064134.25808,109092,38685.878,117232709.36755,0
1713465000000,3038.33,3056.79,3034.00,3050.38,45403.620,1713466799999,138324313.89110,79028,25570.780,77903519.97049,0
1713466800000,3050.38,3063.67,3048.30,3058.23,30122.131,1713468599999,92072835.42810,67345,15408.075,47098354.16096,0
1713468600000,3058.23,3065.92,3053.56,3063.07,34869.726,1713470399999,106667836.35936,54898,18068.546,55261745.48935,0
