open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1718668800000,3509.56,3515.87,3485.90,3496.91,58089.533,1718670599999,203253973.58786,79607,27619.101,96672657.40211,0
1718670600000,3496.88,3514.81,3445.00,3471.00,178140.583,1718672399999,618641704.89919,198916,81281.504,282511644.54403,0
1718672400000,3471.00,3479.71,3427.00,3442.92,129088.476,1718674199999,445162663.81525,169884,56130.561,193605436.85118,0
1718674200000,3442.92,3451.08,3341.85,3406.56,364258.681,1718675999999,1236520264.57507,385457,162352.636,551277620.13816,0
1718676000000,3406.56,3431.62,3380.00,3427.06,161110.081,1718677799999,548755794.42613,202226,82166.902,279948940.19669,0
1718677800000,3427.06,3443.00,3416.36,3427.53,77526.600,1718679599999,265872732.07063,108084,38662.622,132614659.38423,0
1718679600000,3427.54,3430.50,3419.10,3429.53,32309.362,1718681399999,110662843.13314,60216,16846.282,57703876.42969,0
1718681400000,3429.53,3440.00,3426.53,3439.88,31721.860,1718683199999,108953761.00530,56776,15882.040,54546406.13104,0
1718683200000,3439.88,3455.00,3426.93,3452.41,53573.647,1718684999999,184442720.44563,73843,28279.359,97384864.14038,0
1718685000000,3452.40,3454.22,3440.85,3443.98,35671.762,1718686799999,122915694.26913,53860,17023.934,58658226.73604,0
1718686800000,3443.97,3462.90,3443.17,3457.76,40470.962,1718688599999,139804185.65933,60744,26516.325,91609936.32049,0
1718688600000,3457.76,3459.70,3442.06,3443.44,35007.403,1718690399999,120788768.92681,53778,12681.432,43765771.80083,0
1718690400000,3443.44,3453.28,3441.07,3443.00,22942.914,1718692199999,79087542.66401,43709,9421.969,32483471.01528,0
1718692200000,3442.99,3446.42,3430.48,3436.21,47317.723,1718693999999,162661681.51335,62227,19752.570,67904996.44135,0
1718694000000,3436.21,3455.70,3435.80,3447.78,27437.199,1718695799999,94520329.42038,48327,15203.340,52375828.32433,0
1718695800000,3447.77,3451.31,3441.31,3442.50,20111.177,1718697599999,69306172.54968,35650,10010.247,34502787.80978,0
