open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1721260800000,3386.01,3397.96,3381.83,3397.16,25298.343,1721262599999,85711305.63143,53417,13421.713,45479340.08171,0
1721262600000,3397.16,3415.98,3396.17,3409.28,36258.390,1721264399999,123551089.59423,60889,18704.793,63738893.13668,0
1721264400000,3409.27,3424.14,3407.01,3423.48,24877.058,1721266199999,84959688.50290,45486,13748.394,46957806.27892,0
1721266200000,3423.47,3423.98,3412.60,3420.80,16829.777,1721267999999,57546337.05465,37513,8302.477,28390021.57746,0
1721268000000,3420.80,3440.00,3392.40,3417.14,89863.074,1721269799999,307107399.29270,124167,45925.282,156949531.84769,0
1721269800000,3417.14,3424.65,3413.01,3423.10,17142.819,1721271599999,58607549.02849,43725,8756.150,29938712.13763,0
1721271600000,3423.09,3430.00,3417.38,3425.37,26698.943,1721273399999,91419009.30142,43297,14088.641,48246908.41946,0
1721273400000,3425.37,3431.94,3422.05,3429.99,32889.748,1721275199999,112722414.53876,40819,17251.807,59125008.88704,0
1721275200000,3430.00,3431.43,3420.11,3420.37,23750.682,1721276999999,81377029.33103,32699,11033.625,37809905.28308,0
1721277000000,3420.38,3424.00,3413.51,3416.53,17480.525,1721278799999,59755144.10146,29641,6659.452,22764534.77895,0
1721278800000,3416.53,3420.89,3407.56,3415.33,36590.050,1721280599999,124892106.07524,43387,17794.209,60734101.04396,0
1721280600000,3415.33,3431.95,3413.46,3421.83,53433.525,1721282399999,182916765.59594,46491,27462.552,94009028.12278,0
1721282400000,3421.84,3433.76,3418.52,3429.89,35018.663,1721284199999,120015131.08006,43379,16564.250,56769316.03005,0
1721284200000,3429.89,3452.50,3427.96,3445.58,70814.092,1721285999999,243851928.51218,66167,37283.784,128396755.37863,0
1721286000000,3445.58,3448.56,3432.08,3434.61,39698.240,1721287799999,136579898.34888,51170,15564.206,53550561.85919,0
1721287800000,3434.61,3442.00,3430.84,3431.90,29606.921,1721289599999,101746313.27111,41888,14835.109,50987470.97425,0
1721289600000,3431.90,3444.00,3429.64,3439.00,24228.820,1721291399999,83259360.86418,37516,12355.591,42465133.95863,0
1721291400000,3439.00,3458.92,3432.59,3457.67,33101.908,1721293199999,114174598.06126,54892,19143.307,66043927.34755,0
1721293200000,3457.67,3459.76,3445.64,3455.01,36444.418,1721294999999,125833397.78739,49064,16523.067,57061834.85226,0
1721295000000,3455.00,3456.06,3448.62,3450.11,18181.969,1721296799999,62757147.10690,32100,8481.079,29268598.54208,0
1721296800000,3450.11,3450.47,3433.72,3433.73,28740.874,1721298599999,98919656.54845,43493,11197.532,38542104.52744,0
