open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1715990400000,3090.47,3091.64,3085.64,3089.42,23477.692,1715992199999,72538700.88752,35283,11197.219,34598026.58725,0
1715992200000,3089.42,3097.68,3084.35,3095.29,31169.531,1715993999999,96361536.29615,44388,16084.085,49731968.36782,0
1715994000000,3095.30,3098.00,3081.59,3089.71,33135.230,1715995799999,102380439.44754,51117,13410.339,41439920.49727,0
1715995800000,3089.71,3107.70,3087.31,3106.40,33500.410,1715997599999,103795916.20981,46385,21867.581,67763881.27518,0
1715997600000,3106.39,3107.87,3095.06,3101.21,33062.832,1715999399999,102562362.67638,52328,13887.470,43086855.68585,0
1715999400000,3101.21,3102.20,3090.81,3097.30,19955.125,1716001199999,61780554.55275,35774,8903.479,27567693.47228,0
1716001200000,3097.30,3125.70,3097.00,3110.69,81226.448,1716002999999,252923317.44616,104928,44016.588,137030152.73321,0
1716003000000,3110.69,3116.61,3106.35,3112.93,26601.137,1716004799999,82748074.46451,41596,12908.006,40156956.02314,0
1716004800000,3112.94,3117.64,3102.04,3103.40,25462.699,1716006599999,79122489.70638,47512,10038.641,31200451.18642,0
1716006600000,3103.40,3104.73,3097.24,3100.70,19489.293,1716008399999,60445033.10354,37926,8344.489,25881749.93654,0
1716008400000,3100.69,3101.06,3093.49,3098.44,23835.444,1716010199999,73840565.94253,38700,11236.069,34808162.63927,0
1716010200000,3098.44,3100.36,3091.26,3096.02,19496.980,1716011999999,60360192.12548,35299,8383.983,25958455.51653,0
1716012000000,3096.03,3097.85,3088.80,3091.48,18621.775,1716013799999,57596053.08841,35793,6688.304,20689450.11357,0
1716013800000,3091.48,3099.24,3090.00,3097.29,17705.171,1716015599999,54809428.47935,31915,9714.104,30071278.28446,0
1716015600000,3097.29,3108.90,3094.45,3106.01,23846.154,1716017399999,73959129.92754,42894,13890.428,43087293.75057,0
1716017400000,3106.01,3107.60,3096.78,3100.26,28364.079,1716019199999,87987565.91946,49124,11178.223,34679518.77262,0
1716019200000,3100.25,3119.62,3099.05,3115.27,36662.782,1716020999999,114074239.35549,63262,19801.826,61610790.81447,0
1716021000000,3115.27,3118.00,3108.33,3115.80,22256.126,1716022799999,69279498.60051,42127,10822.209,33690034.76121,0
1716022800000,3115.80,3118.28,3110.50,3110.95,19205.325,1716024599999,59810303.07696,38472,7884.470,24557028.93633,0
1716024600000,3110.94,3128.42,3110.94,3125.70,42965.712,1716026399999,134091079.05086,64465,25256.911,78836611.66041,0
1716026400000,3125.70,3142.35,3119.00,3140.39,86552.659,1716028199999,271207083.51944,102600,46576.735,145947356.95941,0
1716028200000,3140.39,3140.40,3128.41,3135.95,40762.348,1716029999999,127745609.21889,65804,21410.187,67101730.78844,0
1716030000000,3135.95,3140.00,3130.86,3136.80,37747.528,1716031799999,118383834.61137,56857,22614.502,70927347.83552,0
1716031800000,3136.80,3146.36,3132.45,3132.84,38436.411,1716033599999,120641453.18633,60628,17826.677,55965714.28067,0
1716033600000,3132.85,3134.24,3122.00,3128.42,40532.242,1716035399999,126773032.76975,60668,18187.623,56880343.81423,0
1716035400000,3128.42,3132.59,3114.57,3116.35,50180.566,1716037199999,156634271.10929,74971,19865.508,62015206.11696,0
1716037200000,3116.35,3120.53,3111.80,3119.25,38200.729,1716038999999,119058314.29986,63806,17706.908,55191321.63175,0
1716039000000,3119.24,3119.24,3104.80,3107.09,54983.138,1716040799999,171005294.14624,74107,26640.889,82860457.82527,0
1716040800000,3107.08,3113.85,3101.00,3112.31,43428.549,1716042599999,134961514.92056,70529,23143.124,71923923.76290,0
1716042600000,3112.31,3113.48,3093.62,3104.36,57532.969,1716044399999,178420580.97271,76464,25190.094,78131866.39500,0
