open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1731888000000,3078.09,3095.04,3071.37,3094.16,50906.323,1731889799999,156841807.47139,104496,28154.246,86765432.01398,0
1731889800000,3094.14,3126.62,3091.32,3100.08,107705.531,1731891599999,335121043.77248,178440,51117.566,159064924.10436,0
1731891600000,3100.08,3118.98,3094.64,3114.77,48845.239,1731893399999,151780148.96688,105392,26401.555,82044147.10834,0
1731893400000,3114.77,3124.52,3106.82,3117.66,46335.893,1731895199999,144363499.06672,109956,21816.253,67977233.89581,0
1731895200000,3117.67,3127.00,3106.69,3111.31,44910.990,1731896999999,140086723.56391,104684,22729.597,70908238.62904,0
1731897000000,3111.30,3123.85,3111.22,3113.21,21101.116,1731898799999,65776400.98811,62024,9782.895,30494944.94711,0
1731898800000,3113.22,3114.76,3096.60,3100.66,36350.517,1731900599999,112803602.33119,81878,15123.664,46926534.18600,0
1731900600000,3100.66,3115.18,3100.61,3114.72,25061.055,1731902399999,77901414.43013,50385,13000.574,40411489.02090,0
1731902400000,3114.73,3119.08,3105.31,3106.81,24411.874,1731904199999,75983692.65342,53073,9456.572,29442515.34593,0
1731904200000,3106.80,3109.56,3098.05,3103.23,26272.970,1731905999999,81527695.04567,51844,11376.997,35310819.76369,0
1731906000000,3103.22,3120.00,3099.07,3119.65,30639.044,1731907799999,95300456.22051,56555,17454.467,54301387.07824,0
1731907800000,3119.64,3121.54,3106.72,3121.13,27074.256,1731909599999,84340696.87905,58720,14215.801,44290939.86728,0
1731909600000,3121.13,3139.92,3115.27,3136.13,74542.169,1731911399999,233254007.92454,117795,44018.826,137763687.40146,0
1731911400000,3136.12,3151.07,3129.81,3149.57,102412.297,1731913199999,321721458.48858,140866,53661.640,168617767.44045,0
1731913200000,3149.56,3153.15,3127.83,3131.51,61437.190,1731914999999,192911634.12432,122948,28996.409,91043590.49439,0
1731915000000,3131.54,3139.90,3125.75,3133.35,30188.401,1731916799999,94576667.79486,66254,16893.441,52929167.76994,0
1731916800000,3133.36,3143.55,3123.36,3132.11,48239.658,1731918599999,151191358.58408,90175,22972.608,72018773.32666,0
1731918600000,3132.11,3132.11,3118.38,3124.61,56360.184,1731920399999,176094123.22874,79340,25850.534,80768253.17189,0
1731920400000,3124.60,3126.44,3109.95,3116.66,75120.275,1731922199999,234253258.43607,91338,31787.308,99138522.05777,0
1731922200000,3116.65,3120.29,3104.00,3110.01,61822.783,1731923999999,192344468.02671,100008,30626.669,95306183.05256,0
1731924000000,3110.00,3122.99,3108.28,3120.08,36021.066,1731925799999,112205921.89373,68084,20206.672,62952527.47106,0
1731925800000,3120.08,3127.53,3118.20,3118.20,37845.653,1731927599999,118211332.01063,61111,18375.347,57400808.33115,0
1731927600000,3118.21,3120.14,3082.31,3088.49,116674.132,1731929399999,361380028.06162,166231,46359.807,143598085.28381,0
1731929400000,3088.48,3091.47,3051.50,3058.16,195817.108,1731931199999,600380290.46967,249414,80335.149,246356515.74651,0
1731931200000,3058.17,3077.54,3055.96,3077.53,84386.326,1731932999999,258789271.11923,145096,45413.968,139273347.87707,0
1731933000000,3077.54,3091.97,3076.98,3088.47,82223.748,1731934799999,253605671.12621,118284,40407.008,124633717.19575,0
1731934800000,3088.46,3090.63,3053.35,3071.61,138630.105,1731936599999,425057277.41950,200762,60060.659,184151924.14387,0
1731936600000,3071.62,3086.92,3060.19,3069.30,76571.454,1731938399999,235477578.74951,126382,32682.785,100533767.79761,0
1731938400000,3069.30,3108.79,3060.16,3102.36,130441.375,1731940199999,403269158.00870,191986,70963.074,219320598.83085,0
1731940200000,3102.36,3110.94,3074.56,3089.51,122164.545,1731941999999,377964533.22274,211214,55617.135,172119729.52185,0
1731942000000,3089.51,3099.85,3085.52,3094.47,51587.190,1731943799999,159561030.88348,116231,23786.621,73581891.26375,0
1731943800000,3094.46,3160.60,3093.82,3146.14,265234.556,1731945599999,832208685.12700,317131,144982.401,454796574.56409,0
1731945600000,3146.13,3183.68,3137.17,3179.20,195626.784,1731947399999,618959149.18880,285003,101345.051,320705107.61210,0
1731947400000,3179.19,3190.98,3157.71,3171.68,151143.925,1731949199999,480034398.41652,234404,71522.988,227139482.26717,0
1731949200000,3171.67,3194.99,3161.00,3180.91,100653.794,1731950999999,320015020.39281,165271,55671.718,177027283.03454,0
1731951000000,3180.91,3185.00,3155.33,3178.38,109099.536,1731952799999,345802518.53807,156728,52065.076,165022936.61082,0
1731952800000,3178.40,3205.00,3170.05,3190.70,133364.256,1731954599999,425534324.03443,178245,70183.147,223975347.98393,0
1731954600000,3190.69,3196.83,3159.01,3167.50,109040.752,1731956399999,346156219.77814,175162,51101.846,162230768.79213,0
1731956400000,3167.51,3171.59,3102.62,3111.53,196574.262,1731958199999,615446408.89373,268645,85271.607,266953764.96362,0
1731958200000,3111.54,3133.52,3091.96,3129.30,102215.854,1731959999999,318266869.69221,174570,54589.914,170037262.89681,0
1731960000000,3129.30,3191.19,3124.47,3180.75,133398.209,1731961799999,421693908.79635,198395,70806.910,223755549.44735,0
