open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1726617600000,2340.59,2340.60,2320.80,2322.56,49945.010,1726619399999,116332954.40682,57392,22905.298,53344804.23072,0
1726619400000,2322.57,2324.72,2308.15,2322.72,67616.085,1726621199999,156680836.20460,83459,33652.197,77993330.32544,0
1726621200000,2322.72,2327.91,2312.23,2325.40,31324.634,1726622999999,72686150.21560,55053,14223.170,33009460.91758,0
1726623000000,2325.41,2329.52,2319.49,2323.84,22031.503,1726624799999,51206858.16448,46769,11190.719,26013097.65102,0
1726624800000,2323.83,2330.45,2322.00,2325.89,24916.258,1726626599999,57974338.41141,41402,13485.119,31378360.87555,0
1726626600000,2325.89,2333.09,2324.92,2330.55,26426.988,1726628399999,61584902.86222,38124,16698.931,38916114.36838,0
1726628400000,2330.54,2343.90,2329.60,2337.15,41536.948,1726630199999,97041458.69394,49620,22718.424,53075514.52703,0
1726630200000,2337.15,2338.90,2333.43,2333.92,19869.765,1726631999999,46420104.14282,30778,11660.312,27242591.76589,0
1726632000000,2333.92,2335.15,2327.00,2332.23,33459.874,1726633799999,78002924.30840,37738,18285.547,42630027.64218,0
1726633800000,2332.24,2333.09,2317.12,2322.56,36435.448,1726635599999,84649207.74597,46321,13926.329,32355218.88279,0
1726635600000,2322.56,2322.56,2311.18,2320.83,34971.718,1726637399999,81017555.21394,45583,17725.776,41073329.12304,0
1726637400000,2320.84,2321.63,2316.47,2320.32,16408.386,1726639199999,38059187.06301,30801,8495.076,19706093.28895,0
1726639200000,2320.32,2328.06,2318.85,2326.35,23261.760,1726640999999,54069688.51184,32574,11741.610,27289779.54394,0
1726641000000,2326.35,2333.08,2319.00,2328.00,39079.492,1726642799999,90884080.63877,50099,22030.672,51253661.45619,0
1726642800000,2327.99,2333.65,2326.98,2331.61,27994.614,1726644599999,65242888.91729,36367,13216.178,30803570.51463,0
1726644600000,2331.61,2333.80,2328.41,2328.65,11789.548,1726646399999,27482458.74828,23178,4823.298,11244740.78090,0
1726646400000,2328.65,2328.66,2316.57,2317.06,39539.864,1726648199999,91824861.69506,44774,16458.725,38221156.83819,0
1726648200000,2317.06,2321.22,2316.91,2320.20,22757.398,1726649999999,52767815.56728,32029,11156.125,25870504.84229,0
1726650000000,2320.19,2320.20,2310.00,2315.85,42867.249,1726651799999,99249994.51565,52533,16522.029,38258988.13842,0
1726651800000,2315.84,2316.72,2292.28,2294.08,93216.123,1726653599999,214801002.55906,88097,34700.310,79962288.46864,0
1726653600000,2294.09,2299.73,2275.25,2292.75,156509.583,1726655399999,358103589.79173,147661,76035.730,174025357.31915,0
1726655400000,2292.76,2307.34,2292.05,2303.78,51548.893,1726657199999,118575106.41541,61373,28646.591,65899349.52883,0
1726657200000,2303.79,2308.94,2302.56,2307.29,25527.707,1726658999999,58864284.72123,36612,10615.808,24481286.30713,0
1726659000000,2307.29,2308.30,2298.45,2299.43,30133.764,1726660799999,69435343.97311,39293,12471.669,28742089.22131,0
1726660800000,2299.44,2305.80,2294.38,2303.76,45321.252,1726662599999,104197815.09921,49811,23242.237,53442990.19874,0
1726662600000,2303.76,2313.30,2303.76,2309.34,37128.323,1726664399999,85711834.15869,46176,20560.691,47470060.52629,0
1726664400000,2309.34,2317.48,2305.19,2308.07,48764.263,1726666199999,112694492.05555,59296,25931.925,59943458.37705,0
1726666200000,2308.07,2308.43,2285.81,2294.09,89432.937,1726667999999,205311343.36219,103736,39450.445,90570986.20672,0
1726668000000,2294.09,2305.49,2286.55,2302.51,65162.176,1726669799999,149550883.48984,93219,36961.955,84846821.16715,0
