open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1710720000000,3646.99,3648.78,3606.03,3623.35,75784.970,1710721799999,274471555.85387,122896,31719.758,114878478.77450,0
1710721800000,3623.34,3625.35,3578.00,3580.87,81014.313,1710723599999,291271487.21217,138717,33569.743,120693823.40264,0
1710723600000,3580.86,3604.14,3560.00,3592.32,77830.526,1710725399999,278915758.66143,143560,41324.706,148093385.74439,0
1710725400000,3592.32,3616.67,3588.61,3605.22,35443.198,1710727199999,127763271.59558,73051,20716.448,74684911.40362,0
1710727200000,3605.21,3615.84,3591.85,3594.29,31797.228,1710728999999,114578681.37007,64625,14147.882,50996705.05060,0
1710729000000,3594.28,3630.99,3586.64,3600.50,50414.092,1710730799999,181885495.61388,90780,26379.155,95160647.98312,0
1710730800000,3600.50,3620.44,3599.20,3606.53,26463.027,1710732599999,95546499.85922,60367,13976.622,50466233.94386,0
1710732600000,3606.53,3614.86,3601.08,3603.58,23181.128,1710734399999,83622416.24856,48475,12381.550,44666483.51041,0
1710734400000,3603.58,3604.40,3580.00,3600.65,42424.292,1710736199999,152342629.85267,78943,20848.789,74860702.86664,0
1710736200000,3600.66,3633.59,3599.15,3618.90,42932.297,1710737999999,155448196.11934,88356,20766.892,75181247.23544,0
1710738000000,3618.89,3642.45,3607.03,3640.81,35225.316,1710739799999,127675204.29813,72508,17917.529,64964952.32628,0
1710739800000,3640.82,3645.87,3630.66,3636.79,39112.762,1710741599999,142357581.96101,72137,18173.746,66144199.73148,0
1710741600000,3636.79,3637.66,3628.21,3630.22,16199.556,1710743399999,58836406.49962,39708,7510.300,27278183.38486,0
1710743400000,3630.22,3644.00,3625.27,3629.59,22877.695,1710745199999,83111780.98855,46137,9542.389,34673708.27506,0
1710745200000,3629.59,3638.00,3615.03,3623.90,30903.735,1710746999999,112010800.60695,62559,13460.115,48787133.75500,0
1710747000000,3623.90,3637.47,3619.27,3628.97,27326.693,1710748799999,99204021.84548,54033,14662.975,53232845.71706,0
1710748800000,3628.96,3629.47,3564.19,3572.00,94198.907,1710750599999,338564155.24422,142547,39721.006,142784573.16143,0
1710750600000,3572.00,3608.89,3564.89,3600.54,75564.923,1710752399999,271181420.11170,132024,38675.654,138784194.01370,0
1710752400000,3600.54,3604.51,3571.39,3598.34,56841.852,1710754199999,203921605.32860,113296,29763.441,106788181.07170,0
1710754200000,3598.33,3599.01,3555.86,3565.55,70659.945,1710755999999,252678758.79774,131906,34642.724,123895221.26119,0
1710756000000,3565.55,3582.65,3552.07,3567.07,60067.292,1710757799999,214210229.92958,133742,30438.106,108561839.88962,0
1710757800000,3567.08,3596.82,3566.70,3594.77,36767.452,1710759599999,131826838.69379,86889,19220.066,68913278.96359,0
1710759600000,3594.77,3615.87,3586.65,3612.29,35898.466,1710761399999,129281464.10813,79060,20800.471,74934310.21242,0
1710761400000,3612.29,3618.56,3596.88,3600.76,33535.021,1710763199999,120992840.64743,71279,12506.466,45132459.76926,0
1710763200000,3600.77,3616.21,3580.49,3601.95,59376.477,1710764999999,213484984.00779,102976,26172.016,94128241.69779,0
1710765000000,3601.96,3607.42,3587.27,3600.98,33762.960,1710766799999,121465566.01490,78721,16796.425,60435795.89636,0
1710766800000,3600.98,3603.08,3550.04,3563.93,88157.908,1710768599999,314946119.89555,134977,42519.166,151876206.98236,0
1710768600000,3563.93,3591.52,3530.00,3549.08,165027.408,1710770399999,586796617.24124,240644,83606.299,297361487.89773,0
1710770400000,3549.08,3566.97,3535.01,3536.19,72534.764,1710772199999,257477162.12493,151825,35871.175,127352730.61865,0
1710772200000,3536.20,3538.35,3491.94,3515.91,182942.107,1710773999999,642446999.45422,257721,88470.720,310709325.97546,0
1710774000000,3515.91,3524.19,3489.00,3507.48,91062.134,1710775799999,319064001.60595,171624,47251.049,165591623.27297,0
