open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1705536000000,2530.61,2532.48,2525.65,2527.09,33407.916,1705537799999,84502178.91953,49697,15737.991,39807785.34861,0
1705537800000,2527.09,2531.68,2524.22,2530.67,18152.723,1705539599999,45907518.98095,35334,9793.621,24767407.27374,0
1705539600000,2530.66,2534.28,2520.86,2526.69,28643.009,1705541399999,72382690.95046,49718,11815.928,29860308.64524,0
1705541400000,2526.68,2528.29,2509.25,2523.09,58871.976,1705543199999,148103707.93545,76077,29327.412,73778457.48750,0
1705543200000,2523.08,2532.71,2522.52,2531.48,21214.171,1705544999999,53614338.24170,42988,11066.813,27968526.44902,0
1705545000000,2531.47,2532.05,2525.50,2529.00,23111.871,1705546799999,58446462.39119,39582,11074.800,28005799.51188,0
1705546800000,2529.01,2531.51,2526.06,2529.27,23604.910,1705548599999,59694382.99995,35705,12307.705,31125835.25679,0
1705548600000,2529.28,2532.81,2527.77,2530.23,33838.405,1705550399999,85624681.92255,40472,15883.497,40189342.53726,0
1705550400000,2530.24,2540.00,2527.85,2532.36,63428.130,1705552199999,160747043.26233,77291,34062.543,86326929.19425,0
1705552200000,2532.36,2535.04,2528.60,2530.41,19626.259,1705553999999,49696208.14897,35690,9463.375,23964775.84734,0
1705554000000,2530.42,2531.06,2525.02,2530.24,28850.245,1705555799999,72945423.17598,35404,13555.405,34271359.59045,0
1705555800000,2530.24,2532.18,2525.31,2530.30,17820.113,1705557599999,45063618.98633,31290,9661.703,24431110.60778,0
1705557600000,2530.29,2536.77,2530.29,2531.62,32596.680,1705559399999,82601879.69150,49085,16973.334,43012800.90399,0
1705559400000,2531.62,2534.05,2528.40,2533.96,16744.453,1705561199999,42371899.91424,34835,8848.056,22390614.15171,0
1705561200000,2533.97,2537.79,2532.25,2536.89,29328.940,1705562999999,74373813.80792,47962,14976.342,37979593.85094,0
1705563000000,2536.90,2539.26,2535.00,2538.88,29585.100,1705564799999,75063213.68861,36944,15276.914,38759875.78285,0
1705564800000,2538.87,2541.96,2536.00,2541.76,24998.065,1705566599999,63471423.92490,40818,12423.625,31545725.20553,0
1705566600000,2541.76,2543.00,2536.97,2537.75,40608.376,1705568399999,103164946.30971,50575,20131.306,51147662.83189,0
1705568400000,2537.75,2549.99,2535.17,2545.56,86380.729,1705570199999,219748534.34219,104890,44869.726,114152160.78625,0
1705570200000,2545.56,2547.32,2538.92,2539.49,30112.260,1705571999999,76599715.76800,44476,14144.120,35981450.73564,0
1705572000000,2539.49,2541.81,2537.14,2537.59,19066.312,1705573799999,48412591.11083,39816,9027.374,22923082.50208,0
1705573800000,2537.59,2539.08,2515.00,2516.28,92283.667,1705575599999,232973506.17220,120747,38053.313,96031341.92828,0
1705575600000,2516.29,2524.59,2515.74,2519.64,40085.029,1705577399999,101024440.84240,57746,19661.104,49557252.93211,0
1705577400000,2519.65,2523.62,2515.51,2522.72,39422.677,1705579199999,99281883.35043,60284,20364.951,51288283.28744,0
1705579200000,2522.73,2523.22,2505.08,2513.00,70576.027,1705580999999,177338306.09102,93735,31307.763,78675643.29978,0
1705581000000,2513.00,2516.03,2508.14,2513.31,35485.960,1705582799999,89155880.34266,55730,17559.496,44118311.73968,0
1705582800000,2513.32,2513.49,2503.00,2508.42,53888.993,1705584599999,135138973.64296,80530,25229.955,63276876.36156,0
1705584600000,2508.42,2524.57,2506.72,2515.76,73997.339,1705586399999,186256806.14350,96860,41803.347,105217366.23945,0
1705586400000,2515.76,2528.99,2513.78,2527.49,57122.142,1705588199999,144095577.49751,81301,31865.033,80392107.01697,0
1705588200000,2527.50,2534.72,2520.52,2534.10,67664.209,1705589999999,171043600.76452,82530,35617.580,90049513.43635,0
1705590000000,2534.10,2535.89,2527.00,2527.51,44604.320,1705591799999,112907484.91245,70012,21505.684,54443650.51021,0
1705591800000,2527.51,2532.62,2523.47,2526.12,45745.606,1705593599999,115666690.60106,56844,20931.557,52929961.02243,0
1705593600000,2526.12,2526.73,2508.32,2509.84,78280.188,1705595399999,197135977.93739,87464,35875.363,90353139.67379,0
1705595400000,2509.84,2511.52,2481.20,2488.78,290912.417,1705597199999,725296218.08704,279849,128341.491,319921230.54014,0
1705597200000,2488.79,2500.15,2470.50,2494.10,197616.450,1705598999999,490561860.88055,209991,92725.795,230231440.54849,0
1705599000000,2494.10,2497.52,2465.39,2481.42,148123.357,1705600799999,367328673.63308,156607,64804.387,160740840.02416,0
1705600800000,2481.42,2485.84,2455.88,2462.35,155111.948,1705602599999,382552524.71938,178113,72560.584,178994611.87929,0
1705602600000,2462.37,2471.99,2459.21,2464.24,56219.760,1705604399999,138609584.43383,79973,29469.561,72668233.67689,0
1705604400000,2464.25,2476.74,2456.75,2473.55,76131.083,1705606199999,187800167.50902,110748,40031.268,98755302.03370,0
1705606200000,2473.56,2474.96,2429.50,2439.37,204753.496,1705607999999,500865366.09063,189885,81462.648,199285578.63426,0
1705608000000,2439.36,2449.93,2435.76,2436.16,96735.284,1705609799999,236373418.50484,124729,51267.735,125276587.06988,0
1705609800000,2436.17,2462.68,2428.22,2446.66,112559.074,1705611599999,275295524.19056,148071,57329.360,140236846.17675,0
1705611600000,2446.66,2458.98,2442.38,2456.72,58438.778,1705613399999,143245237.15188,83302,31009.658,76018231.91926,0
1705613400000,2456.73,2465.03,2451.00,2457.88,43290.716,1705615199999,106515319.61181,66911,22244.139,54735988.89643,0
1705615200000,2457.88,2465.00,2455.49,2463.30,35224.143,1705616999999,86701488.90717,46425,19452.371,47878720.24388,0
1705617000000,2463.31,2472.90,2462.00,2470.59,35368.232,1705618799999,87310514.29449,48019,17572.237,43377493.41968,0
1705618800000,2470.59,2471.91,2465.04,2469.61,25586.384,1705620599999,63153826.03975,37702,10715.193,26447723.41949,0
1705620600000,2469.61,2471.29,2467.38,2471.29,13531.728,1705622399999,33414022.61000,23193,6386.815,15771166.96667,0
