open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1708300800000,2883.56,2886.75,2874.70,2882.77,40971.374,1708302599999,118064105.01676,63301,19283.587,55568291.79371,0
1708302600000,2882.76,2895.95,2866.06,2873.25,67000.769,1708304399999,192948407.97042,91567,33367.261,96118368.40372,0
1708304400000,2873.26,2874.44,2862.91,2865.96,34392.950,1708306199999,98630256.49043,52000,16246.233,46591499.44259,0
1708306200000,2865.96,2871.04,2856.40,2869.20,37460.423,1708307999999,107331655.63381,51012,19212.742,55063479.09526,0
1708308000000,2869.20,2888.80,2869.20,2888.80,45040.863,1708309799999,129660755.58842,67390,27202.931,78308768.78895,0
1708309800000,2888.79,2891.69,2882.43,2884.39,36079.145,1708311599999,104123292.19407,54768,16105.354,46483865.49882,0
1708311600000,2884.38,2890.95,2878.59,2882.00,34181.252,1708313399999,98617312.78514,49699,15406.859,44454655.39770,0
1708313400000,2881.99,2891.25,2877.02,2888.82,30056.350,1708315199999,86716008.34341,49956,14855.644,42867925.39956,0
1708315200000,2888.82,2898.00,2882.27,2894.62,42737.992,1708316999999,123540828.16747,66181,22937.371,66313060.23796,0
1708317000000,2894.49,2907.95,2891.08,2897.69,73048.144,1708318799999,211647609.42346,91051,38606.976,111890070.34912,0
1708318800000,2897.69,2901.08,2884.28,2895.71,51672.968,1708320599999,149341558.63959,71029,22768.056,65814625.13528,0
1708320600000,2895.70,2914.03,2886.75,2908.83,72069.407,1708322399999,209054060.05247,98453,38657.568,112168457.54931,0
1708322400000,2908.83,2934.00,2906.70,2926.01,147097.232,1708324199999,429923409.71321,182042,81791.577,239045732.42039,0
1708324200000,2926.00,2928.00,2917.00,2923.00,57497.902,1708325999999,168006495.11821,82116,28710.469,83889248.84404,0
1708326000000,2923.00,2932.14,2919.58,2929.23,44968.782,1708327799999,131598282.76312,73345,25027.898,73249890.98671,0
1708327800000,2929.24,2931.27,2921.00,2927.89,38837.609,1708329599999,113622434.79293,60397,19063.526,55778339.10338,0
1708329600000,2927.89,2929.66,2917.00,2919.46,50346.317,1708331399999,147079377.67014,67955,20363.429,59487592.69027,0
1708331400000,2919.47,2920.28,2903.51,2908.60,73332.826,1708333199999,213503454.24771,100428,31193.939,90812881.93715,0
1708333200000,2908.60,2922.38,2906.47,2915.31,55837.072,1708334999999,162686157.93871,74055,30482.251,88805232.14142,0
1708335000000,2915.30,2920.40,2909.54,2909.86,37039.063,1708336799999,107966882.18969,57208,19996.063,58293073.75897,0
