open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1729296000000,2641.11,2642.35,2637.32,2639.93,13657.354,1729297799999,36047606.96503,35140,5890.862,15548498.03914,0
1729297800000,2639.92,2640.31,2635.06,2638.67,12104.948,1729299599999,31930734.82672,32204,5365.235,14151932.89768,0
1729299600000,2638.68,2645.40,2635.79,2638.86,25662.569,1729301399999,67749736.93932,35168,11407.973,30119992.98395,0
1729301400000,2638.87,2642.06,2633.72,2634.95,21930.893,1729303199999,57839195.78094,40842,9086.154,23962087.38885,0
1729303200000,2634.96,2640.00,2634.01,2639.52,15052.943,1729304999999,39705638.22321,30823,9035.763,23833499.92919,0
1729305000000,2639.52,2647.53,2637.49,2646.01,19199.387,1729306799999,50743547.44787,33334,12394.713,32765339.86316,0
1729306800000,2646.02,2662.66,2645.50,2654.67,55799.182,1729308599999,148223839.55958,74315,29471.163,78273407.27762,0
1729308600000,2654.67,2654.72,2644.32,2645.35,28179.934,1729310399999,74651082.52431,38394,12641.025,33486912.36506,0
1729310400000,2645.36,2649.99,2640.68,2642.18,22477.344,1729312199999,59472531.06217,35414,9271.768,24543786.87750,0
1729312200000,2642.18,2644.88,2639.29,2639.57,14917.249,1729313999999,39410958.03379,30031,7314.617,19328275.47624,0
1729314000000,2639.57,2646.81,2639.50,2644.81,11515.925,1729315799999,30452969.14716,24604,6610.448,17479224.68312,0
1729315800000,2644.81,2646.90,2643.97,2646.13,8889.905,1729317599999,23517997.61434,20697,4126.893,10917784.90978,0
1729317600000,2646.13,2646.30,2641.14,2642.83,14933.793,1729319399999,39477974.36587,25368,5198.779,13743069.71018,0
1729319400000,2642.83,2646.65,2642.50,2643.24,8012.835,1729321199999,21191826.62175,19297,3657.763,9674165.30425,0
1729321200000,2643.23,2643.86,2636.55,2641.39,15734.933,1729322999999,41541970.26227,29178,6703.790,17700116.57139,0
1729323000000,2641.39,2641.39,2637.68,2639.98,6988.861,1729324799999,18445292.89321,21573,3339.741,8814312.39135,0
1729324800000,2639.98,2645.19,2639.98,2645.18,9310.559,1729326599999,24599997.12177,21176,5229.519,13817714.18193,0
1729326600000,2645.18,2646.69,2642.48,2644.74,10337.804,1729328399999,27339013.19999,26511,5147.668,13613719.51601,0
1729328400000,2644.74,2647.84,2644.47,2645.99,7927.008,1729330199999,20974875.90138,19123,3939.101,10423094.67678,0
1729330200000,2645.99,2646.66,2643.12,2644.95,8614.321,1729331999999,22782185.39612,18004,2481.018,6561619.35332,0
1729332000000,2644.95,2645.60,2639.49,2639.82,13895.752,1729333799999,36721170.72182,27697,4831.843,12770762.79665,0
1729333800000,2639.82,2643.48,2638.24,2638.71,12173.020,1729335599999,32144710.09073,26327,5518.022,14570977.00714,0
1729335600000,2638.71,2643.80,2637.61,2640.70,12998.700,1729337399999,34332771.13999,27090,7099.710,18753439.41277,0
1729337400000,2640.70,2640.71,2630.05,2630.34,39687.336,1729339199999,104563845.10950,53917,16982.820,44747833.63656,0
1729339200000,2630.35,2639.00,2630.15,2637.12,26854.568,1729340999999,70759766.39692,38330,15166.412,39958220.87339,0
1729341000000,2637.13,2640.67,2636.81,2639.09,13219.755,1729342799999,34887645.87736,23555,6109.770,16124190.45758,0
1729342800000,2639.08,2639.49,2634.65,2637.12,12022.251,1729344599999,31700255.97658,23607,4964.019,13087777.87024,0
1729344600000,2637.11,2637.77,2634.02,2635.27,8669.714,1729346399999,22848420.00078,20210,3491.524,9202078.82483,0
1729346400000,2635.28,2644.19,2635.26,2643.61,20724.897,1729348199999,54712672.32929,25759,12654.338,33406068.78120,0
1729348200000,2643.61,2651.00,2642.00,2649.14,49241.381,1729349999999,130300447.52852,51705,23415.965,61973351.95997,0
1729350000000,2649.15,2653.88,2642.46,2645.52,64522.853,1729351799999,170947760.85666,60731,28692.455,76024530.38664,0
1729351800000,2645.52,2646.07,2640.41,2644.87,19006.481,1729353599999,50243808.62953,34015,9596.183,25367920.00828,0
1729353600000,2644.88,2645.10,2638.25,2640.72,24121.492,1729355399999,63716260.74887,37458,9185.363,24258373.42864,0
1729355400000,2640.72,2644.57,2636.00,2636.52,15544.916,1729357199999,41051081.85253,34046,7546.710,19931290.49749,0
1729357200000,2636.53,2643.00,2636.20,2642.65,10406.017,1729358999999,27467519.87382,28968,6087.197,16068412.70997,0
1729359000000,2642.64,2643.68,2639.01,2640.72,6242.885,1729360799999,16487958.56666,19064,2743.764,7246674.45750,0
1729360800000,2640.73,2644.52,2637.62,2643.30,11998.953,1729362599999,31696729.79287,20039,7577.452,20017391.70783,0
1729362600000,2643.30,2643.60,2639.91,2641.43,11681.392,1729364399999,30855839.45151,15939,4895.025,12929816.18214,0
1729364400000,2641.43,2645.91,2636.97,2644.80,13152.739,1729366199999,34739259.64392,19747,6819.788,18017686.27659,0
1729366200000,2644.80,2645.87,2639.06,2640.58,5628.105,1729367999999,14872609.99032,14661,2477.761,6547797.16827,0
1729368000000,2640.59,2648.50,2640.01,2646.82,11598.423,1729369799999,30686082.86225,19608,6948.112,18383114.92517,0
