open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1705622400000,2471.29,2474.96,2462.60,2463.18,42329.391,1705624199999,104468150.21254,56185,22037.606,54392434.58962,0
1705624200000,2463.18,2472.63,2462.64,2468.30,24333.621,1705625999999,60087083.60415,40593,11511.565,28423770.18896,0
1705626000000,2468.30,2469.30,2459.00,2459.95,35356.201,1705627799999,87117649.97378,43715,13884.809,34219523.29915,0
1705627800000,2459.95,2468.89,2457.50,2463.79,28063.852,1705629599999,69141558.73669,38787,12738.843,31385760.64335,0
1705629600000,2463.79,2465.89,2460.00,2460.51,16356.358,1705631399999,40272369.80515,27274,8189.967,20164713.03302,0
1705631400000,2460.51,2460.93,2451.44,2453.07,39922.866,1705633199999,98037417.21966,64112,19110.348,46929235.04770,0
1705633200000,2453.08,2458.48,2446.52,2448.81,48767.704,1705634999999,119597264.72522,62369,23254.407,57030666.31130,0
1705635000000,2448.80,2463.79,2442.98,2460.77,67037.824,1705636799999,164454490.32791,73020,37247.233,91423973.44921,0
1705636800000,2460.76,2464.58,2456.86,2463.26,27193.334,1705638599999,66936954.96112,40268,14539.847,35794908.03029,0
1705638600000,2463.27,2466.52,2461.33,2462.48,20091.391,1705640399999,49496675.05528,29408,10653.873,26246238.86964,0
1705640400000,2462.48,2468.32,2459.59,2467.00,17419.037,1705642199999,42945034.57725,28298,8788.899,21669893.61141,0
1705642200000,2467.01,2468.91,2462.75,2465.20,17014.883,1705643999999,41955090.74360,26268,7974.874,19666451.09927,0
1705644000000,2465.20,2467.20,2462.25,2464.36,16383.106,1705645799999,40370436.62855,25120,7955.968,19604665.24273,0
1705645800000,2464.32,2474.00,2463.74,2471.48,39971.318,1705647599999,98733296.67705,57986,20745.661,51238299.53645,0
1705647600000,2471.48,2474.94,2467.67,2468.42,37840.470,1705649399999,93522461.19261,49247,18054.325,44624014.41878,0
1705649400000,2468.47,2470.57,2465.04,2465.48,35751.129,1705651199999,88244988.36550,42048,15260.050,37667237.69455,0
1705651200000,2465.48,2467.15,2460.40,2462.66,28128.058,1705652999999,69310448.91748,44932,13562.161,33419424.42050,0
1705653000000,2462.66,2477.93,2462.08,2473.82,40365.926,1705654799999,99724460.08325,53540,24766.160,61199857.23151,0
1705654800000,2473.81,2484.80,2472.59,2477.33,62595.216,1705656599999,155180063.55267,72115,33563.793,83212507.64617,0
1705656600000,2477.33,2483.44,2474.88,2482.73,33678.286,1705658399999,83505434.21890,50765,17280.380,42846634.58508,0
1705658400000,2482.74,2495.74,2481.58,2489.26,67754.574,1705660199999,168685901.58834,85813,35830.438,89199215.29356,0
1705660200000,2489.25,2492.71,2484.57,2490.86,34143.029,1705661999999,84951513.93130,54288,15455.623,38458805.66433,0
1705662000000,2490.85,2491.75,2487.31,2490.20,18374.891,1705663799999,45735198.45802,39856,9190.672,22875486.24849,0
1705663800000,2490.20,2493.60,2485.28,2488.83,28534.686,1705665599999,71049551.74783,47595,14504.860,36117811.84267,0
1705665600000,2488.83,2489.42,2481.86,2483.48,28768.147,1705667399999,71515026.39074,40399,11307.772,28112274.76362,0
1705667400000,2483.49,2487.60,2480.96,2485.90,23686.862,1705669199999,58850984.83500,40701,12578.709,31252900.71354,0
1705669200000,2485.91,2493.99,2483.40,2489.49,35289.577,1705670999999,87818698.85228,46779,17339.034,43145932.68741,0
1705671000000,2489.48,2498.00,2485.75,2497.67,35253.304,1705672799999,87827219.01006,48699,17490.949,43585011.17138,0
1705672800000,2497.68,2500.95,2475.14,2475.75,91251.072,1705674599999,226880049.36279,112770,38197.999,94978000.62214,0
1705674600000,2475.75,2484.00,2470.02,2475.47,90558.101,1705676399999,224342354.06355,122634,43683.494,108221908.61982,0
1705676400000,2475.48,2483.00,2460.37,2464.03,116481.898,1705678199999,287838819.50865,148372,58118.010,143630533.35481,0
1705678200000,2464.03,2475.00,2462.80,2463.66,76939.117,1705679999999,189924284.90650,100750,38720.666,95586054.57013,0
1705680000000,2463.67,2468.69,2437.91,2443.62,183521.462,1705681799999,449956159.57990,204535,85447.385,209545932.56281,0
1705681800000,2443.61,2444.79,2415.55,2429.11,229782.715,1705683599999,558150573.88947,270273,110536.792,268527279.21478,0
1705683600000,2429.11,2444.85,2417.02,2444.69,121911.628,1705685399999,296399828.28596,163221,62284.635,151458702.81225,0
1705685400000,2444.68,2473.00,2438.36,2471.78,149937.777,1705687199999,368774276.27722,182843,79997.903,196741530.05634,0
1705687200000,2471.77,2488.99,2462.11,2485.52,91721.724,1705688999999,226789568.31811,113506,51342.739,126989890.60117,0
