open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1726704000000,2373.93,2394.70,2371.37,2385.79,157977.051,1726705799999,376567144.89689,150685,83998.308,200264868.78998,0
1726705800000,2385.80,2409.35,2380.31,2397.32,149981.561,1726707599999,359207638.88678,139015,73121.539,175170737.55510,0
1726707600000,2397.32,2400.00,2377.39,2381.60,162505.127,1726709399999,388107556.18226,121940,82794.583,197737839.66109,0
1726709400000,2381.61,2394.77,2372.77,2389.36,71273.773,1726711199999,169999075.57530,82654,33452.617,79814248.32159,0
1726711200000,2389.37,2392.96,2382.77,2392.90,42697.639,1726712999999,101988278.50600,50378,19598.407,46812101.56907,0
1726713000000,2392.90,2400.57,2390.54,2399.51,46158.776,1726714799999,110569120.42605,47738,24452.881,58572994.03868,0
1726714800000,2399.50,2406.00,2396.72,2405.64,44322.359,1726716599999,106403923.05412,52612,24036.547,57709572.84559,0
1726716600000,2405.64,2412.25,2400.79,2402.79,44954.031,1726718399999,108158861.81966,57847,21596.019,51972643.16385,0
1726718400000,2402.79,2408.01,2398.50,2401.88,39552.550,1726720199999,95056759.64901,50619,17357.197,41717536.40107,0
1726720200000,2401.87,2418.20,2399.54,2415.48,49658.120,1726721999999,119655740.77560,52049,29638.708,71426783.06749,0
1726722000000,2415.49,2422.38,2410.01,2410.53,65285.139,1726723799999,157770345.63757,68468,32653.844,78935884.34398,0
1726723800000,2410.53,2413.19,2405.22,2410.88,28838.553,1726725599999,69467419.23746,37723,15285.025,36825245.32068,0
1726725600000,2410.89,2414.01,2403.60,2412.12,45641.108,1726727399999,109937513.73041,48133,24909.832,60005699.19660,0
1726727400000,2412.13,2419.63,2411.83,2416.03,31678.410,1726729199999,76531915.38636,41971,18352.760,44338184.54033,0
1726729200000,2416.03,2426.77,2413.15,2422.51,61373.067,1726730999999,148623385.18965,74044,34773.332,84210731.37582,0
1726731000000,2422.52,2442.24,2420.53,2436.61,89593.132,1726732799999,218065088.37790,93144,47755.648,116241369.13084,0
1726732800000,2436.61,2441.25,2430.41,2432.34,57577.265,1726734599999,140228943.32943,72071,27730.133,67542402.19212,0
1726734600000,2432.33,2438.00,2429.07,2430.07,36265.034,1726736399999,88202425.11739,50148,17770.539,43225882.76823,0
1726736400000,2430.08,2440.90,2427.50,2431.97,37693.232,1726738199999,91748997.23972,50922,20426.682,49727002.29009,0
1726738200000,2431.98,2433.99,2427.33,2429.78,31044.945,1726739999999,75459712.88651,44744,16470.399,40037318.88549,0
1726740000000,2429.78,2437.68,2426.00,2436.28,38768.558,1726741799999,94268902.34629,50093,20447.795,49717301.61862,0
1726741800000,2436.27,2438.69,2424.14,2424.78,34576.388,1726743599999,83957857.05121,48476,15732.269,38208204.17696,0
1726743600000,2424.77,2427.51,2421.45,2426.69,30457.548,1726745399999,73851649.97440,38983,15270.623,37032506.00968,0
1726745400000,2426.68,2436.43,2424.87,2434.01,29220.451,1726747199999,71036653.12867,40815,15636.543,38010219.75878,0
1726747200000,2434.00,2451.83,2432.64,2434.86,121966.677,1726748999999,297796790.53989,128820,60860.693,148646433.53266,0
1726749000000,2434.86,2440.56,2425.25,2434.50,54048.168,1726750799999,131444868.05709,70566,25307.799,61567870.11464,0
1726750800000,2434.50,2449.21,2430.37,2446.00,49162.060,1726752599999,119951129.57528,74695,27743.383,67696505.16317,0
1726752600000,2445.99,2446.47,2419.50,2431.42,100922.403,1726754399999,245238254.20940,119724,51253.313,124538039.62012,0
1726754400000,2431.42,2437.98,2420.27,2432.04,54785.147,1726756199999,133178608.93303,97418,27529.672,66935275.14440,0
1726756200000,2432.04,2439.53,2423.00,2425.05,58343.267,1726757999999,141821967.28820,85785,28231.740,68637656.72551,0
1726758000000,2425.05,2433.41,2420.42,2432.61,47064.576,1726759799999,114229766.56620,70495,24500.731,59470643.84493,0
1726759800000,2432.61,2439.99,2428.60,2439.00,36925.732,1726761599999,89935540.96420,57571,20133.175,49033522.30623,0
1726761600000,2439.00,2463.72,2432.01,2461.11,158495.033,1726763399999,388088484.30083,151678,88176.021,215955863.17511,0
1726763400000,2461.12,2482.72,2459.50,2471.23,172452.893,1726765199999,426528287.60952,155081,88841.094,219747023.49574,0
1726765200000,2471.23,2478.16,2454.24,2458.81,100478.054,1726766999999,247722766.73852,105010,43203.947,106490070.26536,0
1726767000000,2458.81,2478.99,2457.87,2474.66,72638.052,1726768799999,179446369.59707,81557,40870.307,100968044.61436,0
1726768800000,2474.67,2494.68,2471.70,2480.18,105874.444,1726770599999,262866133.63767,102553,52612.576,130649944.72885,0
1726770600000,2480.19,2487.59,2470.76,2474.03,56424.440,1726772399999,139826235.51884,70267,28589.086,70862963.46520,0
1726772400000,2474.03,2474.67,2461.70,2463.62,49372.801,1726774199999,121814159.82018,53685,20653.179,50960816.79600,0
1726774200000,2463.61,2470.19,2459.00,2459.79,37751.955,1726775999999,93034468.09469,50901,18804.509,46349948.77490,0
1726776000000,2459.79,2464.08,2455.33,2462.44,26454.078,1726777799999,65101235.24433,36625,13839.641,34061815.26925,0
1726777800000,2462.43,2469.87,2461.69,2463.96,22246.621,1726779599999,54843529.08536,30847,11929.221,29409833.01852,0
1726779600000,2463.96,2470.52,2458.87,2465.40,30548.665,1726781399999,75269845.19598,36763,11894.414,29311982.44887,0
1726781400000,2465.41,2469.86,2460.75,2460.75,12514.172,1726783199999,30840216.67939,19409,4414.507,10880882.90337,0
1726783200000,2460.75,2463.83,2452.18,2458.27,37171.202,1726784999999,91349820.31823,58096,15768.982,38758443.18342,0
1726785000000,2458.28,2474.38,2454.21,2471.13,60873.416,1726786799999,150140712.20261,71039,32107.112,79178621.87414,0
1726786800000,2471.13,2478.24,2468.70,2469.26,32088.469,1726788599999,79382725.18345,43716,15689.650,38819269.00675,0
1726788600000,2469.25,2469.68,2461.25,2464.56,22858.861,1726790399999,56359417.31122,32708,10986.348,27086331.56817,0
