open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1731974400000,3210.48,3224.83,3181.11,3186.57,123218.071,1731976199999,394503184.19453,213993,50485.042,161665694.78956,0
1731976200000,3186.56,3188.97,3156.34,3158.21,146448.708,1731977999999,464282818.12664,226482,51637.752,163731131.80644,0
1731978000000,3158.21,3166.00,3147.52,3159.71,107303.837,1731979799999,338611915.79749,148089,56867.282,179472240.93297,0
1731979800000,3159.70,3165.48,3144.32,3145.95,46900.427,1731981599999,147912354.30815,88017,16237.941,51222243.31031,0
1731981600000,3145.95,3162.63,3145.43,3162.19,28790.203,1731983399999,90838565.18804,70721,15774.453,49771599.05885,0
1731983400000,3162.19,3163.19,3150.63,3159.51,20666.592,1731985199999,65280910.95312,55911,11542.403,36463010.85976,0
1731985200000,3159.52,3161.81,3151.12,3158.42,24619.628,1731986999999,77730372.24628,62359,11496.536,36294316.19178,0
1731987000000,3158.42,3158.43,3147.46,3150.89,24570.009,1731988799999,77449364.00046,50324,10267.459,32361663.80438,0
1731988800000,3150.89,3161.92,3145.73,3155.14,33264.054,1731990599999,104885042.42289,66869,13565.298,42782169.81961,0
1731990600000,3155.13,3161.55,3121.64,3132.11,85511.615,1731992399999,268199407.13956,125913,31638.755,99230604.14520,0
1731992400000,3132.12,3143.58,3115.59,3127.39,63211.210,1731994199999,197936341.20447,102116,29412.463,92131872.60120,0
1731994200000,3127.39,3138.20,3119.60,3137.43,33159.804,1731995999999,103765559.48652,65946,15920.748,49836816.82754,0
1731996000000,3137.41,3137.41,3118.23,3129.35,33866.715,1731997799999,105900887.71019,69453,14090.508,44056994.47509,0
1731997800000,3129.34,3133.59,3124.93,3132.77,23149.291,1731999599999,72465968.98702,50552,11205.195,35079537.56451,0
1731999600000,3132.77,3133.28,3110.31,3128.19,71868.637,1732001399999,224444992.74035,98475,37480.738,117064688.15971,0
1732001400000,3128.19,3129.00,3118.16,3120.42,29860.382,1732003199999,93280148.85761,58391,13472.382,42088237.05154,0
1732003200000,3120.42,3130.25,3113.31,3117.86,38257.862,1732004999999,119392616.68231,78139,20277.502,63287384.55623,0
1732005000000,3117.86,3123.56,3105.42,3121.33,48639.894,1732006799999,151460080.85594,89580,22881.959,71261866.86420,0
1732006800000,3121.34,3129.78,3095.00,3100.22,77607.776,1732008599999,241483712.96873,119843,30961.430,96410562.04770,0
1732008600000,3100.23,3118.67,3093.01,3112.62,66435.994,1732010399999,206336591.54637,119353,33535.053,104163320.56325,0
1732010400000,3112.62,3121.39,3103.00,3117.16,45859.295,1732012199999,142796828.46473,79580,23307.109,72606105.59908,0
