open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1702944000000,2220.49,2223.00,2213.31,2214.28,61621.191,1702945799999,136633556.53165,61189,28561.990,63335010.85517,0
1702945800000,2214.28,2224.30,2212.69,2216.21,44566.075,1702947599999,98861933.29461,48264,22175.948,49187630.22768,0
1702947600000,2216.21,2243.57,2213.84,2236.15,116518.540,1702949399999,259920988.49418,111909,69748.643,155595329.97003,0
1702949400000,2236.15,2249.95,2226.54,2248.55,118430.599,1702951199999,265087331.01610,102302,60083.186,134518649.42974,0
1702951200000,2248.56,2255.48,2235.77,2236.41,95271.271,1702952999999,213989779.72895,95408,47026.653,105659878.17688,0
1702953000000,2236.42,2241.00,2234.30,2234.47,34267.669,1702954799999,76677971.77487,35636,16847.761,37697799.82422,0
1702954800000,2234.48,2236.79,2232.19,2233.90,26921.657,1702956599999,60141481.29287,33603,11247.534,25127386.51012,0
1702956600000,2233.90,2240.00,2233.48,2237.72,25524.134,1702958399999,57083238.04215,31097,14437.307,32288228.54744,0
1702958400000,2237.72,2244.54,2237.71,2238.56,32432.923,1702960199999,72686870.76746,38781,17071.416,38263797.27232,0
1702960200000,2238.56,2238.82,2232.42,2238.05,30128.840,1702961999999,67359071.97643,34006,13821.530,30899137.49755,0
1702962000000,2238.05,2240.23,2236.37,2239.99,13360.141,1702963799999,29904327.78358,20296,6287.189,14073443.51777,0
1702963800000,2240.00,2246.33,2237.66,2244.72,22304.103,1702965599999,49996832.98033,25031,11690.680,26211840.93487,0
1702965600000,2244.72,2248.74,2237.80,2245.32,32550.266,1702967399999,73042109.95993,36383,15978.160,35858501.19788,0
1702967400000,2245.32,2248.61,2241.98,2243.97,18314.313,1702969199999,41113279.75648,25348,8523.188,19135318.15659,0
1702969200000,2243.96,2252.65,2243.96,2246.96,31045.868,1702970999999,69787890.92549,36486,15992.719,35951767.12239,0
1702971000000,2246.96,2254.67,2244.00,2248.57,38425.910,1702972799999,86454019.27470,41568,18247.149,41060362.54405,0
1702972800000,2248.57,2256.64,2244.98,2253.17,44724.482,1702974599999,100690742.95435,48928,21551.740,48521759.31957,0
1702974600000,2253.17,2253.39,2247.24,2248.61,34585.691,1702976399999,77819159.57581,38906,13731.580,30895720.83821,0
1702976400000,2248.60,2255.00,2243.37,2248.29,54345.686,1702978199999,122204323.99803,50842,23387.480,52598500.07377,0
1702978200000,2248.29,2249.68,2241.96,2246.01,30886.537,1702979999999,69371942.67716,36652,12531.221,28145759.04972,0
1702980000000,2246.01,2246.27,2237.39,2242.97,45532.508,1702981799999,102082983.00293,45606,19402.926,43499736.47811,0
1702981800000,2242.98,2247.60,2239.47,2242.85,39318.898,1702983599999,88222602.49898,42790,19620.391,44028695.00179,0
1702983600000,2242.85,2245.00,2238.38,2240.64,23716.565,1702985399999,53160658.54891,34851,9817.152,22006289.84730,0
1702985400000,2240.62,2242.47,2235.26,2237.41,29496.062,1702987199999,66052012.87862,36544,13383.639,29971899.97169,0
1702987200000,2237.41,2242.37,2235.54,2238.62,28074.641,1702988999999,62853983.22686,33864,13577.021,30397520.29930,0
1702989000000,2238.63,2239.19,2230.58,2233.83,42196.249,1702990799999,94266088.84764,47413,18626.873,41610112.27199,0
1702990800000,2233.83,2237.23,2231.00,2232.56,26259.953,1702992599999,58679938.12364,31927,13049.082,29161428.53388,0
1702992600000,2232.56,2235.88,2226.23,2226.27,43962.132,1702994399999,98057383.58186,45560,19425.827,43332437.18932,0
1702994400000,2226.27,2228.97,2200.95,2212.66,199578.309,1702996199999,441695474.07673,160848,91983.891,203552765.99087,0
1702996200000,2212.65,2213.62,2182.65,2189.00,172900.663,1702997999999,379879078.10231,150710,77122.588,169450860.67285,0
1702998000000,2189.00,2205.71,2180.02,2205.71,132241.346,1702999799999,289978118.56058,120338,77348.353,169636457.96045,0
1702999800000,2205.71,2206.79,2190.29,2192.85,78580.587,1703001599999,172586128.25469,71911,38126.483,83738749.04813,0
1703001600000,2192.85,2207.96,2188.78,2196.50,90772.456,1703003399999,199632025.24613,71298,47697.008,104913268.84110,0
1703003400000,2196.50,2199.30,2175.00,2180.00,109771.908,1703005199999,240108918.78746,97620,47901.269,104805730.11215,0
1703005200000,2179.75,2182.30,2153.14,2157.47,167426.804,1703006999999,362596748.88096,168607,79482.102,172135025.50595,0
1703007000000,2157.47,2159.60,2140.10,2142.15,159939.296,1703008799999,343969734.04850,162320,73011.103,157017956.86122,0
1703008800000,2142.14,2162.13,2135.03,2161.13,130561.816,1703010599999,280473890.93233,107863,67067.133,144135369.94433,0
1703010600000,2161.13,2175.31,2160.11,2172.99,84568.732,1703012399999,183333837.16730,78412,46141.628,100019776.69927,0
1703012400000,2172.99,2181.00,2169.04,2180.46,54028.001,1703014199999,117490320.98792,55557,27846.350,60569096.06028,0
1703014200000,2180.47,2187.99,2170.95,2177.82,83548.890,1703015999999,182062943.18519,68844,40757.875,88830593.50005,0
1703016000000,2177.83,2180.49,2173.41,2175.68,37099.639,1703017799999,80766253.11474,40419,17396.806,37873695.74233,0
1703017800000,2175.68,2175.68,2166.01,2171.68,48459.219,1703019599999,105162132.26752,48713,21731.335,47160068.21539,0
1703019600000,2171.67,2186.00,2171.13,2183.92,45713.355,1703021399999,99654986.02596,44693,25067.586,54646964.91025,0
1703021400000,2183.91,2186.94,2179.27,2186.94,27902.333,1703023199999,60906174.95357,29985,12759.577,27852359.35287,0
1703023200000,2186.93,2187.62,2172.74,2176.02,30409.163,1703024999999,66235605.38968,31285,13768.448,29989593.10846,0
1703025000000,2176.01,2182.66,2174.49,2178.62,18751.528,1703026799999,40839567.35737,21329,9675.799,21074374.98669,0
