open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1732060800000,3109.33,3115.76,3094.12,3096.26,37622.625,1732062599999,116801266.89428,75523,17525.205,54417453.25110,0
1732062600000,3096.27,3115.39,3092.00,3109.34,31684.132,1732064399999,98439922.94485,73940,16681.105,51838125.47141,0
1732064400000,3109.35,3134.89,3100.11,3107.37,57008.713,1732066199999,177643829.12195,92344,31872.975,99395546.86028,0
1732066200000,3107.38,3115.68,3095.35,3101.42,38956.695,1732067999999,120953769.41605,84629,20650.107,64108852.16733,0
1732068000000,3101.41,3108.22,3086.38,3105.66,37766.080,1732069799999,116951042.47816,88468,18620.330,57674590.20542,0
1732069800000,3105.67,3105.83,3086.59,3088.48,51195.152,1732071599999,158421101.14268,91615,19125.007,59192725.36202,0
1732071600000,3088.49,3091.51,3073.56,3081.41,70861.638,1732073399999,218372704.63754,124512,33040.955,101825380.92557,0
1732073400000,3081.42,3100.23,3073.76,3098.66,50751.314,1732075199999,156691496.72968,96892,27297.102,84289518.62342,0
1732075200000,3098.66,3101.00,3089.91,3100.99,26672.413,1732076999999,82586750.70111,55421,13734.536,42535695.76644,0
1732077000000,3101.00,3104.23,3097.25,3100.40,19290.781,1732078799999,59809426.42352,40804,10191.274,31599235.95361,0
1732078800000,3100.41,3117.73,3093.19,3112.49,48467.712,1732080599999,150661962.22203,72819,24182.472,75210444.25365,0
1732080600000,3112.48,3117.33,3103.50,3110.60,25968.476,1732082399999,80740642.44500,54087,10498.058,32645003.08047,0
1732082400000,3110.60,3115.81,3106.50,3112.10,23057.929,1732084199999,71750688.46997,50963,11039.048,34354122.12322,0
1732084200000,3112.10,3115.76,3102.51,3106.44,24146.663,1732085999999,75074063.31592,52083,9359.854,29108774.79546,0
1732086000000,3106.43,3116.87,3100.31,3108.84,29127.397,1732087799999,90549790.56414,62730,14647.499,45544078.54882,0
1732087800000,3108.84,3114.00,3106.38,3111.12,22354.733,1732089599999,69530532.16163,54459,10642.157,33098472.61219,0
1732089600000,3111.04,3128.00,3107.70,3125.93,63667.843,1732091399999,198621729.83848,91378,38251.725,119338062.78738,0
1732091400000,3125.93,3131.93,3120.00,3125.38,43327.964,1732093199999,135443898.55585,81673,19787.810,61864954.56174,0
1732093200000,3125.37,3137.58,3119.00,3123.61,57089.509,1732094999999,178629631.33293,99967,27132.966,84918550.92471,0
1732095000000,3123.61,3128.00,3117.80,3120.23,38764.683,1732096799999,121059672.85023,74369,14622.010,45665385.75744,0
1732096800000,3120.24,3123.04,3115.00,3119.01,24270.104,1732098599999,75712975.22784,50665,13339.080,41616511.34511,0
1732098600000,3119.00,3121.68,3110.10,3111.46,25883.237,1732100399999,80668151.37942,51691,9965.720,31066015.56060,0
1732100400000,3111.46,3112.30,3085.12,3099.07,102157.794,1732102199999,316269312.52620,133831,45175.334,139833552.01131,0
1732102200000,3099.06,3107.94,3093.99,3101.80,34651.184,1732103999999,107457175.16823,72407,19128.616,59323798.21909,0
1732104000000,3101.79,3104.47,3086.67,3094.59,50637.762,1732105799999,156680105.54117,105697,24179.140,74822199.62924,0
1732105800000,3094.59,3097.99,3083.24,3091.58,48643.908,1732107599999,150344563.44395,100385,24296.341,75107387.07595,0
1732107600000,3091.59,3116.49,3087.34,3111.26,89588.626,1732109399999,278260283.24813,156519,47266.509,146795125.50276,0
1732109400000,3111.25,3116.05,3098.21,3115.36,57396.091,1732111199999,178433958.99020,118103,28807.011,89574351.55303,0
1732111200000,3115.36,3162.25,3115.33,3129.00,262143.846,1732112999999,823633644.44475,332864,131929.497,414474720.12690,0
1732113000000,3128.99,3130.00,3091.50,3116.19,183375.858,1732114799999,570793456.77459,289487,87560.748,272619035.12888,0
1732114800000,3116.19,3122.74,3091.04,3104.37,126909.871,1732116599999,393993009.95055,204220,63184.255,196151244.96848,0
1732116600000,3104.38,3133.23,3102.36,3131.99,76348.020,1732118399999,238009929.57180,142244,35109.605,109476948.60511,0
1732118400000,3131.98,3137.47,3083.00,3084.43,182199.906,1732120199999,566585921.23660,224965,71636.762,222703217.95164,0
1732120200000,3084.44,3096.66,3076.50,3090.81,130580.298,1732121999999,403041571.42373,203528,64742.407,199880426.33404,0
1732122000000,3090.80,3098.58,3065.13,3077.85,120506.435,1732123799999,371017651.37814,180255,52014.313,160184268.07144,0
1732123800000,3077.85,3089.85,3065.54,3065.54,67647.334,1732125599999,208258955.51302,130249,33418.907,102912046.49565,0
1732125600000,3065.54,3079.77,3046.19,3056.81,146729.001,1732127399999,449270145.89626,222346,65719.300,201321779.07483,0
