open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1718841600000,3558.84,3563.81,3548.05,3551.58,25353.865,1718843399999,90130217.85485,50686,12884.611,45804855.73125,0
1718843400000,3551.59,3568.77,3551.24,3561.27,26043.785,1718845199999,92703141.30686,46997,14814.651,52736203.62708,0
1718845200000,3561.27,3574.81,3552.90,3573.34,33332.743,1718846999999,118781101.02334,54630,18375.091,65482741.14670,0
1718847000000,3573.34,3594.60,3548.52,3557.27,110328.771,1718848799999,393699073.55105,131882,54352.082,193995388.30723,0
1718848800000,3557.27,3557.45,3531.44,3548.48,95172.902,1718850599999,337156607.94128,109258,45841.259,162457205.81412,0
1718850600000,3548.48,3554.74,3542.34,3550.76,20341.038,1718852399999,72176294.21759,43691,10790.943,38293291.91500,0
1718852400000,3550.76,3552.96,3542.66,3547.17,14590.630,1718854199999,51756651.01921,28802,7301.406,25901645.29475,0
1718854200000,3547.17,3555.82,3546.00,3551.85,13966.793,1718855999999,49593854.42437,31137,8249.835,29294726.99020,0
1718856000000,3551.85,3555.64,3543.20,3553.36,19956.528,1718857799999,70834407.10289,32888,10833.110,38451059.44031,0
1718857800000,3553.35,3573.15,3553.35,3569.21,46412.723,1718859599999,165508834.69492,61642,27379.587,97626682.22510,0
1718859600000,3569.22,3581.70,3565.75,3573.45,50382.350,1718861399999,180081006.95483,67475,25365.196,90673595.87175,0
1718861400000,3573.46,3583.49,3573.01,3579.58,29246.755,1718863199999,104644252.52334,46473,13563.301,48531198.93943,0
1718863200000,3579.59,3590.00,3573.60,3585.00,53017.166,1718864999999,189926950.17642,74575,27139.908,97244628.18183,0
1718865000000,3585.00,3590.95,3572.77,3578.56,32053.820,1718866799999,114821000.75332,55563,14589.425,52275756.61663,0
1718866800000,3578.57,3614.51,3578.16,3605.65,89754.680,1718868599999,323100568.55816,109649,51260.581,184516263.26876,0
1718868600000,3605.66,3614.68,3600.91,3606.02,46354.597,1718870399999,167150860.04801,69446,22920.638,82657084.03240,0
1718870400000,3606.02,3609.58,3597.02,3597.30,41380.465,1718872199999,149049963.43834,61062,17636.956,63537005.65390,0
1718872200000,3597.35,3600.84,3581.06,3585.55,54484.456,1718873999999,195519001.76553,75283,26119.971,93729313.59327,0
1718874000000,3585.56,3589.70,3581.58,3583.99,25673.564,1718875799999,92051348.18229,45020,11911.790,42713632.72693,0
1718875800000,3583.99,3588.65,3570.07,3579.36,43928.694,1718877599999,157203691.34073,70713,22816.467,81661518.33754,0
1718877600000,3579.36,3585.77,3573.50,3578.00,31136.585,1718879399999,111436607.77439,46513,16071.969,57521706.75193,0
1718879400000,3578.00,3608.31,3577.43,3603.36,61247.600,1718881199999,220063047.58224,77096,35331.819,126946512.40838,0
1718881200000,3603.36,3625.00,3597.24,3611.05,121578.784,1718882999999,439063341.13353,148306,66724.327,240968317.85317,0
1718883000000,3611.05,3616.38,3594.77,3597.49,51651.557,1718884799999,186179015.17598,80441,24275.014,87513313.27194,0
1718884800000,3597.49,3610.00,3581.10,3592.01,77217.568,1718886599999,277394301.42377,107061,35378.520,127096227.15861,0
1718886600000,3592.01,3601.41,3583.06,3587.81,47428.777,1718888399999,170344304.05218,92315,24389.588,87606325.41868,0
1718888400000,3587.81,3590.68,3529.12,3543.63,222627.222,1718890199999,791339235.11635,241366,93570.805,332547857.98672,0
1718890200000,3543.61,3546.35,3522.04,3530.00,138806.869,1718891999999,490925609.43813,165004,67967.520,240384032.91164,0
1718892000000,3530.00,3532.79,3489.46,3519.82,180407.285,1718893799999,633088759.26221,228173,83810.688,294154166.46931,0
1718893800000,3519.82,3524.25,3505.80,3519.69,63923.332,1718895599999,224810255.29367,101208,31379.377,110367794.34483,0
1718895600000,3519.69,3530.98,3511.63,3519.01,67306.909,1718897399999,237130732.15537,96286,34371.511,121105046.26229,0
1718897400000,3519.00,3530.50,3504.30,3504.37,56500.132,1718899199999,198730571.80341,84602,24892.643,87581880.21598,0
1718899200000,3504.37,3511.30,3483.63,3505.01,134259.567,1718900999999,469488557.19642,161202,64657.608,226148224.26268,0
1718901000000,3505.01,3522.14,3500.91,3514.80,66112.311,1718902799999,232290340.34770,88768,35380.247,124319347.52966,0
1718902800000,3514.80,3520.00,3506.23,3515.96,28422.408,1718904599999,99877054.86439,53016,13833.246,48621957.90171,0
1718904600000,3515.95,3523.53,3509.00,3521.26,36633.120,1718906399999,128821679.78718,57334,18081.401,63588352.27516,0
1718906400000,3521.27,3541.63,3519.17,3534.61,55288.783,1718908199999,195207103.43221,77119,30848.622,108929141.33347,0
1718908200000,3534.61,3534.62,3521.05,3525.16,23432.361,1718909999999,82649137.48054,38871,8226.022,29011736.03725,0
1718910000000,3525.17,3527.49,3511.71,3526.15,28764.897,1718911799999,101268188.99074,44772,14104.175,49660646.52006,0
1718911800000,3526.15,3537.26,3517.05,3534.68,27452.169,1718913599999,96771843.64209,46883,15275.928,53876288.21682,0
1718913600000,3534.68,3537.41,3522.85,3523.64,17871.352,1718915399999,63079347.24497,31224,8624.490,30443356.17499,0
1718915400000,3523.64,3527.68,3520.00,3524.47,12030.220,1718917199999,42386249.23580,22196,5929.393,20892740.69889,0
1718917200000,3524.48,3528.53,3520.54,3528.11,11682.226,1718918999999,41179339.63538,21093,6707.809,23646524.43937,0
1718919000000,3528.12,3528.12,3514.02,3515.26,11708.909,1718920799999,41197284.93302,23913,4010.048,14107502.59084,0
1718920800000,3515.26,3521.05,3512.54,3516.42,12758.958,1718922599999,44870533.41615,25796,6664.589,23437969.35451,0
1718922600000,3516.43,3519.05,3513.00,3517.70,9064.974,1718924399999,31868020.52581,19159,5210.123,18316759.49180,0
1718924400000,3517.69,3521.54,3509.03,3510.65,25862.905,1718926199999,90873749.84570,32798,13025.200,45765238.57865,0
1718926200000,3510.65,3517.38,3510.34,3511.26,11216.827,1718927999999,39406717.17893,22475,5142.242,18067281.91073,0
