open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1708387200000,2946.55,2957.34,2942.51,2952.93,72034.554,1708388999999,212510607.59281,82281,35137.238,103651486.44412,0
1708389000000,2952.93,2958.30,2930.77,2937.31,75975.714,1708390799999,223498675.05008,106301,34757.760,102273605.57568,0
1708390800000,2937.32,2947.09,2905.14,2917.21,136271.115,1708392599999,398232994.10589,145509,59334.450,173395779.77335,0
1708392600000,2917.22,2928.70,2912.52,2923.42,63054.086,1708394399999,184137444.55633,96293,32119.215,93806096.98255,0
1708394400000,2923.42,2928.58,2918.89,2923.42,37602.272,1708396199999,109941946.31265,54617,19022.663,55621053.92471,0
1708396200000,2923.42,2932.00,2917.06,2928.80,37149.167,1708397999999,108629640.21571,50972,19954.409,58357156.12384,0
1708398000000,2928.80,2932.98,2915.15,2919.93,32275.301,1708399799999,94334842.95149,51562,14896.905,43548373.29278,0
1708399800000,2919.93,2926.08,2906.83,2908.89,42789.613,1708401599999,124767522.72855,62243,19521.281,56937348.20756,0
1708401600000,2908.89,2924.49,2905.00,2919.00,66738.370,1708403399999,194595192.50598,79449,33129.151,96601211.35150,0
1708403400000,2919.01,2928.63,2918.44,2926.21,27373.192,1708405199999,80063014.43832,44361,15409.322,45071187.84537,0
1708405200000,2926.20,2938.12,2924.18,2932.89,38437.567,1708406999999,112656403.22406,53575,21337.353,62534707.34649,0
1708407000000,2932.88,2934.24,2925.42,2929.80,22004.805,1708408799999,64463584.65365,39981,11526.658,33769264.74096,0
1708408800000,2929.81,2935.64,2927.69,2933.80,19866.275,1708410599999,58268811.75129,32630,10917.533,32021991.18755,0
1708410600000,2933.79,2937.25,2931.33,2932.71,18727.978,1708412399999,54959193.56292,35556,8733.492,25630956.18574,0
1708412400000,2932.70,2933.73,2928.05,2930.74,17224.769,1708414199999,50483335.40381,29225,6982.098,20464339.55441,0
1708414200000,2930.73,2932.56,2917.76,2923.32,42791.228,1708415999999,125111869.69452,57447,18246.756,53347764.38248,0
1708416000000,2923.32,2925.69,2906.00,2913.21,61279.498,1708417799999,178567854.25143,81077,27527.003,80210617.73806,0
1708417800000,2913.22,2921.83,2913.21,2918.09,34627.980,1708419599999,101058929.51502,48808,17954.734,52398172.58955,0
1708419600000,2918.09,2923.57,2891.41,2896.52,121305.800,1708421399999,352123646.63503,125095,50661.327,147080905.92665,0
1708421400000,2896.52,2904.96,2873.60,2902.25,147433.406,1708423199999,426312501.77083,165124,68733.022,198832619.06084,0
1708423200000,2902.26,2919.86,2902.00,2917.53,79448.102,1708424999999,231339157.77281,99304,41538.251,120961163.26902,0
1708425000000,2917.53,2925.96,2914.41,2921.81,54195.696,1708426799999,158279907.20908,75793,29854.205,87194537.81305,0
1708426800000,2921.81,2944.23,2921.80,2937.54,116043.382,1708428599999,340388211.81924,141213,62116.343,182201685.69246,0
1708428600000,2937.55,2940.00,2930.44,2937.20,41584.869,1708430399999,122085930.21789,63584,20049.059,58864643.17920,0
1708430400000,2937.19,2956.94,2934.08,2949.11,101252.940,1708432199999,298353310.78525,114510,52912.314,155920488.48284,0
1708432200000,2949.11,2954.23,2932.39,2933.04,79261.031,1708433999999,233135954.27717,93975,33995.556,100011554.05222,0
1708434000000,2933.04,2973.88,2928.80,2970.45,209991.525,1708435799999,621498058.46398,205075,107376.355,317803046.59167,0
1708435800000,2970.45,3008.93,2968.28,3001.77,376770.372,1708437599999,1127523952.25035,365814,198302.813,593420936.82041,0
1708437600000,3001.77,3009.68,2956.64,2969.42,327013.809,1708439399999,974149347.55169,316924,155180.880,462355929.62302,0
1708439400000,2969.42,2974.93,2918.92,2940.89,291793.752,1708441199999,858111655.61989,283241,134997.910,396977517.13711,0
1708441200000,2940.89,2942.40,2906.00,2913.99,189362.036,1708442999999,553917544.98245,201971,83721.058,245002436.26596,0
1708443000000,2913.99,2931.60,2901.06,2926.95,190116.084,1708444799999,554817077.31391,197553,98664.131,287915023.85744,0
1708444800000,2926.94,2936.40,2921.13,2934.68,93197.091,1708446599999,272990847.93450,105911,48885.411,143233156.16637,0
1708446600000,2934.68,2935.00,2893.60,2898.91,121300.334,1708448399999,353187151.91873,139869,49831.016,145084547.21908,0
1708448400000,2898.91,2915.86,2885.00,2901.96,177273.522,1708450199999,514579397.63662,188634,89687.114,260375986.34632,0
1708450200000,2901.95,2921.34,2901.60,2918.56,57972.078,1708451999999,168724326.36064,92767,32282.660,93965469.10511,0
1708452000000,2918.56,2922.66,2909.83,2917.93,47846.180,1708453799999,139569344.57525,66780,23902.522,69724496.21947,0
1708453800000,2917.93,2933.00,2915.72,2932.22,60069.496,1708455599999,175825119.91490,73313,31304.847,91630659.96163,0
1708455600000,2932.21,2955.84,2928.21,2954.81,99642.586,1708457399999,293160874.33510,106113,61309.604,180412242.15534,0
1708457400000,2954.81,2989.49,2952.02,2988.23,156433.143,1708459199999,465042951.80716,161380,84066.082,249929721.46549,0
1708459200000,2988.23,2990.87,2967.83,2969.03,112504.545,1708460999999,335200241.46101,120831,48541.448,144663926.76153,0
1708461000000,2969.03,2982.83,2968.44,2979.56,55398.536,1708462799999,164898146.30041,74800,29202.703,86929466.08412,0
1708462800000,2979.56,2996.91,2971.50,2995.28,72612.472,1708464599999,216870123.53178,95061,40675.565,121505419.35089,0
1708464600000,2995.27,2997.00,2988.60,2990.07,42054.427,1708466399999,125867606.45294,61343,18148.680,54321213.87721,0
