open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1703030400000,2179.01,2186.96,2177.00,2182.68,39961.947,1703032199999,87205670.30113,44868,21308.828,46501532.19823,0
1703032200000,2182.68,2192.31,2181.85,2186.24,47254.833,1703033999999,103381056.79864,49956,24993.502,54683830.45293,0
1703034000000,2186.23,2188.34,2180.38,2180.74,23286.179,1703035799999,50875777.56155,31199,9707.005,21208770.08206,0
1703035800000,2180.75,2182.54,2171.30,2177.41,41494.935,1703037599999,90328091.10214,44982,18961.465,41277118.19580,0
1703037600000,2177.40,2185.37,2171.94,2184.43,41047.473,1703039399999,89439998.58438,44544,21868.928,47657758.07725,0
1703039400000,2184.43,2187.84,2182.00,2186.39,28250.810,1703041199999,61743637.94182,32910,15082.788,32965650.57488,0
1703041200000,2186.39,2187.94,2183.34,2183.81,15806.064,1703042999999,34547072.55600,21686,8101.125,17707186.99412,0
1703043000000,2183.80,2187.80,2182.36,2187.48,18902.564,1703044799999,41296454.61015,21908,10013.825,21877933.55199,0
1703044800000,2187.49,2202.80,2184.57,2199.42,61480.443,1703046599999,134873039.04021,57992,35101.184,77008947.85186,0
1703046600000,2199.43,2219.50,2199.23,2215.26,87904.390,1703048399999,194222638.69205,82812,50340.652,111232352.04442,0
1703048400000,2215.20,2216.86,2206.50,2207.74,41636.313,1703050199999,92035741.82993,45343,19177.782,42389658.17923,0
1703050200000,2207.74,2212.00,2204.07,2211.20,32696.393,1703051999999,72204947.83284,33755,18556.990,40989389.30376,0
1703052000000,2211.21,2224.69,2206.31,2220.67,65240.398,1703053799999,144609521.56607,61361,36281.078,80419287.37688,0
1703053800000,2220.67,2221.75,2205.39,2207.21,62354.065,1703055599999,137939589.87662,52748,26129.627,57813462.43522,0
1703055600000,2207.21,2209.95,2204.14,2205.13,34226.075,1703057399999,75534915.08187,33766,14883.200,32852231.92672,0
1703057400000,2205.13,2218.76,2205.03,2217.69,41831.180,1703059199999,92574936.10205,40376,27321.823,60453420.94972,0
1703059200000,2217.70,2219.63,2208.10,2212.45,49684.708,1703060999999,109984617.73359,47592,21631.837,47884782.15141,0
1703061000000,2212.45,2215.69,2208.42,2209.26,27767.942,1703062799999,61397897.54272,32194,12319.398,27242877.25026,0
1703062800000,2209.25,2223.99,2209.25,2222.92,53526.717,1703064599999,118631767.71193,48228,31850.805,70601948.29478,0
1703064600000,2222.91,2223.37,2207.45,2216.04,55319.520,1703066399999,122478324.32701,55718,25050.726,55471171.66163,0
1703066400000,2216.04,2226.00,2213.08,2214.82,60627.346,1703068199999,134525439.78020,61471,31194.242,69232360.52726,0
1703068200000,2214.83,2221.92,2214.05,2221.53,23678.494,1703069999999,52498112.13590,31662,13837.072,30678766.99294,0
1703070000000,2221.52,2222.20,2209.15,2209.41,37540.974,1703071799999,83157321.39318,43098,15552.614,34455462.06083,0
1703071800000,2209.41,2217.60,2205.30,2212.70,39979.254,1703073599999,88399971.02095,45061,17567.638,38847200.04300,0
1703073600000,2212.70,2214.91,2204.19,2211.32,43916.931,1703075399999,96981922.88730,43573,20682.605,45681704.93412,0
1703075400000,2211.33,2215.21,2208.01,2214.22,26724.625,1703077199999,59118404.65518,35153,13384.956,29611607.11727,0
1703077200000,2214.22,2237.48,2214.14,2236.00,144641.035,1703078999999,322312174.36861,130753,84921.464,189224627.53108,0
1703079000000,2236.01,2252.98,2229.01,2249.62,164131.381,1703080799999,368036115.92912,154104,90585.354,203152129.29543,0
1703080800000,2249.62,2253.79,2232.01,2251.80,141240.674,1703082599999,316923828.81899,136926,72674.358,163080931.20294,0
1703082600000,2251.81,2269.56,2241.42,2242.83,191520.898,1703084399999,432166644.25203,191918,92914.768,209715422.36336,0
1703084400000,2242.82,2261.81,2237.40,2252.15,119537.143,1703086199999,269028526.45726,111305,62807.576,141377761.24511,0
1703086200000,2252.16,2258.74,2242.74,2249.11,91197.025,1703087999999,205049887.83452,83212,46206.034,103886056.97183,0
1703088000000,2249.12,2251.60,2238.72,2243.75,86933.381,1703089799999,195163131.29168,75189,42487.216,95386076.72146,0
1703089800000,2243.75,2246.86,2213.77,2224.76,126432.489,1703091599999,281851183.61975,112963,53663.995,119638097.74672,0
1703091600000,2224.76,2236.87,2224.49,2236.44,84704.715,1703093399999,188937135.99962,83856,47865.420,106768105.38608,0
1703093400000,2236.41,2237.20,2231.30,2234.11,43193.934,1703095199999,96489614.49944,49245,21916.426,48959711.78664,0
1703095200000,2234.11,2240.83,2225.31,2225.92,54538.542,1703096999999,121823676.44261,57760,25954.778,57986399.71207,0
1703097000000,2225.92,2230.78,2222.84,2227.31,49697.545,1703098799999,110683808.83928,54182,25110.887,55931187.17587,0
1703098800000,2227.31,2230.11,2216.62,2218.40,45375.301,1703100599999,100816487.91368,53495,20531.203,45620694.31262,0
1703100600000,2218.40,2221.07,2193.26,2206.27,164409.895,1703102399999,362793433.71291,132798,75976.818,167639335.69009,0
1703102400000,2206.28,2209.22,2156.00,2185.60,338711.021,1703104199999,738059844.53756,275600,154919.450,337567050.37802,0
1703104200000,2185.59,2198.00,2184.16,2185.19,73449.168,1703105999999,160844954.25658,80450,35372.706,77465000.71773,0
1703106000000,2185.18,2196.30,2183.46,2191.92,48665.220,1703107799999,106582662.16781,54721,26198.335,57379267.40260,0
1703107800000,2191.92,2191.93,2172.69,2182.05,46548.019,1703109599999,101540884.25382,55175,21868.749,47705838.40897,0
1703109600000,2182.04,2197.39,2179.58,2193.98,40431.045,1703111399999,88540691.40484,45122,22466.512,49192913.17101,0
1703111400000,2193.97,2200.27,2188.78,2193.67,28643.827,1703113199999,62876416.13571,35356,12522.023,27493354.18157,0
1703113200000,2193.67,2196.01,2185.40,2194.69,37942.347,1703114999999,83100683.27220,41519,19542.125,42804066.11761,0
1703115000000,2194.69,2204.89,2194.01,2203.95,40519.136,1703116799999,89122921.72846,40009,24332.258,53524677.53495,0
