open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1705708800000,2492.46,2492.46,2482.26,2487.56,27694.657,1705710599999,68856559.51574,37877,11432.953,28423669.12437,0
1705710600000,2487.57,2488.15,2475.40,2476.46,35596.763,1705712399999,88307946.70388,47586,16468.362,40854224.05400,0
1705712400000,2476.47,2489.41,2475.62,2487.94,23847.899,1705714199999,59217615.31521,32845,14425.449,35821901.03593,0
1705714200000,2487.94,2491.52,2484.33,2490.17,24387.597,1705715999999,60685226.47884,31584,11677.887,29059947.29761,0
1705716000000,2490.16,2490.33,2481.40,2483.92,18116.807,1705717799999,45024511.50247,26598,7596.968,18876622.49248,0
1705717800000,2483.93,2486.98,2481.70,2486.55,11353.404,1705719599999,28206688.91259,20839,5226.724,12985772.74001,0
1705719600000,2486.54,2487.00,2478.34,2480.20,14358.382,1705721399999,35644480.18862,23710,5772.120,14328030.46567,0
1705721400000,2480.21,2482.94,2475.96,2481.82,25688.334,1705723199999,63678507.49510,30115,11381.037,28214741.27490,0
1705723200000,2481.82,2483.21,2478.21,2481.57,13178.352,1705724999999,32698279.34159,19380,5705.924,14158606.46128,0
1705725000000,2481.57,2485.00,2479.18,2483.21,10718.601,1705726799999,26609357.71063,16539,5938.480,14744275.90240,0
1705726800000,2483.21,2484.84,2476.61,2480.76,17748.426,1705728599999,44011882.24802,22074,7002.112,17364950.27831,0
1705728600000,2480.76,2482.08,2475.43,2477.97,11064.507,1705730399999,27421574.33750,17034,5114.541,12676106.57086,0
1705730400000,2477.96,2483.06,2477.03,2482.04,10455.021,1705732199999,25928416.83882,15678,6110.003,15154667.20761,0
1705732200000,2482.04,2484.00,2477.35,2482.75,14611.586,1705733999999,36264280.55448,21427,7131.378,17700745.20272,0
1705734000000,2482.75,2486.21,2482.30,2486.03,12313.510,1705735799999,30588685.47727,17584,7165.752,17800651.10796,0
1705735800000,2486.02,2487.11,2478.11,2479.00,18451.962,1705737599999,45806533.29556,24992,7470.914,18549433.96802,0
