open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1716163200000,3069.98,3073.67,3058.89,3063.33,25642.253,1716164999999,78614659.75495,42604,12167.749,37303733.79844,0
1716165000000,3063.34,3083.98,3062.59,3078.37,43851.275,1716166799999,134933461.52820,69687,24974.375,76834386.52045,0
1716166800000,3078.37,3083.00,3058.01,3064.03,43753.263,1716168599999,134188206.61483,74672,18766.955,57556648.51579,0
1716168600000,3064.03,3078.92,3045.06,3077.70,80904.113,1716170399999,247594973.74656,122469,39458.388,120807659.50949,0
1716170400000,3077.71,3089.45,3075.53,3088.82,42597.819,1716172199999,131288856.97382,68693,22542.709,69489519.20761,0
1716172200000,3088.82,3092.41,3081.00,3090.66,34724.845,1716173999999,107211261.19702,60904,16802.835,51883281.01679,0
1716174000000,3090.67,3099.59,3084.37,3084.76,32814.682,1716175799999,101486751.08010,56809,15354.681,47498590.94539,0
1716175800000,3084.76,3090.72,3084.75,3085.57,14563.602,1716177599999,44964503.15953,32897,7582.530,23412061.99723,0
1716177600000,3085.57,3093.00,3083.67,3092.25,15113.636,1716179399999,46677387.55563,33667,7953.860,24568538.24105,0
1716179400000,3092.25,3125.00,3090.94,3122.11,98680.245,1716181199999,307281663.16633,144070,56030.885,174417756.21754,0
1716181200000,3122.11,3138.14,3121.76,3128.46,85608.643,1716182999999,267955011.89020,120017,43786.634,137073878.86200,0
1716183000000,3128.45,3131.61,3122.00,3123.46,28548.674,1716184799999,89245569.70016,53840,11177.315,34942172.55612,0
1716184800000,3123.46,3124.35,3102.21,3108.20,63782.660,1716186599999,198404822.21456,93668,25805.719,80251388.58557,0
1716186600000,3108.20,3109.22,3061.44,3072.13,122571.131,1716188399999,377662387.94244,146087,50833.630,156546006.18688,0
1716188400000,3072.14,3091.56,3066.84,3091.52,74953.810,1716190199999,230997185.23112,111379,41171.678,126898093.53987,0
1716190200000,3091.53,3097.22,3086.47,3090.39,32535.372,1716191999999,100588215.10475,60396,15408.411,47641124.22872,0
1716192000000,3090.39,3106.00,3090.08,3102.75,40942.479,1716193799999,126889039.39459,74219,22342.015,69248688.81842,0
1716193800000,3102.74,3106.44,3096.64,3096.80,27120.923,1716195599999,84114794.90082,50722,12606.272,39107983.18536,0
1716195600000,3096.81,3107.37,3096.13,3105.52,28256.142,1716197399999,87691577.18897,49428,15810.818,49067186.98038,0
1716197400000,3105.51,3107.31,3094.18,3096.01,20954.514,1716199199999,64963839.29406,43077,8194.007,25402096.35511,0
1716199200000,3096.01,3113.04,3092.52,3105.83,38832.467,1716200999999,120532671.77263,66199,21656.627,67228048.36780,0
1716201000000,3105.82,3110.77,3098.30,3103.24,25165.776,1716202799999,78119816.83520,50192,12653.529,39277153.82550,0
1716202800000,3103.23,3109.46,3101.67,3106.06,25997.917,1716204599999,80752245.36772,45145,12910.615,40102881.81300,0
1716204600000,3106.05,3107.00,3084.39,3092.91,40472.259,1716206399999,125241327.39970,69509,16384.243,50708457.65959,0
1716206400000,3092.92,3096.22,3085.67,3088.62,22144.912,1716208199999,68467247.49638,46573,10265.183,31742925.00142,0
1716208200000,3088.61,3090.99,3075.00,3083.76,50741.793,1716209999999,156409166.01319,77217,24191.733,74584062.87073,0
1716210000000,3083.76,3090.15,3081.92,3083.11,23811.746,1716211799999,73497760.39496,46634,12896.036,39806545.49483,0
1716211800000,3083.11,3099.27,3075.30,3093.16,48932.767,1716213599999,151067928.01914,82244,27265.614,84192584.22333,0
1716213600000,3093.17,3094.50,3075.11,3085.80,33863.015,1716215399999,104417155.48350,67538,15874.197,48949241.84505,0
1716215400000,3085.80,3089.31,3076.61,3089.18,29303.615,1716217199999,90304638.23684,60183,13577.666,41850756.17762,0
1716217200000,3089.19,3120.00,3084.63,3109.64,83511.434,1716218999999,259231920.18843,127018,47114.997,146259304.21214,0
1716219000000,3109.65,3118.62,3105.24,3116.95,48098.925,1716220799999,149672597.90345,89162,22917.917,71323099.62272,0
1716220800000,3116.96,3134.27,3109.08,3125.24,106682.341,1716222599999,333033178.49059,159184,53619.638,167396792.70787,0
1716222600000,3125.23,3147.00,3118.01,3133.79,105523.115,1716224399999,330979876.42491,152674,51233.271,160734562.24586,0
1716224400000,3133.79,3150.98,3123.97,3132.87,90151.405,1716226199999,282807589.09219,138392,45248.808,141938131.01808,0
1716226200000,3132.87,3143.53,3125.01,3142.55,42131.338,1716227999999,131955240.65598,69254,22495.222,70464940.14454,0
1716228000000,3142.55,3149.44,3134.72,3146.76,46215.906,1716229799999,145245543.30923,79357,23060.903,72483018.18224,0
1716229800000,3146.76,3154.00,3140.49,3147.04,57002.380,1716231599999,179387640.25437,81482,29988.078,94382200.82946,0
1716231600000,3147.05,3357.30,3140.07,3350.56,664308.492,1716233399999,2164538498.61313,579524,396297.681,1288921109.81610,0
1716233400000,3350.57,3459.61,3349.90,3438.29,737880.642,1716235199999,2517279917.24367,866348,388091.977,1324564102.21054,0
1716235200000,3438.29,3467.42,3420.20,3439.79,265604.316,1716236999999,913327623.92093,341123,130453.655,448749360.98783,0
1716237000000,3439.78,3595.58,3439.44,3500.83,520741.990,1716238799999,1828197923.50133,578952,277253.600,973285234.53990,0
1716238800000,3500.83,3551.44,3484.77,3532.48,219559.068,1716240599999,772413939.72181,283600,115112.963,405090917.67809,0
1716240600000,3532.48,3654.87,3532.48,3651.22,342258.380,1716242399999,1229543275.07604,412470,194693.857,699900742.19746,0
1716242400000,3651.23,3695.57,3612.35,3654.39,307195.439,1716244199999,1118755380.76303,371640,147488.368,537580087.66437,0
1716244200000,3654.38,3657.24,3608.46,3614.11,148911.217,1716245999999,540659271.94061,196529,60488.950,219566839.11587,0
1716246000000,3614.11,3698.86,3613.40,3683.09,191435.913,1716247799999,699227260.73134,241581,110713.884,404430018.76110,0
1716247800000,3683.10,3685.94,3652.00,3664.39,119974.318,1716249599999,440200969.18343,154356,50195.264,184130584.27751,0
