open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1729382400000,2647.46,2652.85,2645.00,2646.32,14206.170,1729384199999,37644262.53545,30591,7080.395,18763096.37027,0
1729384200000,2646.32,2646.56,2640.50,2641.80,16456.644,1729385999999,43490590.67974,29416,7438.513,19658452.43225,0
1729386000000,2641.81,2642.92,2637.17,2642.45,14277.002,1729387799999,37689215.67697,30104,7195.593,18997065.27532,0
1729387800000,2642.45,2642.83,2638.45,2639.14,8840.374,1729389599999,23342426.48459,17951,3855.340,10179910.39530,0
1729389600000,2639.14,2644.99,2639.08,2640.18,9269.626,1729391399999,24488903.63418,19503,4396.194,11615343.45008,0
1729391400000,2640.18,2642.11,2635.21,2638.01,13137.451,1729393199999,34657623.53277,20856,5539.957,14615821.29955,0
1729393200000,2638.01,2639.46,2634.53,2636.11,15428.261,1729394999999,40675463.71585,25793,6768.662,17847483.50019,0
1729395000000,2636.11,2641.21,2635.68,2639.66,7980.107,1729396799999,21061905.00253,16469,5220.584,13778156.62547,0
1729396800000,2639.65,2645.44,2637.43,2644.36,15007.177,1729398599999,39638223.69876,20945,9703.353,25628746.91609,0
1729398600000,2644.36,2646.18,2639.47,2641.10,10207.407,1729400399999,26976839.49199,18194,3885.000,10268123.41549,0
1729400400000,2641.10,2645.84,2640.96,2640.97,13707.312,1729402199999,36236426.41020,22808,6440.989,17029465.67024,0
1729402200000,2640.96,2642.10,2639.03,2639.59,8914.479,1729403999999,23537634.27606,15104,3227.792,8522619.07562,0
1729404000000,2639.59,2645.00,2637.26,2643.37,13721.319,1729405799999,36242871.15155,19479,8028.450,21204959.54592,0
1729405800000,2643.37,2652.75,2641.14,2649.97,23974.989,1729407599999,63476851.51559,27383,15175.554,40181440.69658,0
1729407600000,2649.97,2650.19,2645.86,2646.17,18288.850,1729409399999,48432786.32018,30295,7447.960,19724942.10135,0
1729409400000,2646.16,2648.40,2643.80,2645.49,8036.476,1729411199999,21261099.64896,16381,4028.101,10656464.29710,0
1729411200000,2645.50,2650.88,2645.49,2649.97,11778.388,1729412999999,31201739.31568,21995,6862.534,18179097.04940,0
1729413000000,2649.96,2650.19,2642.30,2645.65,11974.269,1729414799999,31680197.55131,22028,4975.690,13163668.73953,0
1729414800000,2645.66,2646.50,2642.64,2645.96,7936.154,1729416599999,20986333.40620,15394,4354.721,11515638.17898,0
1729416600000,2645.95,2649.30,2645.32,2647.99,7017.717,1729418399999,18583015.82839,16381,3278.168,8680353.04661,0
1729418400000,2648.00,2650.30,2647.32,2648.62,7573.954,1729420199999,20063059.06245,16965,3171.763,8402063.09015,0
1729420200000,2648.61,2649.66,2645.00,2645.15,5926.566,1729421999999,15686550.63603,14656,1914.006,5065897.10982,0
1729422000000,2645.15,2649.01,2645.15,2648.40,6555.641,1729423799999,17357031.63393,13296,3664.808,9702415.84312,0
1729423800000,2648.40,2649.97,2647.23,2648.89,7903.187,1729425599999,20932532.71053,15677,3926.777,10400561.39796,0
1729425600000,2648.90,2654.93,2648.89,2651.12,31497.754,1729427399999,83549878.86965,36517,20007.207,53067491.83036,0
1729427400000,2651.11,2653.02,2643.14,2643.72,29868.798,1729429199999,79092736.41335,43704,12023.143,31835938.90881,0
1729429200000,2643.72,2648.19,2640.67,2646.49,25448.683,1729430999999,67302055.02918,43780,12246.541,32386970.68254,0
1729431000000,2646.48,2661.19,2646.48,2660.78,63287.644,1729432799999,168044996.47024,72667,34541.860,91719945.08331,0
1729432800000,2660.78,2705.00,2660.76,2703.70,292868.758,1729434599999,787269192.29419,291992,171316.776,460373561.69985,0
1729434600000,2703.69,2720.00,2701.99,2710.00,166722.033,1729436399999,452049785.58563,191799,79705.156,216137768.02832,0
1729436400000,2710.00,2713.64,2684.09,2689.11,121251.301,1729438199999,326779362.56598,134540,48686.556,131231569.48311,0
1729438200000,2689.12,2707.35,2687.54,2705.71,61676.128,1729439999999,166480991.96766,83682,35586.920,96051758.61920,0
1729440000000,2705.71,2709.00,2695.04,2699.99,52183.430,1729441799999,140940818.06904,76123,20718.542,55962099.71823,0
1729441800000,2699.99,2701.91,2691.50,2691.93,24477.173,1729443599999,65989910.95891,45240,8779.533,23676712.62793,0
1729443600000,2691.94,2695.44,2689.00,2692.99,21316.680,1729445399999,57395365.37496,36765,11557.736,31123104.12576,0
1729445400000,2692.99,2697.72,2685.17,2693.97,33336.501,1729447199999,89678115.73789,49301,18103.553,48703408.24465,0
1729447200000,2693.97,2703.94,2693.96,2702.23,26958.953,1729448999999,72777409.66172,42370,15174.492,40960970.50904,0
