open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1710892800000,3160.99,3217.78,3158.06,3208.92,145366.177,1710894599999,463049817.08655,197893,73905.684,235406642.07363,0
1710894600000,3208.92,3241.00,3188.26,3237.27,108763.863,1710896399999,349780339.42057,167840,51085.525,164329843.89877,0
1710896400000,3237.27,3238.76,3164.37,3190.76,136614.695,1710898199999,436730968.89535,187098,62222.943,198946211.64011,0
1710898200000,3190.76,3193.75,3162.47,3177.68,86243.157,1710899999999,274283181.63550,148503,44791.062,142476831.30652,0
1710900000000,3177.71,3223.94,3168.00,3221.12,78401.225,1710901799999,251008867.79058,123390,43355.286,138772611.59633,0
1710901800000,3221.12,3231.42,3208.02,3226.55,63746.432,1710903599999,205302262.79938,107151,28717.009,92492998.38768,0
1710903600000,3226.55,3266.31,3222.23,3265.23,84018.668,1710905399999,272460817.04358,121066,43701.397,141754686.42086,0
1710905400000,3265.23,3265.99,3154.14,3162.24,196889.908,1710907199999,630587270.24194,212669,82673.159,264739397.23149,0
1710907200000,3162.28,3196.49,3156.09,3162.16,163543.886,1710908999999,519293258.07928,217521,84334.708,267832074.55552,0
1710909000000,3162.16,3163.39,3109.00,3130.50,239817.578,1710910799999,750564257.31345,279147,100855.473,315722509.17172,0
1710910800000,3130.50,3142.42,3055.00,3076.09,302756.191,1710912599999,936518158.43726,304880,120487.926,372975566.68695,0
1710912600000,3076.09,3150.00,3061.32,3111.68,183389.052,1710914399999,569048249.76803,217207,107824.377,334944595.48864,0
1710914400000,3111.65,3145.88,3109.26,3144.78,88587.443,1710916199999,277051601.51892,135278,46646.956,145889606.48575,0
1710916200000,3144.77,3150.00,3133.13,3143.12,74942.963,1710917999999,235629487.72204,105064,38823.218,122086793.93907,0
1710918000000,3143.11,3189.96,3142.26,3186.28,103124.910,1710919799999,326642934.62987,134555,61032.757,193301830.99970,0
1710919800000,3186.27,3228.03,3175.50,3219.73,169240.785,1710921599999,542317095.97298,221679,86548.854,277333828.32681,0
1710921600000,3219.73,3234.07,3207.02,3226.13,86867.256,1710923399999,279707964.53933,131446,37907.431,122091533.82193,0
1710923400000,3226.13,3236.66,3207.42,3209.65,81668.416,1710925199999,262921899.52618,125648,39077.654,125812908.68519,0
1710925200000,3209.64,3235.96,3207.12,3229.90,60033.550,1710926999999,193546756.51228,106171,31240.619,100712208.05434,0
1710927000000,3229.90,3247.60,3226.41,3236.71,68400.752,1710928799999,221372962.12962,113019,35169.802,113826615.90584,0
1710928800000,3236.71,3253.53,3218.46,3249.20,58373.702,1710930599999,188717810.64367,99368,31634.428,102317947.10693,0
1710930600000,3249.34,3256.41,3222.81,3233.36,63468.499,1710932399999,205536663.84287,104495,32426.044,105034700.99623,0
1710932400000,3233.36,3298.92,3226.65,3293.46,108653.643,1710934199999,354841627.45305,142039,63407.355,207117073.06524,0
1710934200000,3293.46,3297.47,3265.40,3294.54,108397.327,1710935999999,355822859.17294,159252,50364.264,165323688.00409,0
1710936000000,3294.55,3349.98,3277.00,3338.00,200354.393,1710937799999,666109704.10697,233287,97683.695,324710913.06123,0
1710937800000,3338.00,3359.38,3335.60,3356.18,122343.158,1710939599999,409587099.98883,160338,59743.057,200067262.76582,0
1710939600000,3356.17,3358.57,3338.35,3348.61,91678.648,1710941399999,306995394.55457,116103,42355.883,141828437.76887,0
1710941400000,3348.62,3374.95,3325.72,3347.67,175169.434,1710943199999,587000382.94414,205975,85529.287,286688427.28350,0
1710943200000,3347.67,3364.99,3330.00,3358.66,100304.573,1710944999999,335394019.04502,132289,48992.637,163868158.13232,0
1710945000000,3358.66,3388.88,3346.80,3386.76,111497.361,1710946799999,375918385.56617,157595,58642.144,197758825.76758,0
1710946800000,3386.76,3399.58,3320.09,3338.54,348458.450,1710948599999,1168851381.80423,322138,159544.692,535315247.49947,0
1710948600000,3338.54,3343.85,3284.68,3295.09,243607.999,1710950399999,806867115.26246,283605,114753.071,380204368.89317,0
1710950400000,3295.08,3318.00,3176.00,3198.15,409134.638,1710952199999,1328778722.86131,382525,182207.071,592495816.53772,0
1710952200000,3198.16,3270.00,3142.00,3243.41,552189.604,1710953999999,1772226794.22535,503603,296045.536,950660514.44992,0
1710954000000,3243.50,3343.25,3228.16,3308.45,325833.835,1710955799999,1073434446.92411,366043,178301.018,587419863.89401,0
