open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1729468800000,2746.98,2770.00,2742.34,2760.99,109101.643,1729470599999,301060713.96273,142958,57624.767,159044991.25183,0
1729470600000,2760.99,2766.13,2742.05,2746.42,73919.291,1729472399999,203371993.72746,99530,33666.556,92646019.46249,0
1729472400000,2746.43,2761.86,2742.70,2752.86,70850.426,1729474199999,194882819.17392,98463,31457.976,86532665.63646,0
1729474200000,2752.85,2756.18,2744.57,2745.64,35352.951,1729475999999,97195573.95247,63646,14772.339,40614598.90423,0
1729476000000,2745.65,2749.01,2736.67,2744.61,56796.719,1729477799999,155850844.78938,56503,23875.011,65525417.70434,0
1729477800000,2744.60,2747.00,2728.63,2732.50,75433.777,1729479599999,206493995.52238,93126,31441.628,86084096.16346,0
1729479600000,2732.49,2737.70,2726.36,2737.43,45778.585,1729481399999,125130303.67052,67359,23032.362,62965852.32236,0
1729481400000,2737.43,2739.31,2732.16,2734.84,21878.510,1729483199999,59866564.98842,33464,9500.199,25997489.69574,0
1729483200000,2734.83,2735.49,2728.35,2729.54,19795.554,1729484999999,54060327.90503,36046,9396.853,25663339.13738,0
1729485000000,2729.54,2741.39,2729.20,2739.33,33616.815,1729486799999,91965658.29412,41614,21579.819,59035430.07539,0
1729486800000,2739.33,2746.12,2733.93,2741.09,33901.599,1729488599999,92864130.45589,50950,14969.896,41018429.72038,0
1729488600000,2741.09,2741.33,2736.25,2736.25,13393.924,1729490399999,36681616.33947,29884,6552.991,17945737.70730,0
1729490400000,2736.25,2741.51,2733.60,2738.54,23024.816,1729492199999,63028701.98425,35840,13717.397,37553463.43559,0
1729492200000,2738.54,2744.28,2725.32,2728.34,42331.964,1729493999999,115813627.76666,56457,15218.847,41652059.34534,0
1729494000000,2728.33,2735.36,2725.13,2731.71,37131.287,1729495799999,101399692.34313,61774,20099.093,54886091.00139,0
1729495800000,2731.71,2732.08,2722.23,2722.68,44875.342,1729497599999,122372075.47927,62670,16367.572,44642182.34633,0
1729497600000,2722.69,2730.00,2721.01,2723.71,29770.486,1729499399999,81149439.76844,52630,13747.084,37481019.73848,0
1729499400000,2723.71,2727.32,2715.17,2716.45,58820.412,1729501199999,160031038.73376,82992,27601.381,75109900.45330,0
1729501200000,2716.45,2721.55,2713.03,2717.98,37553.901,1729502999999,102056975.63181,60566,19957.978,54247992.87096,0
1729503000000,2717.97,2717.98,2702.00,2713.97,94976.724,1729504799999,257230441.65755,103694,43588.567,118064163.78511,0
1729504800000,2713.98,2718.00,2711.11,2711.99,23644.380,1729506599999,64190791.65329,46432,13006.146,35308033.32175,0
1729506600000,2711.99,2713.27,2705.41,2706.22,29408.355,1729508399999,79659281.69304,50720,12961.632,35107674.96119,0
1729508400000,2706.22,2714.08,2702.50,2713.16,34672.027,1729510199999,93918493.83245,58526,18661.411,50560312.51550,0
1729510200000,2713.17,2713.74,2704.00,2705.20,32324.037,1729511999999,87500640.16368,44540,11251.232,30458333.70772,0
1729512000000,2705.19,2711.99,2705.00,2709.01,20727.092,1729513799999,56137910.50906,40089,9019.057,24428988.06779,0
1729513800000,2709.01,2709.65,2688.00,2698.12,106778.124,1729515599999,287813381.12136,129357,48024.836,129436181.62352,0
1729515600000,2698.12,2700.98,2671.56,2691.63,154063.653,1729517399999,413427449.09604,171854,68110.067,182807046.98463,0
1729517400000,2691.64,2692.05,2663.00,2673.11,196499.678,1729519199999,525630373.35256,215660,83403.546,223158825.05495,0
1729519200000,2673.11,2686.32,2672.25,2677.78,92913.620,1729520999999,249056277.38640,136620,50644.848,135765267.16121,0
1729521000000,2677.78,2679.18,2659.02,2672.54,152200.191,1729522799999,405835671.20314,165643,66880.947,178359343.12643,0
1729522800000,2672.54,2674.02,2660.21,2663.88,86190.322,1729524599999,229909275.26164,118293,41950.078,111903034.69130,0
1729524600000,2663.88,2680.71,2661.00,2680.21,58053.446,1729526399999,155073346.51390,83424,31095.106,83079484.50154,0
1729526400000,2680.21,2680.29,2660.71,2662.72,48002.119,1729528199999,128221443.83373,84896,20364.764,54413108.83018,0
1729528200000,2662.72,2673.50,2655.52,2672.04,60882.102,1729529999999,162122932.55176,82603,32461.337,86471646.39972,0
1729530000000,2672.05,2680.36,2671.47,2677.01,40520.001,1729531799999,108462852.13719,71167,19609.765,52493954.70713,0
1729531800000,2677.01,2684.60,2672.42,2672.63,61335.824,1729533599999,164339319.18534,66727,32968.142,88345514.86042,0
1729533600000,2672.62,2674.08,2658.00,2662.92,54328.639,1729535399999,144806253.09142,76441,22105.116,58925390.28406,0
1729535400000,2662.92,2669.24,2659.00,2666.82,22550.204,1729537199999,60073831.49409,44631,12686.860,33796376.39410,0
1729537200000,2666.83,2677.49,2666.75,2677.18,24324.322,1729538999999,65023821.64400,47715,12487.566,33381969.95792,0
1729539000000,2677.18,2684.60,2673.70,2680.08,37125.767,1729540799999,99507487.24510,57811,21474.441,57564478.00019,0
1729540800000,2680.09,2681.75,2671.92,2673.38,25297.886,1729542599999,67703977.57774,43860,9384.337,25119372.70793,0
1729542600000,2673.39,2678.28,2673.38,2675.71,14147.478,1729544399999,37851226.38054,27536,7988.249,21371430.61642,0
1729544400000,2675.71,2681.75,2675.21,2678.43,13773.898,1729546199999,36896963.79490,27872,7107.517,19039853.77062,0
1729546200000,2678.43,2678.43,2672.20,2675.20,11099.249,1729547999999,29679365.56928,21437,3588.182,9594520.12863,0
1729548000000,2675.21,2683.57,2672.20,2682.29,17737.059,1729549799999,47509129.81284,40543,8350.062,22368290.40114,0
1729549800000,2682.29,2683.09,2675.27,2676.77,16784.697,1729551599999,44949474.91754,32694,8460.501,22655047.10030,0
1729551600000,2676.77,2676.77,2668.41,2670.11,26879.678,1729553399999,71804687.67142,43046,12546.527,33512167.65551,0
1729553400000,2670.11,2670.66,2664.76,2666.63,20395.709,1729555199999,54403725.97749,37786,11062.988,29510548.52950,0
