open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1732147200000,3071.05,3090.00,3066.23,3088.21,35374.243,1732148999999,108896161.15378,73581,20698.864,63715573.99566,0
1732149000000,3088.21,3091.95,3080.40,3081.00,30094.464,1732150799999,92880201.52040,73059,11930.957,36825736.75974,0
1732150800000,3080.99,3099.50,3077.57,3095.81,38783.881,1732152599999,119882607.29813,80071,21717.150,67140867.29167,0
1732152600000,3095.80,3098.75,3080.01,3080.43,25435.496,1732154399999,78584040.25062,67382,10583.556,32702062.77896,0
1732154400000,3080.44,3081.59,3037.79,3039.39,103340.798,1732156199999,315926143.28165,166964,40370.893,123442523.37117,0
1732156200000,3039.39,3058.00,3033.32,3057.75,86456.430,1732157999999,263148332.01064,149352,47167.401,143598993.96841,0
1732158000000,3057.75,3103.38,3054.36,3101.39,133305.908,1732159799999,410243026.90292,184196,79158.335,243625276.83613,0
1732159800000,3101.40,3101.87,3077.91,3083.25,91456.472,1732161599999,282415300.27497,160416,41104.517,126928861.45354,0
1732161600000,3083.25,3121.90,3081.79,3120.01,143283.650,1732163399999,444525191.13578,209655,79219.176,245849109.69630,0
1732163400000,3120.00,3141.99,3119.52,3132.32,198873.916,1732165199999,622566153.40390,284116,105630.978,330687571.46247,0
1732165200000,3132.32,3145.92,3120.13,3125.70,104841.940,1732166999999,328546925.70496,170844,42429.168,133003024.10564,0
1732167000000,3125.71,3129.32,3093.16,3109.59,111171.267,1732168799999,345967827.82653,173128,47615.986,148251995.16105,0
1732168800000,3109.60,3124.56,3101.05,3121.02,69324.439,1732170599999,215834908.68554,129326,41219.001,128345516.50757,0
1732170600000,3121.01,3131.19,3112.08,3129.53,48957.692,1732172399999,152809804.85610,102125,28190.195,88018381.72173,0
1732172400000,3129.53,3141.65,3123.36,3128.74,84413.522,1732174199999,264411536.47584,122178,42030.467,131697349.91819,0
1732174200000,3128.73,3144.00,3124.85,3139.11,47193.628,1732175999999,147972124.30724,86395,25558.972,80154874.92485,0
1732176000000,3139.12,3151.51,3129.60,3136.27,75501.887,1732177799999,237079493.22926,117473,38634.520,121361080.69315,0
1732177800000,3136.26,3149.88,3135.57,3143.39,60034.314,1732179599999,188746169.54241,107642,34215.268,107569493.65129,0
1732179600000,3143.39,3146.62,3128.01,3130.49,56205.151,1732181399999,176355377.76319,91801,25665.819,80530554.91246,0
1732181400000,3130.49,3137.53,3124.16,3127.80,40792.529,1732183199999,127645642.17656,77157,20273.201,63442517.64903,0
1732183200000,3127.81,3138.57,3120.14,3125.21,44121.244,1732184999999,138070694.59660,91810,21904.691,68564421.29966,0
1732185000000,3125.20,3141.44,3124.54,3133.28,37728.272,1732186799999,118306440.85123,76416,19697.118,61764161.41880,0
1732186800000,3133.27,3155.53,3130.88,3147.01,123529.777,1732188599999,388469376.60628,189033,68093.167,214201182.65529,0
1732188600000,3147.01,3157.69,3141.05,3150.01,52175.967,1732190399999,164249766.08220,100516,23903.937,75255405.77868,0
1732190400000,3150.01,3300.00,3148.52,3290.03,515648.253,1732192199999,1666448222.76086,581620,303546.627,980628488.60234,0
1732192200000,3290.02,3321.00,3271.04,3288.05,427849.863,1732193999999,1412240029.70665,523987,190749.472,629884876.07954,0
1732194000000,3288.05,3370.00,3287.45,3350.73,482025.194,1732195799999,1609978574.36714,509218,238582.723,796607008.78866,0
1732195800000,3350.73,3356.98,3330.81,3350.79,179972.014,1732197599999,601974166.78442,252095,79099.957,264642142.53834,0
1732197600000,3350.78,3374.92,3344.06,3354.40,164667.177,1732199399999,553479923.72578,257333,78482.923,263828135.43078,0
1732199400000,3354.39,3366.42,3310.08,3348.05,326471.075,1732201199999,1090505697.49078,402788,147660.093,493370608.43342,0
1732201200000,3348.06,3348.92,3263.00,3265.19,303817.296,1732202999999,1004442806.83598,368140,117625.790,389403136.46919,0
1732203000000,3265.19,3290.00,3239.18,3279.20,405117.437,1732204799999,1324079878.29981,443347,211781.752,692383811.30591,0
1732204800000,3279.21,3323.69,3279.06,3319.20,174500.219,1732206599999,576033706.92574,264360,91829.661,303146556.94194,0
1732206600000,3319.20,3344.35,3313.29,3333.96,127472.445,1732208399999,424448144.36418,216618,66323.560,220857488.44457,0
1732208400000,3333.97,3344.42,3315.34,3335.73,88231.171,1732210199999,293576985.17970,161386,42863.562,142649607.55754,0
1732210200000,3335.73,3353.83,3334.47,3352.90,80836.407,1732211999999,270405411.31712,150229,44574.595,149107434.43941,0
1732212000000,3352.91,3365.00,3341.20,3353.61,102074.311,1732213799999,342443961.17678,194726,51715.111,173532150.77444,0
1732213800000,3353.60,3388.00,3348.26,3382.33,112983.328,1732215599999,380487101.58587,197631,64673.174,217864190.82396,0
1732215600000,3382.34,3389.99,3344.62,3350.73,182702.688,1732217399999,615291313.09217,253127,83029.707,279695305.50177,0
1732217400000,3350.73,3364.57,3338.07,3349.99,85530.146,1732219199999,286730338.56866,163395,41276.220,138412866.75883,0
1732219200000,3349.99,3365.71,3348.01,3363.01,44500.330,1732220999999,149476327.60435,98011,24174.784,81199718.75135,0
1732221000000,3363.01,3370.80,3336.90,3350.21,82157.290,1732222799999,275264279.12247,146315,39996.251,134009572.59148,0
1732222800000,3350.41,3357.31,3339.00,3352.21,46648.026,1732224599999,156252351.66269,109077,22499.700,75369653.01546,0
1732224600000,3352.21,3359.19,3337.07,3348.23,35603.813,1732226399999,119168797.13002,86173,17380.552,58173869.81326,0
1732226400000,3348.22,3382.26,3346.74,3366.04,68683.170,1732228199999,231474699.30508,119260,37316.145,125785357.24698,0
1732228200000,3366.06,3377.89,3364.00,3374.31,28019.738,1732229999999,94452106.72339,62070,12592.922,42451651.51460,0
1732230000000,3374.31,3379.28,3357.37,3365.60,51207.668,1732231799999,172395684.17103,97032,23748.845,79958407.22981,0
1732231800000,3365.61,3374.57,3358.01,3358.42,34635.314,1732233599999,116570423.92109,67357,15132.975,50931262.39518,0
