open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713657600000,3154.30,3154.79,3138.04,3145.51,28133.836,1713659399999,88457367.54137,52161,12905.574,40573287.45853,0
1713659400000,3145.50,3146.39,3124.78,3134.36,37654.305,1713661199999,117960906.71171,63721,18790.272,58864872.92514,0
1713661200000,3134.36,3153.69,3133.64,3150.38,21011.178,1713662999999,66090782.63108,46069,11869.783,37334499.13883,0
1713663000000,3150.38,3152.16,3145.28,3147.85,12576.499,1713664799999,39606810.08448,28593,5849.056,18420135.63865,0
1713664800000,3147.81,3179.86,3143.11,3176.88,46064.485,1713666599999,145560500.57782,69934,27822.576,87937922.08094,0
1713666600000,3176.89,3186.52,3162.41,3180.08,68995.664,1713668399999,219174732.09122,97241,37472.293,119064146.02378,0
1713668400000,3180.08,3196.41,3166.69,3166.94,68067.542,1713670199999,216757433.76472,97138,30947.440,98589684.69226,0
1713670200000,3166.94,3176.61,3162.21,3165.01,46491.721,1713671999999,147347726.01947,71304,21872.650,69331423.76482,0
1713672000000,3165.01,3167.64,3150.02,3161.28,49987.919,1713673799999,157981608.18910,73877,23544.104,74418043.37728,0
1713673800000,3161.29,3179.51,3157.86,3174.00,32275.630,1713675599999,102307388.81584,53214,15644.803,49584588.31096,0
1713675600000,3174.00,3188.49,3174.00,3175.52,26000.111,1713677399999,82704713.66378,44309,12453.900,39619711.88327,0
1713677400000,3175.53,3181.00,3168.06,3174.85,32151.496,1713679199999,102099996.12180,49220,14318.412,45475405.10739,0
1713679200000,3174.86,3189.99,3169.62,3188.89,26353.684,1713680999999,83797209.36577,47336,12554.363,39927525.17773,0
1713681000000,3188.89,3189.52,3174.53,3176.41,33198.875,1713682799999,105554922.62222,44322,14036.405,44618749.19837,0
1713682800000,3176.41,3181.29,3166.61,3171.17,26381.715,1713684599999,83778805.37255,44388,11831.681,37579063.52460,0
1713684600000,3171.16,3182.64,3161.31,3177.92,32580.460,1713686399999,103340675.81536,49042,15263.493,48429861.65814,0
1713686400000,3177.92,3185.81,3169.24,3176.94,25290.961,1713688199999,80375320.67736,47038,12700.335,40366704.67740,0
1713688200000,3176.93,3182.00,3167.00,3167.68,20072.056,1713689999999,63700051.35689,39024,8872.282,28161361.81705,0
1713690000000,3167.69,3174.11,3162.43,3169.60,24280.735,1713691799999,76910886.93540,45013,12280.505,38903572.12467,0
1713691800000,3169.60,3170.92,3163.24,3169.14,17390.154,1713693599999,55085417.57472,31812,8466.923,26821144.17389,0
1713693600000,3169.14,3171.43,3152.04,3161.50,39078.314,1713695399999,123446251.63134,58400,18697.960,59069406.53833,0
1713695400000,3161.50,3172.47,3160.00,3168.63,22537.371,1713697199999,71371975.82141,39613,13154.287,41656466.47227,0
1713697200000,3168.62,3182.12,3163.18,3164.05,41303.088,1713698999999,131097939.75902,62649,21526.720,68334019.70544,0
1713699000000,3164.05,3170.94,3156.14,3167.02,27678.899,1713700799999,87578475.32719,54936,13889.626,43942356.27402,0
1713700800000,3167.01,3175.73,3155.03,3160.32,23693.729,1713702599999,75011819.24958,49457,10887.281,34472207.05075,0
1713702600000,3160.31,3166.41,3152.58,3156.03,21681.776,1713704399999,68496473.29525,42290,11440.378,36140648.92447,0
1713704400000,3156.03,3168.65,3142.35,3162.79,63183.078,1713706199999,199295255.73864,84033,30555.248,96376292.97096,0
