open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1710979200000,3517.80,3527.22,3496.63,3510.93,92136.549,1710980999999,323244073.08496,125869,45415.469,159319929.50892,0
1710981000000,3510.94,3554.00,3505.09,3518.12,128097.232,1710982799999,452197295.64496,182996,65345.569,230675900.42816,0
1710982800000,3518.13,3532.49,3516.48,3531.50,39708.878,1710984599999,139977380.55343,92297,20051.455,70684120.28312,0
1710984600000,3531.50,3532.00,3510.37,3528.72,33743.241,1710986399999,118814981.42324,76496,15165.219,53407413.65425,0
1710986400000,3528.72,3564.61,3528.72,3548.56,61043.754,1710988199999,216534580.36978,104335,33097.910,117413058.66286,0
1710988200000,3548.56,3559.48,3537.10,3542.45,37461.240,1710989999999,133009258.70851,69480,16093.199,57147651.87695,0
1710990000000,3542.45,3557.97,3527.71,3533.32,47268.609,1710991799999,167421728.79803,75765,19554.032,69257597.60284,0
1710991800000,3533.33,3547.56,3495.70,3513.01,125843.919,1710993599999,442607858.39191,159192,57443.695,202042276.65145,0
1710993600000,3513.18,3524.30,3498.50,3515.50,59706.901,1710995399999,209690970.55686,118664,27987.410,98296596.33346,0
1710995400000,3515.49,3519.38,3487.22,3497.32,65683.401,1710997199999,229804333.23468,116074,30474.985,106622149.99457,0
1710997200000,3497.31,3497.31,3450.00,3470.29,117951.324,1710998999999,409225640.29570,167927,50686.755,175875743.18146,0
1710999000000,3470.29,3513.99,3462.00,3512.15,87634.018,1711000799999,305605048.62994,141785,47345.864,165154299.41938,0
1711000800000,3512.15,3536.64,3508.42,3519.60,76873.389,1711002599999,270876960.92787,139338,39076.489,137719986.91884,0
1711002600000,3519.64,3526.80,3503.22,3509.00,42244.096,1711004399999,148426565.05235,86728,20472.745,71950174.54300,0
1711004400000,3509.01,3541.11,3503.82,3536.62,57604.466,1711006199999,203064393.15490,96660,34564.995,121887697.23900,0
