open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1708473600000,3017.22,3020.00,3007.07,3010.20,48023.878,1708475399999,144744638.41019,70382,20199.157,60889773.52785,0
1708475400000,3010.21,3012.85,3001.20,3006.19,55031.790,1708477199999,165462013.60095,73794,24090.304,72433121.92367,0
1708477200000,3006.20,3007.00,2993.51,2997.34,52413.740,1708478999999,157288136.64774,70346,20219.250,60679798.80948,0
1708479000000,2997.35,3004.31,2990.50,3002.34,40139.398,1708480799999,120322010.25108,62197,22142.923,66386767.45356,0
1708480800000,3002.33,3007.00,2994.29,3003.82,41058.448,1708482599999,123251419.80686,66382,22235.404,66754661.66012,0
1708482600000,3003.81,3015.22,3000.81,3011.81,43303.705,1708484399999,130273673.34224,66418,24487.199,73670947.62593,0
1708484400000,3011.80,3013.27,3002.32,3007.83,31532.090,1708486199999,94863349.82524,51899,15038.373,45239527.23208,0
1708486200000,3007.83,3013.38,3004.46,3007.88,31195.594,1708487999999,93873466.32464,44532,15824.159,47623604.27695,0
1708488000000,3007.88,3012.45,3005.35,3005.49,22748.866,1708489799999,68464409.28170,39555,10617.967,31957614.83239,0
1708489800000,3005.52,3006.36,2987.05,2999.77,82604.674,1708491599999,247496922.45917,98186,35329.138,105840210.21405,0
1708491600000,2999.77,3011.50,2998.09,3000.97,44278.175,1708493399999,133105917.80895,58795,23729.491,71335733.97552,0
1708493400000,3000.97,3002.60,2973.60,2977.78,87756.301,1708495199999,261932405.42040,101187,34026.116,101545011.39658,0
1708495200000,2977.78,2982.40,2967.12,2976.32,67018.312,1708496999999,199405298.78594,81133,30200.509,89876017.68550,0
1708497000000,2976.32,2979.19,2946.16,2953.09,123579.812,1708498799999,365657464.68476,137584,54193.987,160353856.60972,0
1708498800000,2953.09,2953.09,2922.60,2943.07,134294.671,1708500599999,394505517.22465,148021,68232.566,200441291.46692,0
