open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1718928000000,3511.27,3516.37,3490.03,3502.25,60867.628,1718929799999,213072305.53866,79774,27702.763,96988583.40139,0
1718929800000,3502.25,3514.19,3495.80,3498.39,25620.930,1718931599999,89806008.48069,49281,11363.846,39837504.68045,0
1718931600000,3498.38,3519.40,3494.35,3518.19,28584.420,1718933399999,100270790.44839,52986,17086.917,59946780.56480,0
1718933400000,3518.19,3527.88,3517.47,3526.20,30595.108,1718935199999,107816889.65645,47773,16428.401,57897435.46779,0
1718935200000,3526.21,3534.89,3516.28,3519.97,31598.304,1718936999999,111414695.11737,42789,16422.791,57917512.91562,0
1718937000000,3519.97,3521.66,3504.53,3506.75,33170.403,1718938799999,116408668.81852,43558,13914.490,48832187.86840,0
1718938800000,3506.74,3511.80,3501.63,3502.88,25107.059,1718940599999,88018140.34212,37835,9956.205,34912130.74965,0
1718940600000,3502.88,3509.00,3493.05,3499.13,27336.223,1718942399999,95708796.60870,51413,11419.020,39987452.43635,0
1718942400000,3499.14,3515.68,3491.31,3511.48,37792.360,1718944199999,132425275.39723,56208,20534.811,71975877.28025,0
1718944200000,3511.49,3516.13,3510.47,3515.93,13541.628,1718945999999,47578132.18748,28089,6281.103,22068128.62088,0
1718946000000,3515.92,3516.29,3503.16,3509.85,22252.894,1718947799999,78069477.92372,33564,10298.509,36129666.53499,0
1718947800000,3509.85,3520.55,3508.00,3517.01,16439.900,1718949599999,57765786.08138,28462,9567.644,33620353.41709,0
1718949600000,3517.01,3519.00,3507.85,3511.46,21648.996,1718951399999,76080314.77339,33182,8374.079,29432199.88484,0
1718951400000,3511.46,3513.50,3504.21,3510.87,16934.314,1718953199999,59413856.02424,29657,7388.666,25923154.65032,0
1718953200000,3510.88,3517.98,3509.08,3514.34,17163.077,1718954999999,60306215.50395,29230,9504.633,33395598.06372,0
1718955000000,3514.34,3514.34,3466.31,3473.55,136415.507,1718956799999,474892174.88145,139717,55627.052,193606940.96976,0
1718956800000,3473.54,3488.00,3466.18,3480.50,64806.899,1718958599999,225440274.95057,84620,34407.691,119690078.68715,0
1718958600000,3480.51,3487.00,3443.80,3457.82,127203.921,1718960399999,440635357.53187,149173,51680.261,179051629.48321,0
1718960400000,3457.82,3497.00,3452.07,3490.95,102369.423,1718962199999,355503098.44192,127777,58153.004,201990841.33161,0
1718962200000,3490.93,3531.50,3489.89,3513.20,192912.402,1718963999999,677796224.35567,190597,99439.089,349336872.93411,0
1718964000000,3513.19,3520.82,3500.56,3501.77,71931.264,1718965799999,252495668.45055,87411,33652.494,118124281.06946,0
1718965800000,3501.76,3506.61,3489.06,3495.21,54968.562,1718967599999,192232454.48223,72758,26569.114,92923960.25541,0
1718967600000,3495.21,3508.58,3494.42,3506.44,34385.624,1718969399999,120445573.70364,52805,18041.485,63194414.51224,0
1718969400000,3506.44,3508.51,3490.06,3502.11,41221.222,1718971199999,144262717.65411,63690,20887.984,73118514.29106,0
1718971200000,3502.11,3511.85,3468.67,3488.95,96850.687,1718972999999,337805583.34217,120450,46376.671,161828846.40130,0
1718973000000,3488.95,3499.99,3480.75,3494.63,43119.555,1718974799999,150533438.29983,79252,24132.653,84254292.41558,0
1718974800000,3494.63,3497.35,3470.25,3473.04,65407.026,1718976599999,227664277.66002,86369,28003.616,97479330.79127,0
1718976600000,3473.04,3487.75,3453.47,3474.97,117617.198,1718978399999,408282971.46059,153863,57230.275,198738955.43798,0
1718978400000,3474.98,3510.80,3462.01,3500.19,118623.982,1718980199999,414405483.31296,152637,61381.398,214486205.42339,0
1718980200000,3500.19,3519.00,3498.35,3512.62,96246.111,1718981999999,337828639.89016,112345,49159.160,172564597.65337,0
1718982000000,3512.94,3518.49,3493.50,3499.40,62997.900,1718983799999,220775518.51502,84277,30357.458,106386282.29479,0
1718983800000,3499.39,3508.20,3474.00,3491.55,104031.493,1718985599999,362478091.81501,132198,46586.614,162317485.24685,0
1718985600000,3491.54,3494.81,3472.76,3479.20,44188.234,1718987399999,153923442.67095,73868,19609.469,68313587.32115,0
1718987400000,3479.20,3491.71,3476.32,3487.35,24248.254,1718989199999,84483083.83429,49575,12561.857,43770613.87994,0
1718989200000,3487.35,3505.00,3469.35,3473.69,69585.795,1718990999999,242623999.05074,93265,33387.424,116448557.66352,0
1718991000000,3473.69,3489.86,3470.40,3477.01,34612.888,1718992799999,120427433.78806,64865,16616.387,57813169.15133,0
1718992800000,3477.01,3494.78,3474.30,3484.98,33043.388,1718994599999,115091387.99506,58406,15233.187,53065666.32789,0
1718994600000,3484.98,3524.99,3482.54,3521.94,59306.818,1718996399999,207918883.08402,85072,36552.488,128165373.34111,0
1718996400000,3521.93,3525.90,3508.86,3519.22,52113.300,1718998199999,183281724.63380,72562,25426.404,89436772.49627,0
1718998200000,3519.21,3536.41,3519.21,3533.49,50595.288,1718999999999,178508081.00592,71514,30439.319,107405450.38003,0
1719000000000,3533.49,3546.66,3528.96,3530.25,53533.674,1719001799999,189341899.39737,77481,26593.254,94075431.46888,0
