open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1721520000000,3516.03,3527.90,3514.38,3521.86,16255.131,1721521799999,57250164.50670,30694,8868.563,31237046.30522,0
1721521800000,3521.85,3521.86,3502.13,3506.42,24877.516,1721523599999,87299424.90974,36717,10181.368,35725414.14996,0
1721523600000,3506.42,3518.34,3505.40,3512.57,11546.337,1721525399999,40545730.34585,23364,6384.266,22416844.53133,0
1721525400000,3512.57,3522.00,3510.23,3514.46,12209.134,1721527199999,42927954.33061,23579,6535.821,22983348.09447,0
1721527200000,3514.47,3518.57,3513.25,3516.58,5093.616,1721528999999,17908845.38123,14861,2914.229,10245876.37366,0
1721529000000,3516.59,3521.73,3512.46,3512.47,9696.770,1721530799999,34102141.57999,18312,5173.583,18200530.00683,0
1721530800000,3512.46,3519.37,3509.95,3512.52,8097.935,1721532599999,28461464.03960,16724,3961.516,13925462.79570,0
1721532600000,3512.51,3513.44,3508.46,3508.86,8703.325,1721534399999,30554485.02039,17798,3611.883,12681052.49480,0
1721534400000,3508.86,3512.03,3506.07,3510.06,10835.238,1721536199999,38018757.47234,17496,4877.094,17114178.42402,0
1721536200000,3510.22,3510.23,3502.00,3503.20,12192.790,1721537999999,42742345.48757,19338,4932.982,17294588.94290,0
1721538000000,3503.20,3504.74,3492.07,3499.98,30499.823,1721539799999,106702974.05515,44317,11734.581,41057274.24657,0
1721539800000,3499.98,3504.16,3497.64,3499.66,6426.456,1721541599999,22500955.52929,16927,3387.956,11862892.69616,0
1721541600000,3499.66,3502.38,3482.50,3490.62,44903.359,1721543399999,156692019.56838,54377,22517.053,78574658.36239,0
1721543400000,3490.62,3490.63,3481.61,3485.26,34877.379,1721545199999,121555367.63759,40042,14341.166,49982817.91805,0
1721545200000,3485.25,3488.55,3472.54,3482.82,45280.748,1721546999999,157693300.77260,59163,20726.814,72197362.34888,0
1721547000000,3482.81,3488.16,3480.73,3482.87,16273.904,1721548799999,56710019.00530,31103,8337.244,29053338.67699,0
1721548800000,3482.87,3491.20,3481.72,3486.48,19527.561,1721550599999,68095672.62650,31668,10654.579,37153705.01170,0
1721550600000,3486.48,3490.95,3483.66,3486.53,9075.363,1721552399999,31648169.49147,18074,4847.115,16903746.77669,0
1721552400000,3486.53,3498.05,3485.00,3488.87,27284.413,1721554199999,95313510.44333,38664,16451.305,57476887.91926,0
1721554200000,3488.87,3502.92,3488.64,3499.40,24735.488,1721555999999,86499795.45139,31439,16077.275,56222086.99008,0
1721556000000,3499.39,3506.89,3493.28,3496.00,22366.168,1721557799999,78304493.52133,30050,9640.648,33757399.74156,0
1721557800000,3495.99,3498.25,3492.80,3492.80,7438.841,1721559599999,26003393.19530,15534,3582.639,12525026.11813,0
1721559600000,3492.81,3497.35,3490.03,3490.23,11512.075,1721561399999,40227706.02869,20556,5473.902,19131252.19951,0
1721561400000,3490.22,3497.50,3488.88,3497.37,6621.699,1721563199999,23136170.02540,15968,4019.444,14046419.74933,0
1721563200000,3497.37,3502.80,3496.41,3498.13,14586.360,1721564999999,51039812.48408,22296,7414.506,25945116.06939,0
1721565000000,3498.14,3501.00,3493.55,3498.89,9115.401,1721566799999,31876913.90074,16562,4184.361,14635754.10602,0
1721566800000,3498.88,3501.30,3493.06,3495.40,12204.470,1721568599999,42690662.87410,19300,3964.630,13869354.32083,0
1721568600000,3495.40,3495.40,3481.00,3489.76,33217.565,1721570399999,115833091.14723,43599,14971.911,52209035.00068,0
1721570400000,3489.75,3509.36,3482.19,3506.99,43641.210,1721572199999,152762020.28283,62235,24263.730,84949662.86892,0
1721572200000,3507.00,3515.75,3501.39,3509.15,38343.772,1721573999999,134567686.14075,56495,19453.045,68277535.49663,0
1721574000000,3509.16,3515.00,3495.19,3504.34,26067.020,1721575799999,91343261.84675,47273,12110.312,42443366.37489,0
1721575800000,3504.44,3515.66,3494.00,3498.64,38007.007,1721577599999,133183072.55357,53799,18812.322,65943057.59618,0
1721577600000,3498.63,3506.05,3485.78,3490.99,34069.923,1721579399999,119071492.14127,50610,16063.602,56154746.90650,0
1721579400000,3490.98,3519.84,3485.00,3516.00,57875.349,1721581199999,202848338.79488,76410,32495.108,113897026.80155,0
1721581200000,3516.00,3524.00,3502.16,3504.26,46116.690,1721582999999,162064393.00566,70869,23331.282,82018391.17087,0
1721583000000,3504.26,3506.73,3445.00,3467.18,147590.498,1721584799999,512028928.33712,186034,60838.735,211044195.55368,0
1721584800000,3467.18,3472.95,3408.13,3468.29,257355.463,1721586599999,884988219.21709,318084,125899.067,432978103.12281,0
1721586600000,3468.29,3483.97,3454.02,3462.20,95967.040,1721588399999,332841331.67357,135678,41580.300,144227789.37982,0
1721588400000,3462.21,3487.33,3456.84,3481.00,42955.994,1721590199999,149037307.41431,67094,25762.067,89396612.73148,0
1721590200000,3481.01,3495.98,3476.20,3489.00,68451.069,1721591999999,238724234.53467,95698,33719.793,117603019.66255,0
1721592000000,3489.01,3521.99,3480.92,3519.31,69119.046,1721593799999,242229445.82368,95640,40909.152,143383819.78877,0
1721593800000,3519.32,3522.72,3493.50,3497.07,53991.627,1721595599999,189568069.87332,87229,23466.342,82413299.94887,0
1721595600000,3497.07,3512.73,3488.78,3504.15,42511.723,1721597399999,148772652.03158,60329,22261.261,77900587.31714,0
1721597400000,3504.15,3519.00,3502.19,3519.00,27698.612,1721599199999,97308300.95522,48463,15862.388,55729473.04655,0
1721599200000,3519.00,3547.84,3517.01,3528.27,91518.311,1721600999999,323403064.61550,124477,47325.755,167232181.92543,0
1721601000000,3528.28,3534.82,3521.30,3532.42,25316.356,1721602799999,89319393.47635,43040,15537.701,54827115.98199,0
1721602800000,3532.42,3544.32,3526.55,3527.30,32956.403,1721604599999,116511294.05610,55214,14652.767,51799567.37485,0
1721604600000,3527.30,3535.00,3519.50,3534.29,23101.956,1721606399999,81475957.04292,39865,12173.002,42940451.28017,0
