open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1729555200000,2666.62,2671.59,2645.23,2647.72,87174.178,1729556999999,231646054.21987,101036,30698.979,81642262.99596,0
1729557000000,2647.72,2649.94,2613.77,2637.84,243960.355,1729558799999,641473227.52494,255616,101638.919,267287411.60354,0
1729558800000,2637.85,2648.31,2626.47,2645.00,65204.764,1729560599999,172007556.09911,99646,33667.901,88829324.31209,0
1729560600000,2645.00,2650.00,2635.67,2646.72,27953.677,1729562399999,73884977.50688,59278,13289.801,35135555.84290,0
1729562400000,2646.72,2657.05,2645.77,2646.57,46500.932,1729564199999,123346324.54606,65905,25393.967,67360445.98555,0
1729564200000,2646.56,2649.63,2632.75,2636.44,46608.022,1729565999999,123099181.34047,60316,16698.753,44103996.98232,0
1729566000000,2636.44,2645.86,2634.72,2644.00,23004.067,1729567799999,60759906.20740,43318,15390.134,40646637.63423,0
1729567800000,2644.01,2645.83,2641.00,2644.65,18594.227,1729569599999,49155116.00818,34291,7782.557,20575116.71319,0
1729569600000,2644.66,2644.66,2635.21,2643.41,19619.447,1729571399999,51795476.03657,38413,7975.539,21059910.97645,0
1729571400000,2643.41,2643.54,2637.69,2641.00,11829.913,1729573199999,31239390.23445,28044,5462.424,14424556.15597,0
1729573200000,2641.00,2647.71,2638.41,2643.80,22450.353,1729574999999,59361649.45795,42485,13379.741,35374282.08747,0
1729575000000,2643.80,2651.73,2643.31,2646.84,16830.575,1729576799999,44560718.99708,34608,10186.818,26972809.43155,0
1729576800000,2646.84,2658.00,2646.84,2654.70,36397.610,1729578599999,96595028.17595,51354,19338.318,51321161.71011,0
1729578600000,2654.71,2659.59,2653.33,2653.90,21110.248,1729580399999,56078175.27045,44895,10160.507,26993780.59401,0
1729580400000,2653.90,2658.50,2653.08,2655.20,12762.476,1729582199999,33887975.98816,29007,6518.938,17309812.45114,0
1729582200000,2655.20,2656.27,2645.24,2646.65,24103.725,1729583999999,63902239.71895,37710,8329.102,22084140.65438,0
1729584000000,2646.65,2649.35,2636.50,2636.68,50414.375,1729585799999,133273010.10308,74297,19425.968,51362063.87053,0
1729585800000,2636.68,2642.76,2628.01,2630.16,72722.931,1729587599999,191554432.97319,100491,35529.620,93604793.94552,0
