open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1716336000000,3792.33,3806.70,3776.29,3799.36,67079.609,1716337799999,254469403.32238,97592,34886.769,132356102.53976,0
1716337800000,3799.37,3799.96,3781.46,3784.85,25311.038,1716339599999,95904463.44020,60242,11030.238,41795932.72716,0
1716339600000,3784.86,3791.76,3777.65,3787.53,28191.150,1716341399999,106696438.93821,54654,14895.303,56386049.48342,0
1716341400000,3787.53,3791.99,3779.93,3791.67,20968.304,1716343199999,79379243.05529,51759,11233.328,42528818.46951,0
1716343200000,3791.67,3802.30,3790.67,3792.81,33997.966,1716344999999,129054600.79163,64425,19117.665,72570720.63645,0
1716345000000,3792.82,3810.41,3777.50,3795.69,51606.491,1716346799999,195711220.11859,85836,26126.073,99090444.53845,0
1716346800000,3795.70,3816.84,3793.40,3807.57,52171.857,1716348599999,198486043.99804,95875,28595.747,108804097.24701,0
1716348600000,3807.57,3810.61,3786.02,3795.98,41274.019,1716350399999,156620387.97683,81572,18056.614,68515757.89588,0
1716350400000,3795.99,3797.80,3773.85,3776.18,46091.776,1716352199999,174451545.60142,76544,20579.170,77899532.65284,0
1716352200000,3776.18,3784.19,3722.58,3752.01,176187.942,1716353999999,660649908.99122,227175,85783.117,321587436.82998,0
1716354000000,3752.00,3764.48,3740.28,3761.73,57985.920,1716355799999,217599402.18914,102964,31750.073,119141126.35067,0
1716355800000,3761.73,3768.99,3756.61,3761.55,29727.028,1716357599999,111824489.02487,69276,14368.778,54053592.49839,0
1716357600000,3761.55,3775.97,3758.01,3760.70,37205.287,1716359399999,140134437.44958,81477,18726.899,70556467.38020,0
1716359400000,3760.71,3770.34,3756.52,3768.44,27322.654,1716361199999,102830551.62343,61617,14581.069,54884907.90724,0
1716361200000,3768.48,3772.95,3735.30,3747.60,63098.518,1716362999999,236767338.19558,89049,27732.461,104050970.89605,0
1716363000000,3747.59,3758.88,3741.60,3749.24,35261.661,1716364799999,132302167.41449,63739,19263.635,72284467.09849,0
1716364800000,3749.24,3759.83,3735.07,3756.65,44865.337,1716366599999,168223864.40162,85734,23633.392,88636331.22894,0
1716366600000,3756.65,3782.34,3753.90,3769.29,65544.775,1716368399999,247166928.00920,104059,37916.418,142965426.30626,0
1716368400000,3769.30,3770.83,3738.34,3748.00,59559.269,1716370199999,223370856.72749,100953,27642.395,103646321.52839,0
1716370200000,3748.00,3749.78,3730.00,3734.56,61457.698,1716371999999,229757043.50222,89344,27608.326,103236505.07021,0
1716372000000,3734.57,3751.78,3727.00,3742.31,56233.496,1716373799999,210268128.71966,82081,29457.669,110174249.13822,0
1716373800000,3742.31,3745.71,3733.30,3742.56,27247.664,1716375599999,101921695.19192,50924,14881.209,55666268.19575,0
