open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1724284800000,2629.37,2636.25,2625.41,2631.65,28389.112,1724286599999,74680698.95631,41004,13523.212,35577430.90824,0
1724286600000,2631.66,2639.28,2626.35,2627.52,28160.976,1724288399999,74144807.57515,40204,11453.065,30161004.80345,0
1724288400000,2627.52,2630.32,2620.82,2626.98,26866.524,1724290199999,70560037.89546,39235,14702.960,38618227.48026,0
1724290200000,2626.98,2628.79,2622.40,2626.91,15852.929,1724291999999,41620638.81066,26015,7100.391,18641164.36065,0
1724292000000,2626.90,2627.21,2612.32,2613.26,31211.880,1724293799999,81724194.42226,45681,14952.886,39157300.48888,0
1724293800000,2613.25,2620.13,2582.27,2601.99,131734.432,1724295599999,342365252.91337,140331,66315.607,172339782.39569,0
1724295600000,2602.00,2610.28,2596.84,2607.58,40553.965,1724297399999,105622279.06882,57158,20588.529,53614694.78641,0
1724297400000,2607.59,2617.60,2605.13,2615.18,31954.770,1724299199999,83440945.97531,42417,17846.815,46609672.39188,0
1724299200000,2615.18,2617.96,2612.32,2617.64,19903.139,1724300999999,52038617.87683,33400,9816.802,25670349.89145,0
1724301000000,2617.63,2626.00,2615.89,2625.14,29820.572,1724302799999,78132127.75104,44009,17317.763,45385162.69742,0
1724302800000,2625.14,2625.14,2617.72,2622.00,17642.937,1724304599999,46241601.61979,28079,7363.961,19301358.73998,0
1724304600000,2622.00,2622.48,2614.46,2618.44,15154.345,1724306399999,39679129.91335,25222,7236.947,18949952.57222,0
1724306400000,2618.43,2628.85,2616.50,2623.45,30039.135,1724308199999,78820917.00942,40131,14733.667,38664326.13404,0
1724308200000,2623.45,2627.46,2621.30,2626.10,10742.748,1724309999999,28193062.78556,21726,5210.903,13675911.65520,0
1724310000000,2626.09,2631.76,2624.48,2630.66,23650.386,1724311799999,62177413.35841,36332,13719.595,36074336.18430,0
1724311800000,2630.66,2641.95,2627.18,2635.00,32156.148,1724313599999,84691221.16336,44421,17485.026,46063523.64132,0
1724313600000,2634.99,2638.00,2627.40,2636.48,30786.704,1724315399999,81052436.71935,43310,13611.963,35844204.32624,0
1724315400000,2636.47,2639.99,2630.59,2632.68,20226.279,1724317199999,53293619.66591,35351,10596.610,27923651.76952,0
1724317200000,2632.67,2635.38,2623.43,2627.22,26012.742,1724318999999,68383478.33300,37970,10798.956,28389791.28064,0
1724319000000,2627.22,2629.64,2622.15,2622.82,18996.419,1724320799999,49882540.60616,33115,7068.969,18564795.76479,0
1724320800000,2622.81,2631.92,2618.36,2631.75,25523.663,1724322599999,66999270.82700,37951,14378.518,37754156.50050,0
1724322600000,2631.75,2644.00,2629.23,2639.67,52319.181,1724324399999,137955015.75643,64984,31918.716,84183751.31944,0
1724324400000,2639.67,2639.80,2630.60,2637.88,26158.944,1724326199999,68920108.56006,43775,11222.646,29570987.53239,0
1724326200000,2637.88,2642.66,2634.31,2640.42,27441.324,1724327999999,72425676.22799,42859,13526.199,35697032.45303,0
1724328000000,2640.42,2643.87,2632.00,2635.22,33996.619,1724329799999,89652446.53775,45701,14503.123,38248305.08417,0
1724329800000,2635.22,2638.72,2620.63,2624.22,63100.193,1724331599999,165793061.19692,83847,26951.560,70812926.79666,0
1724331600000,2624.21,2626.99,2616.81,2625.18,37286.567,1724333399999,97761459.81576,54819,16832.101,44137304.33317,0
1724333400000,2625.17,2628.88,2608.51,2619.23,85266.832,1724335199999,223263511.68124,117726,41592.358,108910426.46296,0
1724335200000,2619.24,2620.00,2602.30,2613.96,73057.962,1724336999999,190665749.55585,103533,40062.596,104551909.86557,0
1724337000000,2613.96,2618.00,2598.00,2600.46,81692.320,1724338799999,212839339.45147,85776,34745.070,90536386.65357,0
1724338800000,2600.46,2611.84,2593.24,2599.99,54317.693,1724340599999,141349474.92863,77336,28060.260,73032499.07435,0
1724340600000,2599.99,2601.04,2588.39,2598.30,54295.072,1724342399999,140881644.95617,82169,26140.496,67839208.97394,0
1724342400000,2598.29,2609.31,2596.06,2608.10,52520.689,1724344199999,136700080.10754,67044,26864.497,69917459.81527,0
1724344200000,2608.09,2615.67,2602.52,2604.70,50183.068,1724345999999,130991415.80793,62036,25761.540,67248320.03649,0
1724346000000,2604.70,2613.49,2601.00,2609.48,30984.350,1724347799999,80807621.52595,45776,15969.371,41652583.61966,0
1724347800000,2609.47,2610.81,2600.00,2602.73,19822.113,1724349599999,51644837.60408,38223,9128.494,23786104.09529,0
1724349600000,2602.74,2617.95,2600.10,2614.24,26639.439,1724351399999,69573221.43131,43840,13737.346,35876580.26280,0
1724351400000,2614.24,2618.86,2604.54,2605.13,34650.283,1724353199999,90483804.27635,44397,13003.672,33964608.40669,0
1724353200000,2605.07,2609.82,2600.71,2602.18,18384.332,1724354999999,47896257.72057,34110,8338.383,21725805.81317,0
1724355000000,2602.18,2609.38,2597.10,2605.44,19225.776,1724356799999,50049915.25555,36101,10168.984,26479618.90820,0
1724356800000,2605.45,2617.40,2605.18,2609.44,30713.912,1724358599999,80192595.65866,42531,15758.641,41139760.56162,0
1724358600000,2609.45,2631.27,2609.43,2623.68,38758.553,1724360399999,101560856.72966,44228,26315.952,68969692.92798,0
