open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1726963200000,2611.40,2633.30,2609.09,2609.09,117038.265,1726964999999,306749792.63266,133495,57073.019,149639346.33065,0
1726965000000,2609.10,2620.88,2603.73,2619.36,51952.242,1726966799999,135698722.92562,69130,29710.333,77608611.98167,0
1726966800000,2619.37,2620.19,2608.29,2609.13,31699.755,1726968599999,82856221.78264,48208,13637.338,35645112.38877,0
1726968600000,2609.13,2610.26,2598.70,2599.61,34169.875,1726970399999,89001602.30919,47387,14555.999,37919347.34111,0
1726970400000,2599.60,2602.43,2586.48,2595.97,62792.699,1726972199999,162888216.72744,71115,30663.629,79538702.26445,0
1726972200000,2595.97,2600.61,2588.80,2593.15,30749.705,1726973999999,79786415.67820,46830,16140.680,41882041.86767,0
1726974000000,2593.15,2613.89,2590.85,2601.26,68651.793,1726975799999,178657465.59728,68048,42402.439,110343633.37105,0
1726975800000,2601.26,2604.28,2593.11,2593.62,21434.092,1726977599999,55685968.01893,32256,9685.977,25168119.42490,0
1726977600000,2593.61,2598.43,2592.85,2596.69,17788.884,1726979399999,46170497.71368,25858,11219.582,29121419.81114,0
1726979400000,2596.70,2603.88,2594.25,2597.55,20007.981,1726981199999,52011418.45753,31302,11139.661,28956746.28279,0
1726981200000,2597.55,2598.23,2581.06,2584.69,48227.683,1726982999999,124813381.73513,67783,20401.609,52787356.54109,0
1726983000000,2584.68,2587.88,2578.08,2581.07,32040.730,1726984799999,82737981.03325,39330,14527.483,37518133.91649,0
1726984800000,2581.07,2589.85,2579.72,2586.95,23618.813,1726986599999,61083068.33315,30807,13025.422,33685234.61365,0
1726986600000,2586.95,2587.18,2575.00,2579.36,29275.102,1726988399999,75523790.90260,42957,12181.050,31425875.78642,0
1726988400000,2579.37,2584.67,2578.42,2583.64,18445.102,1726990199999,47617144.76489,29063,11809.956,30489609.04229,0
1726990200000,2583.64,2587.23,2580.89,2586.74,13031.395,1726991999999,33674520.91910,23939,6918.050,17879370.69950,0
1726992000000,2586.73,2593.51,2584.57,2591.22,23719.652,1726993799999,61414901.69160,36822,12504.633,32379781.43487,0
1726993800000,2591.22,2595.00,2585.50,2594.09,18976.004,1726995599999,49157247.98580,27332,9462.046,24514416.74614,0
1726995600000,2594.09,2594.09,2577.19,2579.01,47913.077,1726997399999,123804087.34694,52259,16602.823,42888127.02104,0
1726997400000,2579.00,2584.22,2572.05,2578.55,56793.834,1726999199999,146407441.66605,58930,23389.655,60297694.64046,0
1726999200000,2578.55,2580.96,2574.65,2579.21,19986.127,1727000999999,51533549.57944,28682,9374.652,24174659.53484,0
1727001000000,2579.21,2580.59,2568.58,2579.37,33056.208,1727002799999,85098784.98602,48560,16818.280,43300889.99761,0
1727002800000,2579.37,2582.99,2571.38,2580.57,29269.789,1727004599999,75466255.53086,43663,14521.564,37446827.75194,0
1727004600000,2580.58,2583.91,2578.64,2579.58,18740.410,1727006399999,48385923.70045,32779,8512.245,21980711.94839,0
1727006400000,2579.59,2584.64,2578.92,2579.71,15942.113,1727008199999,41158273.06625,29637,8586.796,22170568.22919,0
1727008200000,2579.71,2580.62,2573.32,2580.13,20010.663,1727009999999,51565374.44785,30241,9123.138,23510126.80421,0
1727010000000,2580.13,2586.97,2577.52,2579.65,25048.003,1727011799999,64698361.51283,34866,12114.030,31293446.86999,0
1727011800000,2579.65,2580.00,2564.79,2569.97,52581.167,1727013599999,135188818.95085,68537,24067.918,61882157.35212,0
1727013600000,2569.97,2574.01,2558.81,2562.71,70452.285,1727015399999,180819773.27114,77752,35704.812,91650644.95029,0
1727015400000,2562.70,2565.91,2553.07,2563.34,71961.431,1727017199999,184258239.51753,77816,34773.196,89044441.65461,0
1727017200000,2563.34,2573.47,2561.16,2571.99,32751.438,1727018999999,84102400.09641,48579,19811.892,50868988.07877,0
1727019000000,2571.99,2575.69,2568.64,2569.57,26615.178,1727020799999,68441646.98995,34578,11385.012,29283074.96249,0
1727020800000,2569.57,2570.08,2550.08,2564.04,87524.924,1727022599999,224018779.53427,91817,40536.284,103740962.41520,0
1727022600000,2564.04,2574.00,2562.00,2570.36,33076.880,1727024399999,84975873.69019,48272,16988.992,43642996.80998,0
1727024400000,2570.37,2584.92,2569.12,2581.50,44477.297,1727026199999,114687499.99335,63116,24534.746,63268957.89782,0
1727026200000,2581.50,2591.31,2579.13,2584.30,37315.570,1727027999999,96491615.56747,59785,19010.535,49163645.16166,0
1727028000000,2584.30,2585.00,2571.15,2578.99,29610.411,1727029799999,76342981.18143,45336,13748.522,35446834.27095,0
1727029800000,2579.00,2581.16,2574.81,2575.49,13481.382,1727031599999,34757365.43875,27917,5995.239,15458417.77424,0
1727031600000,2575.49,2576.96,2561.11,2564.25,23434.340,1727033399999,60187870.32908,33483,8977.389,23057553.93478,0
1727033400000,2564.26,2582.33,2564.26,2577.00,22846.869,1727035199999,58822462.02647,41042,13261.026,34132835.00612,0
1727035200000,2576.99,2582.44,2574.26,2578.79,34709.927,1727036999999,89505693.77379,50590,20248.023,52220024.08572,0
1727037000000,2578.80,2578.85,2570.35,2571.95,11988.467,1727038799999,30864373.81401,28649,4913.413,12648414.10513,0
1727038800000,2571.95,2578.84,2570.56,2573.34,13545.027,1727040599999,34870933.65897,28535,6316.275,16261941.93015,0
1727040600000,2573.34,2574.49,2542.08,2546.30,60212.749,1727042399999,153863425.67192,63097,23539.984,60160502.05728,0
1727042400000,2546.29,2550.09,2522.57,2543.75,145393.064,1727044199999,368474471.15999,153760,70722.181,179245109.92384,0
1727044200000,2543.75,2593.00,2543.75,2588.41,150592.357,1727045999999,387762659.97624,163793,85002.594,218859056.22043,0
