open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1719014400000,3517.18,3520.00,3504.13,3505.45,25261.784,1719016199999,88723825.51278,42153,10692.792,37553243.49085,0
1719016200000,3505.43,3507.06,3493.07,3499.71,35493.465,1719017999999,124205901.30397,54407,16723.592,58514957.24966,0
1719018000000,3499.60,3504.99,3494.61,3497.72,15042.299,1719019799999,52657863.81480,28555,7696.471,26946031.41646,0
1719019800000,3497.72,3507.03,3495.46,3501.20,13954.994,1719021599999,48873794.90032,25475,8522.382,29846259.00702,0
1719021600000,3501.20,3510.49,3500.30,3505.65,14335.162,1719023399999,50264186.55455,26446,8239.890,28893868.09674,0
1719023400000,3505.66,3509.00,3499.10,3503.48,20395.438,1719025199999,71477936.23242,25875,9521.794,33370644.24433,0
1719025200000,3503.48,3510.81,3503.48,3508.00,11623.476,1719026999999,40773349.13243,20121,5281.508,18526661.54664,0
1719027000000,3508.00,3508.80,3502.85,3505.48,12031.046,1719028799999,42168118.47991,19715,6374.077,22340713.71086,0
1719028800000,3505.49,3507.60,3497.95,3501.90,12402.333,1719030599999,43434314.48424,21543,6435.827,22539824.70990,0
1719030600000,3501.90,3508.24,3500.85,3507.09,7412.845,1719032399999,25977992.44322,16829,3878.784,13593851.29471,0
1719032400000,3507.09,3507.10,3497.81,3503.48,14399.166,1719034199999,50416503.42808,21831,7005.122,24527295.41462,0
1719034200000,3503.47,3507.67,3501.70,3507.66,10380.809,1719035999999,36377670.14617,19296,5656.164,19821020.06168,0
1719036000000,3507.66,3508.19,3501.60,3503.29,13188.660,1719037799999,46231953.76148,21142,5876.614,20601127.13356,0
1719037800000,3503.30,3506.00,3500.65,3501.97,10759.736,1719039599999,37696848.65572,20290,5804.206,20335613.72986,0
1719039600000,3501.97,3503.19,3486.77,3494.04,37152.940,1719041399999,129812892.18937,42090,15659.971,54713057.36303,0
1719041400000,3494.05,3497.58,3488.96,3492.53,37278.135,1719043199999,130211164.49087,36137,18927.702,66112273.16494,0
1719043200000,3492.53,3492.96,3472.57,3481.00,78168.219,1719044999999,272201568.45785,78525,34491.650,120098335.17546,0
1719045000000,3481.00,3488.00,3480.00,3482.45,20774.114,1719046799999,72382284.58632,31721,9900.555,34497685.45054,0
1719046800000,3482.46,3487.77,3480.77,3486.26,22302.700,1719048599999,77714418.98742,24740,11627.345,40514662.84846,0
1719048600000,3486.25,3493.87,3484.51,3490.97,18227.681,1719050399999,63599366.34104,26487,8043.908,28070102.66219,0
1719050400000,3490.97,3497.38,3489.05,3491.40,18174.153,1719052199999,63489339.64207,29562,8699.977,30394929.20932,0
1719052200000,3491.39,3496.00,3487.74,3495.57,9916.687,1719053999999,34626841.59306,20802,5418.850,18923717.91269,0
1719054000000,3495.57,3495.62,3489.20,3490.83,7615.735,1719055799999,26596559.47356,17178,3067.930,10714620.16785,0
1719055800000,3490.84,3494.94,3490.00,3491.64,5412.734,1719057599999,18905141.16029,15062,2734.394,9550422.20201,0
1719057600000,3491.64,3493.57,3488.01,3490.79,14410.125,1719059399999,50302517.54764,23894,7179.862,25062716.29547,0
1719059400000,3490.79,3492.42,3485.79,3487.00,23319.679,1719061199999,81353906.41446,28499,10832.656,37790858.51690,0
1719061200000,3487.01,3495.69,3485.18,3493.61,12419.051,1719062999999,43370044.66326,22634,6116.309,21357779.55979,0
1719063000000,3493.60,3500.98,3491.70,3499.88,37726.210,1719064799999,131954341.41729,37660,20306.919,71032755.62677,0
1719064800000,3499.87,3509.54,3495.36,3504.45,40883.734,1719066599999,143217841.83638,47802,21816.122,76425842.57302,0
1719066600000,3504.45,3505.39,3499.07,3501.69,20190.027,1719068399999,70714565.16244,28489,8575.886,30037391.77957,0
1719068400000,3501.70,3502.04,3496.60,3497.93,14662.490,1719070199999,51306317.10287,21914,6463.822,22618486.88651,0
1719070200000,3497.92,3504.60,3497.25,3504.60,10226.391,1719071999999,35804616.29048,20400,6784.658,23755927.38445,0
1719072000000,3504.59,3505.20,3497.74,3498.51,14156.852,1719073799999,49567109.18959,23145,5545.773,19419039.67015,0
1719073800000,3498.50,3503.95,3495.51,3503.40,15285.326,1719075599999,53510453.08074,23838,7887.551,27613803.16515,0
1719075600000,3503.40,3507.43,3499.71,3501.79,12007.578,1719077399999,42066654.74462,25450,5629.122,19723166.67124,0
1719077400000,3501.80,3503.75,3495.78,3496.46,8820.929,1719079199999,30863360.96133,20575,3299.990,11546606.69372,0
1719079200000,3496.45,3499.82,3493.92,3496.85,7920.318,1719080999999,27696979.65230,17848,3961.834,13854462.85985,0
1719081000000,3496.86,3499.81,3490.44,3492.18,11053.840,1719082799999,38621906.60456,18241,4611.446,16113844.43977,0
1719082800000,3492.19,3496.26,3486.30,3489.34,24896.423,1719084599999,86903259.73625,29504,10604.856,37023646.04939,0
1719084600000,3489.35,3492.01,3483.00,3490.22,23425.818,1719086399999,81697987.84327,27656,12760.067,44505686.00442,0
1719086400000,3490.22,3492.49,3483.97,3491.14,11696.366,1719088199999,40803892.62080,20417,6439.486,22466387.16339,0
1719088200000,3491.14,3495.33,3490.00,3494.23,6430.711,1719089999999,22459453.56908,13482,4204.702,14685716.60473,0
1719090000000,3494.23,3496.58,3493.32,3496.03,7474.034,1719091799999,26122219.52335,13512,3688.290,12891092.68267,0
1719091800000,3496.03,3506.88,3493.44,3504.15,17224.750,1719093599999,60292795.54612,23943,11074.503,38765946.35127,0
1719093600000,3504.16,3506.79,3499.15,3503.55,13917.703,1719095399999,48752014.34549,21501,6239.499,21858551.25059,0
1719095400000,3503.55,3504.84,3498.68,3500.91,8196.438,1719097199999,28704477.09386,20353,3167.219,11090936.41731,0
1719097200000,3500.91,3503.12,3499.07,3499.08,6438.578,1719098999999,22543198.94818,14563,2908.176,10182266.79547,0
1719099000000,3499.08,3499.51,3492.19,3494.26,9595.120,1719100799999,33533093.69000,17928,3843.769,13432145.17715,0
