open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1719100800000,3494.25,3503.98,3493.33,3501.80,11365.875,1719102599999,39773736.33318,24014,6397.191,22384695.70301,0
1719102600000,3501.79,3510.50,3501.40,3506.39,27642.508,1719104399999,96962036.68504,33808,14167.677,49692952.65844,0
1719104400000,3506.39,3509.97,3499.84,3504.09,17928.830,1719106199999,62846484.42314,27789,6892.474,24160188.02243,0
1719106200000,3504.10,3508.01,3503.42,3506.67,7047.745,1719107999999,24710051.22917,15204,4033.222,14140716.97398,0
1719108000000,3506.67,3508.21,3504.10,3504.10,10307.999,1719109799999,36137172.36030,13576,3709.483,13005271.81126,0
1719109800000,3504.11,3512.04,3502.50,3512.03,8964.231,1719111599999,31431998.13746,16046,5969.378,20933977.37739,0
1719111600000,3512.04,3516.60,3507.66,3510.12,23379.502,1719113399999,82110153.24474,29809,11870.040,41694357.50193,0
1719113400000,3510.12,3517.48,3509.70,3517.23,12310.317,1719115199999,43266214.65749,18437,6648.210,23365727.72543,0
1719115200000,3517.24,3519.70,3514.18,3514.23,21501.359,1719116999999,75624516.02443,26599,9664.690,33994004.95807,0
1719117000000,3514.23,3515.61,3510.50,3512.72,9993.193,1719118799999,35109013.67428,19007,4104.455,14420077.63542,0
1719118800000,3512.72,3516.78,3508.25,3509.37,13276.827,1719120599999,46633334.73980,18062,5449.355,19143191.14529,0
1719120600000,3509.37,3511.00,3506.40,3508.22,12470.837,1719122399999,43757545.35867,17289,5235.765,18372053.33778,0
1719122400000,3508.21,3510.42,3507.07,3507.54,8254.693,1719124199999,28964387.84516,12692,3974.547,13946595.78151,0
1719124200000,3507.54,3511.08,3505.39,3505.98,7622.670,1719125999999,26738078.77101,12680,4100.408,14384530.39290,0
1719126000000,3505.99,3512.96,3505.40,3510.86,10508.565,1719127799999,36888329.56740,16302,5748.792,20179033.95561,0
1719127800000,3510.87,3511.32,3506.56,3510.79,6982.268,1719129599999,24500687.93835,12205,3668.856,12873836.77531,0
1719129600000,3510.80,3511.71,3505.29,3505.84,11229.177,1719131399999,39390932.71820,20114,5654.525,19837011.65160,0
1719131400000,3505.84,3507.39,3502.39,3505.53,15949.506,1719133199999,55895732.94783,24096,7728.081,27084916.93767,0
1719133200000,3505.52,3506.67,3503.16,3504.54,15476.032,1719134999999,54241974.64806,19447,8855.792,31038481.24265,0
1719135000000,3504.53,3504.53,3497.01,3501.19,31658.188,1719136799999,110783767.47828,33583,13394.854,46874691.37724,0
1719136800000,3501.20,3501.20,3494.04,3496.97,19738.881,1719138599999,69016335.79030,25988,10036.729,35093718.59509,0
1719138600000,3496.97,3497.21,3490.06,3492.02,16345.769,1719140399999,57100742.24935,24745,7568.742,26439799.49755,0
1719140400000,3492.02,3496.05,3486.06,3493.52,26547.704,1719142199999,92700466.06052,35013,12477.957,43577350.01389,0
1719142200000,3493.51,3497.33,3491.11,3496.89,12182.498,1719143999999,42573286.47789,18395,6970.273,24359668.21412,0
1719144000000,3496.88,3498.93,3494.63,3498.74,9045.821,1719145799999,31632613.54190,17060,5688.942,19894412.31253,0
1719145800000,3498.73,3502.55,3497.46,3498.83,19488.086,1719147599999,68205662.12573,23217,8894.154,31130222.06401,0
1719147600000,3498.84,3503.09,3493.08,3495.44,43374.063,1719149399999,151715194.01944,36241,21456.101,75055829.40093,0
1719149400000,3495.45,3501.49,3492.00,3496.40,44809.901,1719151199999,156626634.95137,39853,21494.679,75141986.51169,0
