open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1703289600000,2326.54,2332.75,2318.60,2322.55,52637.924,1703291399999,122454797.91403,47483,21681.479,50448130.40701,0
1703291400000,2322.54,2326.30,2310.42,2310.49,54891.655,1703293199999,127239721.45931,48695,27120.997,62868035.19404,0
1703293200000,2310.49,2315.52,2305.10,2305.82,48022.637,1703294999999,110949388.50594,46158,25753.637,59499549.29010,0
1703295000000,2305.81,2310.49,2292.72,2293.74,74138.597,1703296799999,170654771.53255,63571,31870.564,73380339.51809,0
1703296800000,2293.73,2302.00,2284.13,2292.69,93084.778,1703298599999,213624355.32392,79154,40929.664,93959791.27351,0
1703298600000,2292.69,2295.00,2272.54,2276.64,126153.938,1703300399999,288024647.30975,97907,48369.702,110458662.79363,0
1703300400000,2276.65,2281.91,2265.00,2278.00,86537.822,1703302199999,196970008.75389,69480,44524.428,101372317.00066,0
1703302200000,2278.00,2281.31,2268.41,2274.28,53801.358,1703303999999,122390847.05245,52383,25783.153,58660681.04239,0
1703304000000,2274.29,2279.96,2266.46,2278.68,85460.067,1703305799999,194290750.07585,69009,47569.322,108157687.93237,0
1703305800000,2278.67,2285.71,2275.00,2284.20,43728.451,1703307599999,99728042.64577,40688,23332.840,53216317.90600,0
1703307600000,2284.21,2289.50,2282.38,2288.50,38565.692,1703309399999,88183529.26322,36215,21159.816,48384630.30650,0
1703309400000,2288.50,2292.75,2287.72,2292.34,25419.538,1703311199999,58215919.90655,25520,13167.853,30158176.62530,0
1703311200000,2292.34,2292.50,2285.53,2290.10,25913.468,1703312999999,59315669.73972,25276,10762.002,24632704.00306,0
1703313000000,2290.10,2295.96,2289.27,2294.26,31318.760,1703314799999,71824743.89334,28244,16429.612,37679824.31161,0
1703314800000,2294.25,2296.97,2286.48,2289.70,38244.799,1703316599999,87629189.42971,30983,14276.072,32714609.06118,0
