open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1721692800000,3438.09,3453.40,3434.00,3444.32,36858.069,1721694599999,126955323.96934,58456,20848.685,71807456.30676,0
1721694600000,3444.32,3479.67,3443.80,3467.88,72326.642,1721696399999,250572753.71686,90586,45340.795,157054226.25786,0
1721696400000,3467.88,3489.47,3458.00,3472.95,65447.197,1721698199999,227605936.58828,102051,31036.048,107951407.22706,0
1721698200000,3472.95,3483.74,3468.68,3479.90,32617.405,1721699999999,113406855.20501,57757,17815.132,61951998.73999,0
1721700000000,3479.91,3488.92,3466.75,3473.11,56388.478,1721701799999,196085826.15492,66727,25763.694,89570383.49637,0
1721701800000,3473.11,3489.86,3472.27,3485.76,37154.539,1721703599999,129422883.79052,56790,20422.262,71138914.18162,0
1721703600000,3485.76,3487.50,3471.39,3475.12,19598.584,1721705399999,68171460.48240,38356,7375.418,25658222.61246,0
1721705400000,3475.12,3479.25,3470.28,3473.57,14701.792,1721707199999,51079604.55984,32332,8284.534,28785998.37659,0
1721707200000,3473.57,3482.53,3466.79,3469.83,24583.858,1721708999999,85438645.49535,41303,10352.993,35988211.95707,0
1721709000000,3469.84,3469.84,3445.13,3453.62,70375.350,1721710799999,243220757.14172,100632,29784.092,102940016.35680,0
1721710800000,3453.62,3458.33,3425.50,3434.39,84498.962,1721712599999,290652511.57530,121188,40142.028,138097485.28563,0
1721712600000,3434.38,3440.37,3423.36,3440.37,48609.017,1721714399999,166833459.48792,80965,25566.652,87759460.72198,0
1721714400000,3440.37,3460.95,3437.28,3449.10,68687.782,1721716199999,237106351.75324,86845,39441.514,136137508.19620,0
1721716200000,3449.09,3449.50,3430.00,3444.21,41068.840,1721717999999,141271995.60574,65476,17657.908,60760588.18946,0
1721718000000,3444.21,3456.00,3438.08,3441.97,31030.714,1721719799999,106957463.20449,54929,14235.725,49090777.62653,0
1721719800000,3441.96,3454.81,3439.23,3453.30,25555.609,1721721599999,88168036.80062,49120,13017.220,44911770.76171,0
1721721600000,3453.30,3491.94,3450.78,3489.86,78391.062,1721723399999,272168736.14876,102170,45647.415,158523195.44520,0
1721723400000,3489.86,3532.93,3489.53,3519.99,195515.812,1721725199999,687001743.03305,226851,103747.361,364541365.61996,0
1721725200000,3520.00,3534.22,3510.70,3528.49,94145.999,1721726999999,331801802.38628,129090,44353.532,156365741.98272,0
1721727000000,3528.49,3540.94,3520.26,3521.12,85258.825,1721728799999,300985752.44995,114451,40055.816,141440023.87675,0
1721728800000,3521.12,3529.80,3510.50,3525.34,61922.835,1721730599999,218011721.28113,97403,31929.913,112441930.20704,0
1721730600000,3525.34,3527.85,3504.00,3504.92,44194.217,1721732399999,155374739.95780,70352,19244.452,67681717.68781,0
