open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1727049600000,2579.95,2581.34,2538.24,2566.05,129755.228,1727051399999,331927581.46731,139530,60369.963,154420723.46282,0
1727051400000,2566.05,2604.50,2560.78,2593.01,115242.295,1727053199999,298266219.06636,133943,63949.043,165502454.31644,0
1727053200000,2593.01,2613.21,2588.19,2605.29,108003.820,1727054999999,281151013.83315,141123,56627.621,147443259.50867,0
1727055000000,2605.29,2619.90,2604.09,2612.56,72461.962,1727056799999,189210816.63524,103438,39805.540,103957688.09425,0
1727056800000,2612.56,2625.89,2607.66,2611.26,69259.587,1727058599999,181225361.78133,91728,35826.221,93754123.63467,0
1727058600000,2611.26,2642.52,2610.50,2634.48,145983.461,1727060399999,383925857.12307,142321,82422.586,216772696.20690,0
1727060400000,2634.48,2686.50,2631.00,2679.33,249424.994,1727062199999,664113457.95538,223138,143703.471,382563259.42494,0
1727062200000,2679.33,2683.00,2668.22,2675.37,137852.997,1727063999999,368830031.71908,130992,67629.080,180964393.33515,0
1727064000000,2675.37,2680.00,2660.68,2661.47,76431.303,1727065799999,204316931.05271,95095,33561.256,89744285.90024,0
1727065800000,2661.47,2667.43,2655.47,2663.00,66253.412,1727067599999,176317793.47954,83370,32635.424,86852209.43812,0
1727067600000,2663.00,2663.99,2651.59,2653.98,33775.176,1727069399999,89714397.66593,52027,15629.586,41517245.81006,0
1727069400000,2653.99,2665.13,2653.27,2656.31,45750.280,1727071199999,121649268.32194,50811,22517.939,59885767.28402,0
1727071200000,2656.31,2660.90,2650.22,2655.52,32346.187,1727072999999,85869211.73343,54993,17235.241,45759773.60545,0
1727073000000,2655.53,2660.66,2652.72,2653.73,26890.020,1727074799999,71436728.15690,40062,14341.920,38106019.16436,0
1727074800000,2653.73,2655.20,2635.00,2641.86,72669.423,1727076599999,192140184.34201,84231,33797.137,89349910.43409,0
1727076600000,2641.85,2648.20,2635.45,2645.28,42187.224,1727078399999,111444206.31789,57869,22145.817,58525597.08935,0
1727078400000,2645.27,2647.39,2635.60,2644.00,52127.841,1727080199999,137717270.74412,71888,25179.274,66527229.79196,0
1727080200000,2644.00,2645.75,2636.81,2644.54,27427.766,1727081999999,72446684.06560,52170,13566.408,35833810.60626,0
1727082000000,2644.55,2658.84,2644.55,2656.17,50358.705,1727083799999,133532077.67789,60228,26786.533,71026996.40379,0
1727083800000,2656.17,2661.92,2651.35,2655.04,37107.690,1727085599999,98572945.57403,56277,19665.188,52254305.28202,0
1727085600000,2655.04,2656.39,2632.01,2647.45,61371.542,1727087399999,162221460.34894,80906,27575.708,72911266.16602,0
1727087400000,2647.46,2651.95,2646.50,2648.08,19274.733,1727089199999,51064449.46382,35102,8505.055,22533253.29080,0
1727089200000,2648.07,2649.00,2636.27,2643.57,35026.112,1727090999999,92541620.66406,52976,16010.768,42300895.27863,0
1727091000000,2643.58,2651.77,2640.69,2645.11,21910.747,1727092799999,57986242.00121,40919,11937.036,31595461.48234,0
1727092800000,2645.11,2651.60,2638.59,2650.00,33040.850,1727094599999,87376989.29699,49022,16009.612,42338173.91909,0
1727094600000,2649.99,2650.62,2640.08,2645.00,31201.807,1727096399999,82510086.88421,49443,11827.728,31277730.93404,0
1727096400000,2645.01,2650.72,2641.28,2647.30,27560.890,1727098199999,72924606.55631,52173,15110.713,39986292.06436,0
1727098200000,2647.36,2650.75,2630.04,2642.00,98282.432,1727099999999,259560876.57634,138073,44542.447,117657354.64506,0
1727100000000,2641.99,2672.39,2639.52,2665.54,141773.592,1727101799999,377111470.13586,157930,75779.632,201577008.39720,0
1727101800000,2665.54,2668.60,2640.70,2659.19,108907.457,1727103599999,288879975.52408,136989,52483.564,139227407.37027,0
1727103600000,2659.19,2671.37,2647.06,2667.89,72773.668,1727105399999,193489390.94238,97147,40138.388,106742326.43086,0
1727105400000,2667.93,2685.00,2664.79,2674.07,92223.362,1727107199999,246771452.31057,112899,45923.216,122884576.45647,0
1727107200000,2674.07,2702.00,2671.62,2682.81,181955.963,1727108999999,488957437.58445,202746,96021.875,258102040.97611,0
1727109000000,2682.81,2683.99,2659.00,2662.27,85252.359,1727110799999,227610854.38602,110661,39850.645,106389287.42806,0
1727110800000,2662.27,2667.60,2656.41,2662.75,49380.673,1727112599999,131443582.77933,80798,25142.739,66930951.38266,0
1727112600000,2662.75,2669.74,2659.37,2667.27,23927.282,1727114399999,63766189.77010,49121,13144.231,35029568.92895,0
1727114400000,2667.28,2675.89,2663.00,2672.92,31873.156,1727116199999,85137749.37016,53646,16823.419,44939428.25625,0
1727116200000,2672.91,2691.24,2672.06,2678.38,52013.131,1727117999999,139519470.02595,70632,26417.997,70866134.61329,0
1727118000000,2678.38,2681.81,2672.68,2677.46,29942.116,1727119799999,80142781.88960,53131,15020.150,40203291.54288,0
1727119800000,2677.46,2681.06,2667.13,2671.80,32689.715,1727121599999,87415344.27515,59337,13955.252,37318568.37990,0
1727121600000,2671.80,2681.52,2666.93,2668.60,27202.970,1727123399999,72712849.75854,46124,12232.494,32701513.23493,0
1727123400000,2668.61,2672.89,2658.88,2660.26,25362.071,1727125199999,67623233.01543,42192,9761.294,26041869.87492,0
1727125200000,2660.04,2665.58,2643.02,2657.29,73087.030,1727126999999,194011673.21166,82189,36253.866,96253092.02471,0
1727127000000,2657.29,2661.00,2650.58,2655.11,27330.697,1727128799999,72568199.47349,44910,15249.408,40488187.55256,0
