open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1711152000000,3338.99,3339.20,3317.55,3326.42,40917.749,1711153799999,136109622.33082,67112,19135.022,63653170.26705,0
1711153800000,3326.42,3334.01,3320.08,3321.00,26437.417,1711155599999,87922744.60933,48464,12518.856,41639801.74811,0
1711155600000,3320.99,3344.74,3320.07,3342.26,30193.164,1711157399999,100724299.42235,51376,15875.109,52962548.42244,0
1711157400000,3342.27,3355.90,3333.82,3348.98,45349.391,1711159199999,151831626.41386,81364,23935.932,80137031.77007,0
1711159200000,3348.98,3364.44,3332.97,3338.52,51430.941,1711160999999,172196683.21009,86388,23321.049,78100634.33630,0
1711161000000,3338.52,3342.67,3330.00,3340.57,36077.540,1711162799999,120351541.29866,55842,15716.804,52436597.94293,0
1711162800000,3340.56,3341.66,3298.77,3302.02,62158.383,1711164599999,206177558.85252,93491,25978.110,86160068.91917,0
1711164600000,3302.00,3309.99,3271.38,3305.32,85104.121,1711166399999,279975000.79380,126624,40679.340,133869167.82929,0
1711166400000,3305.33,3333.12,3300.28,3328.06,56889.478,1711168199999,188863732.70070,92197,32278.932,107172034.95327,0
1711168200000,3328.05,3339.99,3325.06,3330.00,35537.480,1711169999999,118462712.30056,62005,19900.932,66342503.82028,0
1711170000000,3330.00,3339.28,3317.32,3327.60,25232.791,1711171799999,83960993.14602,46947,11815.491,39324160.75200,0
1711171800000,3327.59,3335.57,3317.27,3333.94,22573.544,1711173599999,75121380.21852,47284,10996.169,36602249.08460,0
1711173600000,3333.94,3348.00,3323.34,3344.22,34430.515,1711175399999,114819186.04580,51035,18531.595,61816674.31531,0
1711175400000,3344.21,3349.76,3337.83,3343.65,28260.848,1711177199999,94513542.84454,50835,14272.031,47730475.93293,0
1711177200000,3343.65,3386.81,3343.33,3370.63,95243.683,1711178999999,320881648.28191,135277,53378.396,179829508.63478,0
1711179000000,3370.62,3378.00,3362.09,3367.61,31745.187,1711180799999,106954823.40574,58712,15332.779,51665749.12669,0
1711180800000,3367.61,3379.79,3352.37,3352.70,47475.743,1711182599999,159787243.79947,70815,20591.142,69313562.15353,0
1711182600000,3352.69,3356.62,3341.71,3353.32,53905.485,1711184399999,180548040.72465,78118,23104.245,77385472.39580,0
1711184400000,3353.33,3356.75,3330.08,3343.63,42439.617,1711186199999,141709869.57445,70202,17838.372,59565111.11565,0
1711186200000,3343.63,3360.35,3335.68,3355.96,38047.827,1711187999999,127290475.46632,58984,22104.441,73970004.13204,0
1711188000000,3355.96,3373.24,3354.00,3370.82,47886.501,1711189799999,161086994.28345,75574,28372.551,95441765.62244,0
1711189800000,3370.81,3385.00,3338.02,3349.60,62093.972,1711191599999,208603895.36448,94996,28979.503,97403472.05834,0
1711191600000,3349.59,3370.91,3344.36,3367.76,31233.019,1711193399999,104866031.32341,53712,15996.619,53723868.86855,0
1711193400000,3367.76,3368.58,3356.60,3367.32,23561.068,1711195199999,79214422.95819,42489,12400.660,41693236.54287,0
1711195200000,3367.32,3376.29,3361.52,3374.07,36869.306,1711196999999,124245166.68982,52644,19560.602,65908266.84714,0
1711197000000,3374.07,3384.99,3366.78,3371.26,37969.503,1711198799999,128218837.59795,56846,19469.864,65762925.35942,0
1711198800000,3371.25,3377.06,3358.75,3360.47,40004.622,1711200599999,134651257.98691,64182,15317.931,51568223.28363,0
1711200600000,3360.47,3373.00,3346.10,3367.60,56542.481,1711202399999,189956035.01422,81358,26685.128,89673320.50924,0
1711202400000,3367.61,3383.12,3354.53,3380.64,34068.796,1711204199999,114800089.03668,63917,18011.029,60708667.52400,0
1711204200000,3380.62,3425.34,3379.33,3416.92,143934.791,1711205999999,490500045.42791,177939,79854.248,272067574.86134,0
1711206000000,3416.91,3425.93,3384.49,3389.13,89952.804,1711207799999,306143828.99101,119843,41664.993,141816236.48141,0
1711207800000,3389.13,3411.68,3385.81,3407.57,36319.202,1711209599999,123438571.60524,69049,21293.491,72374424.74651,0
1711209600000,3407.58,3411.06,3386.09,3408.69,41036.756,1711211399999,139524679.67782,72755,20383.921,69319039.34347,0
1711211400000,3408.69,3438.00,3408.29,3417.27,69455.388,1711213199999,237772436.54713,106008,36044.731,123404490.93669,0
1711213200000,3417.28,3420.00,3398.84,3410.52,32200.546,1711214999999,109761643.94457,64341,16328.440,55652605.88795,0
1711215000000,3410.52,3425.35,3402.01,3406.59,32606.923,1711216799999,111296783.34367,63095,16020.201,54682716.15928,0
1711216800000,3406.41,3413.95,3403.00,3406.33,15565.628,1711218599999,53055475.90852,35103,7790.528,26556278.69951,0
1711218600000,3406.32,3416.27,3398.36,3407.76,21438.321,1711220399999,73031541.41059,42057,9887.734,33688865.72302,0
1711220400000,3407.77,3414.46,3399.00,3402.18,20139.427,1711222199999,68598423.78727,44120,9936.094,33845908.55029,0
1711222200000,3402.19,3405.35,3386.24,3388.67,33431.497,1711223999999,113462478.92989,56449,15314.936,51978995.74636,0
1711224000000,3388.66,3395.92,3382.10,3393.09,24256.755,1711225799999,82216942.94476,45266,12793.320,43366157.42093,0
1711225800000,3393.09,3397.00,3385.40,3389.35,15543.606,1711227599999,52715291.50716,36932,8250.673,27983166.89728,0
1711227600000,3389.35,3389.90,3373.19,3376.75,27954.740,1711229399999,94527545.63748,45788,12798.280,43278417.05793,0
1711229400000,3376.76,3400.70,3374.00,3390.08,18869.697,1711231199999,63963748.13868,38196,10628.121,36023679.04761,0
1711231200000,3390.09,3395.34,3376.92,3392.59,24326.921,1711232999999,82354596.16620,45137,13518.470,45762302.81103,0
1711233000000,3392.59,3403.79,3379.13,3380.00,37668.810,1711234799999,127653508.66165,61425,17159.074,58147667.67778,0
1711234800000,3380.00,3381.56,3358.61,3361.92,55095.997,1711236599999,185621775.02678,80652,22416.232,75547573.82139,0
1711236600000,3361.92,3365.39,3328.00,3330.96,65865.914,1711238399999,220434892.69633,95018,25034.669,83814725.64174,0
