open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1708646400000,2972.80,2986.27,2971.44,2984.16,37063.003,1708648199999,110398404.46637,54146,21303.543,63464429.01309,0
1708648200000,2984.15,2996.00,2984.15,2991.36,30663.077,1708649999999,91697898.33110,56087,16227.630,48526451.46217,0
1708650000000,2991.36,2995.29,2976.50,2982.50,39865.452,1708651799999,119033665.57999,58672,14861.857,44377314.83500,0
1708651800000,2982.49,2994.32,2978.77,2980.82,33779.802,1708653599999,100877746.50205,60251,17688.247,52822400.47239,0
1708653600000,2980.82,2993.00,2976.41,2977.00,34960.447,1708655399999,104391170.95408,59134,15204.510,45404711.39532,0
1708655400000,2976.99,2979.16,2937.00,2946.27,145655.389,1708657199999,430495654.67891,164776,62707.951,185329854.48796,0
1708657200000,2946.28,2953.67,2934.67,2948.68,89866.003,1708658999999,264607973.83599,127190,46483.212,136879829.25932,0
1708659000000,2948.68,2958.48,2947.56,2956.97,37760.266,1708660799999,111528028.08451,59448,21801.832,64396095.84824,0
1708660800000,2956.97,2963.21,2948.88,2961.72,44471.473,1708662599999,131500680.85594,66642,23891.017,70652379.32353,0
1708662600000,2961.73,2964.07,2950.73,2954.46,37600.024,1708664399999,111157905.60878,55784,17285.164,51093697.00743,0
1708664400000,2954.47,2963.77,2950.47,2958.96,26153.683,1708666199999,77336366.15472,42966,13323.206,39403038.20052,0
1708666200000,2958.96,2963.45,2953.61,2960.90,26310.632,1708667999999,77845816.37799,41084,13005.975,38482603.40057,0
1708668000000,2960.90,2965.99,2958.48,2958.48,28316.254,1708669799999,83889472.59758,43958,15528.383,46009112.72846,0
1708669800000,2958.49,2969.82,2958.48,2966.14,26612.608,1708671599999,78912926.98692,46500,15330.660,45459336.78406,0
1708671600000,2966.13,2966.56,2940.36,2944.51,76851.472,1708673399999,226919797.20978,87968,32211.207,95111420.68797,0
1708673400000,2944.51,2944.51,2923.17,2935.00,149328.277,1708675199999,438127304.14933,166626,70095.541,205685640.61312,0
1708675200000,2935.00,2948.00,2932.48,2934.58,79475.794,1708676999999,233644994.04623,99548,37992.376,111704382.31357,0
1708677000000,2934.57,2936.06,2913.28,2925.58,110616.359,1708678799999,323379699.13881,147807,52146.621,152473710.05859,0
1708678800000,2925.58,2939.40,2918.02,2931.14,59939.077,1708680599999,175573637.32968,87938,30278.899,88689123.61196,0
1708680600000,2931.14,2940.95,2931.13,2940.09,34133.632,1708682399999,100219779.19009,57288,18691.887,54881748.50114,0
1708682400000,2940.09,2947.84,2933.20,2943.83,45596.282,1708684199999,134094288.59082,60479,23367.331,68729657.05213,0
1708684200000,2943.84,2947.50,2938.98,2942.82,23764.315,1708685999999,69932081.36655,41736,10620.933,31258343.03138,0
1708686000000,2942.83,2950.05,2939.81,2940.24,26436.929,1708687799999,77841510.52049,44248,12342.306,36346768.81536,0
1708687800000,2940.24,2948.94,2937.97,2945.30,26569.247,1708689599999,78219858.68980,42617,13451.727,39599982.99137,0
1708689600000,2945.30,2946.01,2927.84,2928.63,43423.851,1708691399999,127515673.37025,68924,19151.054,56236327.40781,0
1708691400000,2928.62,2939.73,2925.16,2930.22,43104.599,1708693199999,126391975.65484,66567,22557.916,66149060.99023,0
1708693200000,2930.23,2940.00,2928.51,2935.33,28068.235,1708694999999,82367646.42237,47959,14836.709,43545522.20744,0
1708695000000,2935.33,2945.25,2933.65,2943.58,40868.345,1708696799999,120175455.05742,62816,21332.037,62726651.83287,0
1708696800000,2943.58,2964.10,2933.70,2952.92,97246.854,1708698599999,286998877.02011,126727,49993.119,147540600.14018,0
1708698600000,2952.93,2962.00,2932.21,2950.03,132171.664,1708700399999,389382014.90510,180272,67268.028,198192135.26723,0
1708700400000,2950.04,2951.33,2918.27,2920.00,123159.811,1708702199999,361004034.52303,178278,55564.921,162882766.94486,0
1708702200000,2919.99,2934.51,2913.28,2916.80,100138.626,1708703999999,292759636.60686,151375,46529.580,136037930.15759,0
1708704000000,2916.81,2924.00,2906.62,2923.51,143999.093,1708705799999,419644368.95427,202286,70877.394,206569236.91753,0
1708705800000,2923.52,2940.00,2918.46,2935.42,64868.332,1708707599999,190091566.82810,103342,33119.948,97046111.84703,0
1708707600000,2935.42,2940.97,2931.43,2932.72,31998.312,1708709399999,93958053.45207,61145,13769.022,40432651.09059,0
1708709400000,2932.75,2948.91,2932.60,2946.52,41656.547,1708711199999,122640427.33308,68225,23030.861,67805581.27121,0
1708711200000,2946.52,2949.47,2934.24,2947.31,37702.848,1708712999999,110922815.16438,59618,18306.549,53872467.54223,0
1708713000000,2947.33,2951.60,2943.23,2946.29,19169.497,1708714799999,56488638.83139,37193,9292.083,27384530.74857,0
1708714800000,2946.29,2953.62,2940.11,2948.41,27657.227,1708716599999,81484030.41103,43609,13540.437,39901680.49608,0
1708716600000,2948.42,2952.65,2942.07,2947.00,22502.598,1708718399999,66319168.16872,40798,10635.810,31349779.01601,0
1708718400000,2947.00,2950.00,2939.18,2941.25,17857.008,1708720199999,52581420.85126,31785,8204.677,24164075.89320,0
1708720200000,2941.25,2955.41,2941.24,2952.44,25033.250,1708721999999,73835339.74898,39173,13487.318,39781979.09880,0
1708722000000,2952.49,2954.98,2945.12,2947.01,16885.535,1708723799999,49811948.12597,30186,6802.548,20067078.08718,0
1708723800000,2947.01,2950.44,2941.94,2943.71,11667.842,1708725599999,34375933.55025,25845,5119.991,15085587.38638,0
1708725600000,2943.72,2948.52,2936.78,2941.07,22096.970,1708727399999,65005985.31468,41630,10232.056,30103047.99059,0
1708727400000,2941.06,2941.07,2920.94,2923.64,38989.224,1708729199999,114191859.30289,58241,18081.098,52951873.84475,0
1708729200000,2923.65,2925.52,2907.00,2924.73,69847.961,1708730999999,203656968.96193,88081,35851.683,104547286.30917,0
1708731000000,2924.77,2931.44,2922.01,2923.35,29380.756,1708732799999,85990440.51258,42497,14666.640,42926376.41241,0
