open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1703376000000,2309.86,2312.00,2299.50,2303.39,42845.726,1703377799999,98766694.92462,42562,21740.983,50118426.81757,0
1703377800000,2303.39,2307.24,2295.60,2305.03,39182.444,1703379599999,90169799.35307,40318,19422.110,44699681.63302,0
1703379600000,2305.03,2322.21,2304.74,2316.44,53632.552,1703381399999,124120633.30302,56332,29679.161,68691841.29390,0
1703381400000,2316.45,2319.53,2306.00,2309.48,38599.162,1703383199999,89234705.95070,40741,17047.347,39409647.86236,0
1703383200000,2309.49,2328.79,2307.38,2327.15,74533.905,1703384999999,172963202.11133,66710,45719.836,106099777.58953,0
1703385000000,2327.15,2327.47,2314.02,2321.67,43663.730,1703386799999,101279476.75898,42105,21682.887,50295998.79278,0
1703386800000,2321.67,2326.52,2316.10,2318.76,32403.291,1703388599999,75211527.32191,33063,15010.739,34842635.57260,0
1703388600000,2318.75,2320.94,2314.70,2318.57,20324.054,1703390399999,47091905.91860,22122,9982.596,23130099.32935,0
1703390400000,2318.58,2323.83,2316.00,2316.01,27738.228,1703392199999,64368959.86146,28616,13091.755,30382539.27762,0
1703392200000,2316.01,2317.86,2304.30,2310.40,54319.474,1703393999999,125463222.34702,50950,23086.190,53321833.18673,0
1703394000000,2310.39,2313.66,2303.15,2303.78,30537.109,1703395799999,70475085.06270,31482,11916.586,27507802.90070,0
1703395800000,2303.78,2304.40,2275.70,2287.67,171526.380,1703397599999,392345303.32794,136274,78002.374,178408631.56963,0
1703397600000,2287.64,2291.56,2279.66,2287.22,61163.623,1703399399999,139821783.97161,57535,32266.800,73769267.81085,0
1703399400000,2287.23,2294.11,2285.00,2292.76,39581.458,1703401199999,90634899.47712,38344,21022.442,48135965.60447,0
1703401200000,2292.76,2297.38,2289.20,2296.16,29640.367,1703402999999,67998922.09972,31092,15841.076,36341900.07207,0
1703403000000,2296.16,2297.65,2289.73,2296.11,24437.852,1703404799999,56064283.84345,28154,12745.286,29242036.93790,0
1703404800000,2296.12,2296.93,2287.55,2292.05,23235.800,1703406599999,53250499.64742,27727,9081.465,20811409.72561,0
1703406600000,2292.04,2296.00,2290.28,2294.16,15380.648,1703408399999,35277317.73382,19808,7398.509,16969710.32214,0
1703408400000,2294.17,2297.92,2290.00,2294.88,18324.282,1703410199999,42030043.90539,24796,8796.267,20178202.01426,0
1703410200000,2294.87,2300.25,2291.35,2297.95,28941.665,1703411999999,66481648.65887,31762,15967.738,36681879.26991,0
1703412000000,2297.94,2299.56,2283.88,2288.24,56747.597,1703413799999,130019696.84681,51436,25840.465,59196250.68637,0
1703413800000,2288.17,2291.69,2275.00,2289.98,80784.803,1703415599999,184437354.66811,70996,35279.455,80578503.44883,0
1703415600000,2289.98,2293.00,2283.92,2291.69,28404.468,1703417399999,65013013.04781,30559,13353.897,30563007.34206,0
1703417400000,2291.71,2292.30,2285.90,2290.56,20514.754,1703419199999,46957602.42523,23454,9263.446,21206773.62286,0
1703419200000,2290.56,2295.03,2287.73,2288.43,36672.134,1703420999999,84041623.00647,30567,18930.732,43385509.71709,0
1703421000000,2288.43,2295.48,2287.48,2294.54,21917.501,1703422799999,50233148.37191,21575,10774.238,24691016.44159,0
1703422800000,2294.54,2296.99,2292.09,2296.24,16959.486,1703424599999,38918162.07824,21308,7910.051,18151933.55776,0
1703424600000,2296.23,2298.49,2292.51,2296.95,17794.324,1703426399999,40852956.99351,22261,8044.168,18469272.91567,0
1703426400000,2296.95,2309.13,2296.41,2304.11,55384.887,1703428199999,127582894.27392,54100,31856.283,73381116.08118,0
1703428200000,2304.11,2304.69,2285.76,2290.85,58513.522,1703429999999,134235809.16038,57992,24873.781,57042987.18561,0
1703430000000,2290.86,2301.45,2290.17,2296.34,31500.068,1703431799999,72351734.27123,38890,16308.848,37459729.15321,0
1703431800000,2296.35,2298.20,2292.04,2294.60,20943.268,1703433599999,48077099.33027,24186,8217.996,18866980.20523,0
1703433600000,2294.61,2297.00,2287.64,2296.06,50689.007,1703435399999,116188632.93489,39721,25041.425,57401700.92626,0
1703435400000,2296.07,2299.47,2294.00,2295.43,26040.790,1703437199999,59800150.77730,23239,14427.113,33128378.03911,0
1703437200000,2295.44,2298.32,2290.00,2293.21,23409.916,1703438999999,53711867.21008,27372,11149.713,25583517.55563,0
1703439000000,2293.21,2295.19,2289.38,2291.40,17627.073,1703440799999,40396978.29541,21387,9000.472,20628335.94978,0
1703440800000,2291.40,2294.18,2290.00,2290.00,20509.199,1703442599999,46989629.63344,17188,8741.495,20030465.85210,0
1703442600000,2290.00,2293.19,2283.09,2293.00,44382.169,1703444399999,101506909.96873,36123,20458.567,46799261.97050,0
1703444400000,2293.00,2295.00,2291.05,2294.69,11819.978,1703446199999,27108744.96396,16098,6053.754,13883829.60458,0
1703446200000,2294.68,2294.96,2284.79,2290.23,22986.951,1703447999999,52577682.84925,25816,11023.167,25214514.53582,0
1703448000000,2290.24,2290.85,2281.76,2283.55,20972.305,1703449799999,47945965.53954,23703,9375.015,21435439.34084,0
1703449800000,2283.55,2284.76,2270.97,2279.99,73044.280,1703451599999,166326946.67401,64557,32375.547,73729385.12076,0
1703451600000,2280.16,2284.62,2277.00,2279.12,22940.499,1703453399999,52332381.12536,28976,12209.410,27852271.00652,0
1703453400000,2279.12,2282.83,2275.10,2278.92,21760.970,1703455199999,49597925.96555,28561,11667.139,26591914.70272,0
1703455200000,2278.91,2281.65,2241.20,2262.00,233041.221,1703456999999,526393771.59991,163046,108248.136,244494356.03300,0
1703457000000,2262.00,2265.95,2248.06,2260.98,68839.214,1703458799999,155388547.41037,69621,34585.571,78072841.79320,0
1703458800000,2260.98,2271.70,2256.57,2269.74,51948.943,1703460599999,117699235.44974,53901,23915.713,54177459.48891,0
1703460600000,2269.74,2272.75,2263.54,2265.43,35988.905,1703462399999,81661209.03550,35120,17265.276,39178680.40433,0
