open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1711238400000,3330.96,3355.48,3329.02,3351.65,43051.661,1711240199999,143994530.00022,81605,24389.349,81567696.83682,0
1711240200000,3351.65,3361.28,3349.01,3359.45,19422.612,1711241999999,65204783.09689,45360,10984.421,36876578.83236,0
1711242000000,3359.45,3370.91,3349.00,3363.06,24318.016,1711243799999,81695090.98748,48464,12294.227,41317001.92668,0
1711243800000,3363.05,3363.61,3348.60,3353.35,16985.747,1711245599999,56983230.88589,39589,7413.064,24867635.31981,0
1711245600000,3353.35,3359.00,3342.32,3347.07,20579.222,1711247399999,68919172.48017,45013,9784.213,32766669.78618,0
1711247400000,3347.06,3351.21,3340.40,3346.02,18370.543,1711249199999,61444422.99766,40620,8217.482,27488368.77072,0
1711249200000,3346.02,3346.18,3307.68,3325.43,71613.785,1711250999999,238017358.28565,108635,31913.279,106056902.55215,0
1711251000000,3325.44,3327.72,3310.32,3310.68,38819.122,1711252799999,128876220.57295,61967,18936.419,62877254.87231,0
1711252800000,3310.69,3325.00,3302.24,3306.46,47088.223,1711254599999,155998042.96317,73763,23490.462,77853472.96553,0
1711254600000,3306.30,3328.00,3301.46,3325.89,39595.254,1711256399999,131264698.36025,70044,25627.945,84979493.25457,0
1711256400000,3325.89,3333.72,3318.60,3330.16,24749.715,1711258199999,82324902.38480,45819,13932.505,46360523.94125,0
1711258200000,3330.16,3336.93,3327.24,3327.48,20226.288,1711259999999,67414886.87186,41694,9819.937,32734576.45974,0
1711260000000,3327.48,3337.85,3324.19,3329.33,19851.425,1711261799999,66103394.80980,40228,9555.585,31827074.98847,0
1711261800000,3329.34,3330.85,3317.40,3328.87,18512.942,1711263599999,61529190.11757,41165,8531.203,28354891.08304,0
1711263600000,3328.88,3330.00,3321.53,3326.34,11710.806,1711265399999,38950105.73611,35140,5734.220,19072274.65754,0
1711265400000,3326.35,3345.57,3318.83,3344.30,33660.313,1711267199999,112256569.23391,59849,19097.877,63700142.88806,0
1711267200000,3344.30,3363.87,3337.78,3350.64,52880.411,1711268999999,177225957.80000,90059,28314.612,94892007.37457,0
1711269000000,3350.63,3382.80,3346.50,3379.66,45224.546,1711270799999,152247993.98097,75919,24947.887,84001333.03625,0
1711270800000,3379.66,3381.41,3359.52,3365.95,39370.382,1711272599999,132707214.05780,68913,17303.346,58324805.19677,0
1711272600000,3365.96,3377.17,3364.39,3367.27,17365.129,1711274399999,58509111.61427,35937,8630.630,29084492.75201,0
1711274400000,3367.27,3393.80,3366.36,3390.40,38875.451,1711276199999,131430733.60721,57134,25517.106,86289874.32539,0
1711276200000,3390.40,3395.28,3377.41,3378.35,33292.405,1711277999999,112703560.56308,54043,15540.601,52619769.30085,0
1711278000000,3378.35,3384.41,3374.43,3378.63,18147.211,1711279799999,61320951.50879,37710,8782.410,29677905.54288,0
1711279800000,3378.64,3395.66,3368.79,3389.88,46097.890,1711281599999,155830149.28329,54756,24215.804,81918953.52975,0
1711281600000,3389.87,3406.99,3379.13,3393.22,59160.685,1711283399999,200683798.58565,89871,28820.116,97796430.25365,0
1711283400000,3393.23,3407.93,3390.03,3402.00,32802.983,1711285199999,111526332.69008,61828,16758.907,56983728.69667,0
1711285200000,3402.00,3416.39,3390.49,3392.43,40113.713,1711286999999,136413319.38702,74520,19337.316,65793516.85024,0
1711287000000,3392.43,3396.07,3385.19,3388.79,26797.583,1711288799999,90849113.85997,49272,13010.188,44112454.48515,0
1711288800000,3388.79,3417.64,3386.83,3409.89,43150.886,1711290599999,146931125.35422,72693,22914.958,78029256.59155,0
1711290600000,3409.90,3415.96,3393.29,3400.09,34875.488,1711292399999,118615771.36638,61906,14723.738,50087806.24945,0
1711292400000,3400.11,3409.60,3390.05,3405.39,32055.014,1711294199999,108932421.99174,60098,17259.367,58660593.90972,0
1711294200000,3405.39,3406.19,3397.00,3399.94,20326.696,1711295999999,69133869.33253,43135,10400.890,35381198.83561,0
1711296000000,3399.94,3411.94,3388.75,3393.29,33559.471,1711297799999,114110800.75108,63805,15800.699,53734364.86870,0
1711297800000,3393.21,3400.00,3370.60,3372.00,54718.352,1711299599999,185016073.78661,79402,20889.985,70651463.79378,0
1711299600000,3371.99,3373.00,3334.31,3346.22,157291.732,1711301399999,526834613.12483,180414,68686.467,230055077.68741,0
1711301400000,3346.22,3384.47,3344.19,3369.73,74322.711,1711303199999,250106794.64753,107167,43769.315,147328390.35682,0
1711303200000,3369.72,3388.61,3369.00,3382.79,36304.794,1711304999999,122787209.52583,71231,18276.832,61813052.84848,0
1711305000000,3382.79,3400.00,3373.21,3388.83,62317.709,1711306799999,210996156.82863,94280,36571.323,123844344.28990,0
1711306800000,3388.82,3397.87,3381.99,3386.85,29506.805,1711308599999,100031358.26648,54347,15038.916,50989950.96685,0
1711308600000,3386.85,3393.88,3381.92,3385.09,16307.012,1711310399999,55237768.18961,33960,8601.390,29134131.72961,0
1711310400000,3385.09,3433.00,3377.68,3425.15,72576.352,1711312199999,247538527.75673,106660,43519.486,148469011.97484,0
1711312200000,3425.15,3427.62,3413.43,3416.64,31252.927,1711313999999,106918229.43941,60134,12961.619,44347893.28058,0
1711314000000,3416.64,3432.16,3407.64,3420.62,38798.835,1711315799999,132782719.39178,67972,19200.082,65720562.83041,0
1711315800000,3420.62,3429.10,3411.00,3426.25,22572.472,1711317599999,77205835.26974,45229,13199.518,45151230.72438,0
1711317600000,3426.25,3453.95,3423.34,3444.16,68694.614,1711319399999,236312269.17046,101661,36664.929,126138927.64193,0
1711319400000,3444.16,3447.73,3432.37,3443.49,24735.872,1711321199999,85114086.37777,54862,12724.849,43786732.97815,0
1711321200000,3443.49,3474.16,3442.59,3461.30,64083.816,1711322999999,221778836.49129,117896,35592.968,123186606.29864,0
1711323000000,3461.29,3461.91,3450.54,3457.16,28432.091,1711324799999,98253755.80358,55219,13614.775,47049572.42470,0
