open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1706054400000,2241.67,2244.94,2231.45,2238.69,80600.644,1706056199999,180391108.71761,77412,38959.516,87185268.37971,0
1706056200000,2238.68,2255.00,2237.79,2243.89,72346.084,1706057999999,162552060.91373,91389,34140.390,76702660.58185,0
1706058000000,2243.89,2244.07,2225.66,2230.00,74169.046,1706059799999,165667122.93046,95799,31266.020,69823855.47935,0
1706059800000,2229.99,2231.37,2220.01,2222.40,53983.186,1706061599999,120130889.70687,63735,24665.239,54892763.38357,0
1706061600000,2222.40,2232.51,2221.01,2226.89,31418.077,1706063399999,69979555.84686,37306,18087.730,40290661.40586,0
1706063400000,2226.90,2231.97,2220.37,2222.11,26418.584,1706065199999,58778540.24087,34848,12073.022,26865457.27133,0
1706065200000,2222.11,2224.73,2211.31,2214.17,54462.847,1706066999999,120751541.00801,66961,22431.392,49738150.99016,0
1706067000000,2214.17,2216.86,2211.57,2213.04,31104.732,1706068799999,68868798.59545,44177,16284.821,36058558.77874,0
1706068800000,2213.04,2219.66,2212.51,2219.37,27564.567,1706070599999,61096922.70838,40414,16536.164,36654547.70709,0
1706070600000,2219.37,2221.20,2213.60,2213.86,22357.032,1706072399999,49582441.84857,33600,11707.020,25964921.59847,0
1706072400000,2213.86,2226.60,2213.85,2226.01,30206.633,1706074199999,67123368.16022,40777,19834.951,44073796.87885,0
1706074200000,2226.00,2229.87,2221.56,2226.73,28724.751,1706075999999,63933626.74789,38851,15368.937,34208321.14902,0
1706076000000,2226.72,2232.41,2220.00,2226.66,39641.506,1706077799999,88185712.48301,46180,20563.316,45755142.38210,0
1706077800000,2226.66,2233.31,2226.01,2232.01,30872.992,1706079599999,68847981.47157,46528,17014.169,37941223.23258,0
1706079600000,2231.99,2245.00,2226.53,2241.86,57384.132,1706081399999,128417424.68362,70980,30777.923,68870546.84542,0
1706081400000,2241.87,2242.77,2231.54,2233.83,32253.224,1706083199999,72140324.70603,48373,15233.101,34072360.96032,0
1706083200000,2233.83,2240.39,2228.18,2233.36,34462.276,1706084999999,76998714.77360,50890,17926.440,40055605.32007,0
1706085000000,2233.36,2239.79,2229.04,2235.60,23486.173,1706086799999,52471185.10989,40487,11350.392,25359960.23966,0
1706086800000,2235.61,2246.34,2234.88,2242.41,45253.110,1706088599999,101394100.87135,59201,23205.474,51994294.17491,0
1706088600000,2242.42,2242.42,2233.04,2238.33,25408.543,1706090399999,56857659.56263,40397,11719.617,26224256.24814,0
1706090400000,2238.33,2245.24,2234.96,2244.05,30517.948,1706092199999,68381656.95702,42245,14107.913,31612336.70399,0
1706092200000,2244.05,2264.44,2243.33,2255.60,110323.571,1706093999999,248793657.76271,132136,60862.170,137225008.65161,0
1706094000000,2255.59,2256.64,2241.50,2246.09,55224.941,1706095799999,124104044.81177,74685,25254.700,56751696.58214,0
1706095800000,2246.09,2248.15,2237.74,2243.22,40192.086,1706097599999,90140577.83288,53465,18704.227,41955186.12852,0
1706097600000,2243.22,2247.57,2239.02,2240.45,33267.736,1706099399999,74622934.98206,47551,15788.989,35416915.24041,0
1706099400000,2240.44,2244.36,2231.66,2233.99,56378.844,1706101199999,126143574.82922,67473,24392.361,54587324.53141,0
1706101200000,2234.00,2238.57,2228.39,2237.52,45162.875,1706102999999,100882827.22520,65853,22584.012,50454227.89100,0
1706103000000,2237.52,2237.69,2221.29,2227.71,56660.234,1706104799999,126222038.76675,73432,24851.913,55357624.42671,0
1706104800000,2227.71,2229.21,2217.18,2226.75,64259.872,1706106599999,142848583.98935,76494,31348.710,69705440.88980,0
1706106600000,2226.73,2245.50,2222.16,2229.52,123445.149,1706108399999,275734745.61453,141158,62399.898,139404670.91062,0
1706108400000,2229.52,2236.86,2223.61,2232.79,52272.223,1706110199999,116592267.09691,68558,28454.693,63474668.62497,0
1706110200000,2232.79,2239.75,2223.82,2233.95,43723.969,1706111999999,97669875.57111,57776,22814.140,50969600.65756,0
1706112000000,2233.95,2234.20,2225.46,2233.29,36926.499,1706113799999,82344614.05813,46299,18576.641,41421764.55575,0
1706113800000,2233.29,2244.32,2227.64,2241.30,48058.469,1706115599999,107566460.92353,63864,23867.390,53423655.86560,0
1706115600000,2241.29,2242.00,2231.58,2234.79,37408.370,1706117399999,83663274.38433,51073,17324.187,38744460.97823,0
1706117400000,2234.79,2241.20,2231.00,2236.14,34130.988,1706119199999,76318632.51396,48246,17605.607,39369842.95049,0
1706119200000,2236.14,2236.60,2202.02,2217.01,140863.307,1706120999999,312028157.67540,123954,64616.788,143111472.29583,0
1706121000000,2217.01,2223.71,2213.03,2216.47,43585.304,1706122799999,96683862.83492,54766,22833.920,50658732.45783,0
1706122800000,2216.47,2219.80,2210.50,2217.20,24888.144,1706124599999,55154941.48271,38729,13523.112,29969883.53316,0
1706124600000,2217.20,2221.41,2205.40,2212.47,40067.920,1706126399999,88638342.67934,56268,18523.108,40986445.15682,0
1706126400000,2212.46,2225.55,2210.65,2217.50,58167.816,1706128199999,129075661.72833,66191,31504.406,69911673.02034,0
1706128200000,2217.51,2218.00,2195.00,2199.79,87354.663,1706129999999,192493511.68259,94935,39282.016,86559441.76293,0
1706130000000,2199.79,2216.99,2198.54,2213.67,46500.790,1706131799999,102651211.02004,62150,26560.764,58633182.18442,0
1706131800000,2213.67,2216.77,2209.20,2216.77,21492.657,1706133599999,47554437.18807,34439,11178.884,24735761.56762,0
1706133600000,2216.77,2223.49,2212.81,2219.88,28393.184,1706135399999,62985647.78632,38980,13973.353,30998769.18468,0
1706135400000,2219.88,2223.27,2216.09,2220.79,13488.485,1706137199999,29940209.17892,20557,4618.394,10251800.44195,0
1706137200000,2220.79,2234.98,2219.25,2233.22,34903.757,1706138999999,77790786.06022,52946,17670.129,39378198.84039,0
1706139000000,2233.22,2239.29,2232.32,2234.62,26295.060,1706140799999,58787223.26421,42783,12885.096,28809102.68925,0
