open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1724457600000,2761.58,2768.44,2752.44,2754.80,40085.483,1724459399999,110639349.46749,53427,17687.669,48822496.07619,0
1724459400000,2754.81,2765.86,2751.00,2756.99,30896.381,1724461199999,85231239.21447,44125,15138.639,41761738.73594,0
1724461200000,2757.00,2757.13,2744.53,2746.91,42680.462,1724462999999,117355964.10035,54454,18987.405,52208215.76811,0
1724463000000,2746.91,2752.35,2741.12,2751.97,27648.963,1724464799999,75924835.25992,38722,15601.081,42845181.83377,0
1724464800000,2751.97,2760.18,2749.60,2753.16,23357.704,1724466599999,64343835.36645,35763,13638.412,37571655.14074,0
1724466600000,2753.16,2754.57,2749.44,2752.57,16324.415,1724468399999,44923450.07155,25217,7501.942,20647267.45462,0
1724468400000,2752.57,2753.66,2746.70,2750.70,15288.466,1724470199999,42058479.88466,22991,7290.785,20061045.12712,0
1724470200000,2750.69,2753.00,2742.11,2745.58,18491.508,1724471999999,50795052.88489,32877,9046.610,24851790.88452,0
1724472000000,2745.57,2749.64,2742.20,2746.06,19262.852,1724473799999,52899370.10502,28220,10370.474,28484052.02771,0
1724473800000,2746.07,2748.00,2744.21,2745.00,9165.808,1724475599999,25170194.65867,17978,5714.844,15693560.90959,0
1724475600000,2745.00,2752.80,2736.92,2750.00,36604.614,1724477399999,100498729.54702,42027,17212.185,47274559.91151,0
1724477400000,2750.00,2754.60,2745.01,2754.57,16747.892,1724479199999,46053845.20362,27896,9088.936,24994275.10610,0
1724479200000,2754.57,2758.00,2751.77,2756.41,20382.466,1724480999999,56152883.76339,31379,10782.554,29709002.88761,0
1724481000000,2756.41,2764.20,2753.34,2754.03,33508.629,1724482799999,92437456.58840,53105,17949.803,49518097.79567,0
1724482800000,2754.02,2761.27,2753.61,2759.51,20098.940,1724484599999,55430098.36677,31720,11520.520,31771914.52900,0
1724484600000,2759.52,2761.20,2754.00,2757.23,16425.410,1724486399999,45290090.55462,27432,8369.588,23077699.29624,0
1724486400000,2757.23,2759.22,2753.66,2757.99,12984.944,1724488199999,35794533.68523,21231,6206.503,17109161.03503,0
1724488200000,2758.00,2779.70,2754.96,2774.98,80482.939,1724489999999,222843701.82217,77089,49125.689,136032926.33317,0
1724490000000,2774.98,2785.78,2766.29,2770.06,52823.269,1724491799999,146590349.63487,58341,28268.936,78468873.33247,0
1724491800000,2770.06,2775.36,2765.86,2773.49,25609.468,1724493599999,70962633.59383,36656,12952.592,35898245.99970,0
1724493600000,2773.49,2776.15,2767.09,2772.81,32973.658,1724495399999,91393931.04776,40533,18445.677,51127999.32962,0
1724495400000,2772.81,2777.18,2763.15,2767.19,31178.212,1724497199999,86370859.33445,41795,11971.259,33167818.01883,0
1724497200000,2767.18,2770.35,2764.50,2765.01,26645.882,1724498999999,73756684.95087,30034,11596.645,32099890.11581,0
1724499000000,2765.01,2766.61,2754.56,2755.35,51945.618,1724500799999,143354309.63743,50826,22774.720,62840629.29634,0
1724500800000,2755.36,2762.00,2750.00,2761.11,49639.733,1724502599999,136816936.36385,52850,23478.044,64717720.73834,0
1724502600000,2761.11,2763.07,2751.51,2755.26,49307.040,1724504399999,135975224.03986,48399,20098.623,55427139.72535,0
1724504400000,2755.27,2760.30,2750.79,2758.25,27923.890,1724506199999,76945562.23949,34115,12300.253,33899636.08993,0
1724506200000,2758.26,2762.76,2752.48,2757.64,20918.234,1724507999999,57674633.34467,33259,9790.987,26994622.23657,0
1724508000000,2757.63,2762.58,2750.01,2761.57,35361.259,1724509799999,97434851.44242,38381,15743.653,43387183.36602,0
1724509800000,2761.58,2761.87,2754.00,2758.21,20590.986,1724511599999,56771904.15731,30984,9605.694,26481387.57474,0
1724511600000,2758.22,2762.40,2752.51,2757.65,19801.063,1724513399999,54604056.56821,29814,9250.796,25514436.28561,0
1724513400000,2757.65,2762.63,2753.33,2759.79,23536.479,1724515199999,64923220.66639,36698,9348.060,25789281.07546,0
1724515200000,2759.79,2813.50,2758.64,2809.99,178547.633,1724516999999,497837623.54062,145292,107161.102,298751498.85516,0
1724517000000,2809.99,2819.35,2793.19,2812.71,177376.942,1724518799999,498165937.60678,173698,88571.161,248773141.32858,0
1724518800000,2812.70,2812.92,2785.02,2788.00,120877.230,1724520599999,338765775.02877,99235,48698.008,136436967.63827,0
1724520600000,2788.00,2796.43,2775.00,2781.79,81539.135,1724522399999,227312562.95955,78846,31402.592,87560049.52097,0
1724522400000,2781.79,2797.99,2769.20,2795.31,78736.549,1724524199999,219223793.52727,88509,44937.614,125168633.14164,0
1724524200000,2795.31,2800.56,2775.81,2781.73,65704.247,1724525999999,183147981.33465,66746,34207.750,95402938.19285,0
1724526000000,2781.73,2798.04,2780.84,2797.51,30766.678,1724527799999,85882725.65248,38290,16129.223,45025720.27063,0
1724527800000,2797.51,2799.23,2791.25,2791.25,13997.328,1724529599999,39117779.73380,22956,4333.602,12111503.51282,0
