open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1716508800000,3784.79,3787.50,3744.03,3772.82,71641.633,1716510599999,269556577.15615,111284,34199.340,128680506.03695,0
1716510600000,3772.82,3832.00,3771.75,3815.01,84938.006,1716512399999,323425536.98350,148237,46643.718,177558026.80783,0
1716512400000,3815.01,3816.95,3796.14,3809.99,41351.948,1716514199999,157354576.25581,78414,17915.004,68172339.93801,0
1716514200000,3810.00,3828.83,3808.62,3812.00,36492.785,1716515999999,139353428.75903,76749,17161.542,65541414.71757,0
1716516000000,3812.00,3819.95,3799.44,3805.90,28998.136,1716517799999,110478883.03748,54640,10181.974,38810282.07424,0
1716517800000,3805.91,3831.55,3796.00,3823.79,45315.428,1716519599999,172814578.30022,76903,24875.393,94868805.70613,0
1716519600000,3823.79,3827.71,3799.78,3804.40,39405.851,1716521399999,150239294.10928,73359,18241.414,69541786.35989,0
1716521400000,3804.39,3812.42,3800.02,3805.31,21927.433,1716523199999,83427885.28027,44970,11780.800,44825672.60818,0
1716523200000,3805.30,3812.88,3796.01,3803.01,27788.759,1716524999999,105701488.33454,50156,12459.912,47398361.11504,0
1716525000000,3803.01,3817.20,3797.15,3805.90,34846.085,1716526799999,132743909.36525,55712,17654.430,67258594.30777,0
1716526800000,3805.90,3814.93,3769.00,3791.18,46844.971,1716528599999,177937513.14205,74989,18717.685,71127622.95085,0
1716528600000,3791.17,3791.94,3728.00,3730.42,158511.135,1716530399999,594747800.13200,231797,67666.928,253893544.77949,0
1716530400000,3730.42,3742.99,3687.24,3696.11,153613.918,1716532199999,571175778.10099,219968,73032.124,271680200.60424,0
1716532200000,3696.11,3704.73,3671.06,3674.99,145983.513,1716533999999,538219808.21360,197592,75089.046,276913285.15913,0
1716534000000,3674.73,3693.00,3658.00,3688.67,135908.718,1716535799999,499693706.05311,175436,72184.929,265471275.89032,0
1716535800000,3688.68,3689.99,3651.73,3681.26,138822.891,1716537599999,509175246.02639,185097,72883.857,267367626.46483,0
1716537600000,3681.26,3684.51,3627.00,3641.49,129066.481,1716539399999,471525422.64349,172572,51711.054,188989149.66840,0
1716539400000,3641.50,3683.20,3639.50,3675.58,86222.900,1716541199999,316148079.77381,135405,48950.168,179460953.47304,0
