open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1732406400000,3396.32,3428.31,3391.30,3427.39,72770.579,1732408199999,248451570.99985,124847,43463.164,148393551.81917,0
1732408200000,3427.39,3428.66,3410.55,3420.23,46499.951,1732409999999,159029803.68569,89600,20263.697,69309757.08296,0
1732410000000,3420.23,3438.83,3417.58,3421.19,58005.022,1732411799999,198828443.42758,94024,30046.286,102993475.48465,0
1732411800000,3421.19,3439.87,3419.56,3435.85,38139.246,1732413599999,130815834.49738,67935,21446.145,73549748.02925,0
1732413600000,3435.84,3453.00,3433.23,3442.89,53823.046,1732415399999,185388563.23603,98173,29524.212,101725485.10121,0
1732415400000,3442.88,3446.86,3430.91,3432.90,29920.503,1732417199999,102885272.39892,62891,10829.509,37237590.99969,0
1732417200000,3432.90,3435.40,3420.35,3425.00,31058.226,1732418999999,106498521.87381,65469,12819.256,43964820.06000,0
1732419000000,3424.99,3431.00,3421.01,3430.00,22116.954,1732420799999,75782850.84607,57104,10830.474,37110978.06890,0
1732420800000,3430.00,3435.18,3418.40,3424.72,30877.579,1732422599999,105830256.77184,63210,12292.121,42142640.79927,0
1732422600000,3424.68,3426.90,3402.51,3416.38,66510.102,1732424399999,226843644.89952,109879,29097.463,99251215.20050,0
1732424400000,3416.37,3423.45,3412.93,3416.62,24306.663,1732426199999,83097909.76463,50204,13423.662,45894432.30468,0
1732426200000,3416.63,3419.48,3400.00,3415.74,57926.845,1732427999999,197478832.40114,95256,27320.261,93178886.42431,0
1732428000000,3415.74,3418.96,3403.23,3411.55,27377.720,1732429799999,93368074.88006,67873,10577.981,36082242.63429,0
1732429800000,3411.55,3432.40,3407.47,3424.99,43177.632,1732431599999,147886084.50335,77506,24345.790,83383839.28767,0
1732431600000,3424.99,3429.63,3416.40,3416.40,27657.197,1732433399999,94689626.93268,57592,11419.248,39107093.03356,0
1732433400000,3416.40,3425.49,3411.54,3424.99,22956.384,1732435199999,78507137.08916,49168,12377.432,42338238.23464,0
1732435200000,3424.99,3431.62,3418.32,3419.37,33503.205,1732436999999,114753266.32041,54890,15219.733,52138269.14054,0
1732437000000,3419.38,3419.89,3391.13,3396.77,80197.389,1732438799999,273010343.60891,110675,32129.654,109368710.15717,0
1732438800000,3396.77,3408.50,3391.00,3396.92,47584.541,1732440599999,161799389.47493,81261,22599.600,76851624.14868,0
1732440600000,3396.91,3407.00,3392.83,3405.95,33484.440,1732442399999,113853833.12446,72681,16819.417,57203712.85388,0
1732442400000,3405.96,3407.15,3397.69,3404.41,23730.149,1732444199999,80769778.40361,52605,10745.705,36576260.99818,0
1732444200000,3404.42,3406.78,3363.40,3377.30,144758.251,1732445999999,489129590.94186,178145,57902.350,195585717.90265,0
1732446000000,3377.30,3382.45,3340.56,3355.09,189000.863,1732447799999,634797868.25551,264884,88720.004,298015130.87911,0
1732447800000,3355.09,3368.00,3341.86,3346.71,86441.294,1732449599999,289927675.03089,164089,41268.167,138463485.74004,0
1732449600000,3346.72,3360.22,3333.00,3343.48,91656.538,1732451399999,306643783.11422,160348,34964.460,117047936.35681,0
1732451400000,3343.48,3343.49,3282.48,3317.85,317880.913,1732453199999,1052244154.56881,399744,136504.080,451953362.09949,0
1732453200000,3317.84,3342.40,3307.77,3339.90,140602.212,1732454999999,468235791.26835,201603,72192.689,240391773.43910,0
1732455000000,3339.90,3343.00,3313.22,3327.16,94599.882,1732456799999,314899978.70576,159401,39859.044,132672846.96663,0
1732456800000,3327.17,3328.04,3286.22,3301.70,170419.485,1732458599999,562854577.06876,242213,72360.754,238976046.30594,0
1732458600000,3301.71,3335.00,3296.87,3328.50,132168.673,1732460399999,438989798.98690,188635,80263.105,266633524.18019,0
1732460400000,3328.50,3330.00,3296.94,3311.37,73202.126,1732462199999,242678675.22287,138801,29541.544,97954320.91457,0
1732462200000,3311.46,3317.00,3294.00,3297.13,99113.005,1732463999999,327560043.32309,174602,44591.925,147409568.76868,0
1732464000000,3297.12,3326.36,3290.00,3325.47,102289.826,1732465799999,338673935.39883,176754,59593.853,197357404.78565,0
1732465800000,3325.48,3334.90,3313.99,3321.00,72854.779,1732467599999,242322239.20925,115946,36475.961,121344021.07741,0
1732467600000,3321.00,3322.22,3300.01,3312.86,56818.767,1732469399999,188055544.82461,119209,26747.579,88521073.48798,0
1732469400000,3312.86,3318.00,3305.67,3311.98,29420.847,1732471199999,97435939.72771,77772,15624.173,51751133.03060,0
1732471200000,3311.98,3329.99,3309.22,3324.45,38889.644,1732472999999,129244558.26932,83807,19801.830,65806680.58203,0
1732473000000,3324.45,3336.77,3322.12,3329.08,37355.136,1732474799999,124447690.56726,70531,20694.815,68951124.88316,0
1732474800000,3329.07,3330.00,3312.38,3320.00,35781.911,1732476599999,118817999.78174,76814,19103.902,63431323.83471,0
1732476600000,3320.01,3331.59,3319.56,3328.55,15339.248,1732478399999,51020067.43163,49854,9154.738,30451437.19836,0
1732478400000,3328.55,3343.36,3323.44,3342.63,37187.758,1732480199999,124022334.58019,72682,18750.418,62558806.42152,0
1732480200000,3342.63,3346.09,3336.30,3343.68,24546.746,1732481999999,81998642.24241,56023,12582.206,42035797.37363,0
1732482000000,3343.68,3346.34,3333.87,3338.95,23202.061,1732483799999,77492080.97613,57044,9471.219,31641516.65884,0
1732483800000,3338.94,3349.00,3335.07,3347.35,18858.145,1732485599999,63041012.15090,48077,9529.001,31864327.03095,0
1732485600000,3347.34,3366.00,3346.14,3352.95,58910.218,1732487399999,197683351.21663,93804,34159.530,114629734.41526,0
1732487400000,3352.96,3361.95,3339.06,3361.68,37896.999,1732489199999,126960259.35019,75626,18336.144,61452519.09337,0
