open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713916800000,3218.03,3226.49,3208.55,3214.48,25351.829,1713918599999,81573713.36145,52008,11066.004,35614345.81890,0
1713918600000,3214.47,3232.99,3211.52,3227.99,26883.724,1713920399999,86727154.09903,61874,15220.867,49103090.54211,0
1713920400000,3227.99,3236.31,3226.33,3236.30,19626.282,1713922199999,63428882.74121,41971,9443.113,30519876.56946,0
1713922200000,3236.30,3247.50,3229.28,3237.72,32169.037,1713923999999,104208753.60585,60733,16972.276,54982611.93181,0
1713924000000,3237.72,3240.64,3223.32,3224.15,25228.056,1713925799999,81490839.77892,52334,9840.420,31787588.00487,0
1713925800000,3224.15,3237.52,3214.02,3230.23,37851.409,1713927599999,122082233.53858,62546,18298.001,59030692.61434,0
1713927600000,3230.22,3242.16,3228.25,3237.65,22903.110,1713929399999,74121344.77830,44291,12623.746,40855508.00293,0
1713929400000,3237.65,3244.52,3234.24,3236.60,26673.739,1713931199999,86412038.30198,39750,11004.233,35652700.34691,0
1713931200000,3236.60,3251.82,3235.25,3244.30,27356.969,1713932999999,88745455.06012,47037,14701.943,47699980.86956,0
1713933000000,3244.29,3274.00,3239.28,3270.01,73013.978,1713934799999,238147403.94477,102721,43208.191,140951675.46994,0
1713934800000,3270.01,3273.88,3254.70,3254.71,40497.199,1713936599999,132152152.93478,69800,16250.896,53029336.60265,0
1713936600000,3254.71,3257.59,3247.71,3255.52,27921.255,1713938399999,90850408.78382,50502,12958.332,42167018.11869,0
1713938400000,3255.52,3256.31,3242.97,3247.45,27571.341,1713940199999,89562783.74532,51274,11743.593,38145322.15421,0
1713940200000,3247.45,3259.56,3243.33,3254.10,26951.922,1713941999999,87704194.40580,45050,12544.077,40820877.64581,0
1713942000000,3254.11,3264.61,3249.01,3258.64,25931.782,1713943799999,84474505.21713,44242,13824.654,45037089.53866,0
1713943800000,3258.65,3260.68,3247.59,3248.40,19255.791,1713945599999,62633822.21908,37413,8420.499,27390760.12538,0
1713945600000,3248.40,3255.44,3242.72,3254.53,23052.063,1713947399999,74906223.28201,40308,11371.651,36959164.29962,0
1713947400000,3254.54,3259.47,3246.86,3250.79,19835.379,1713949199999,64512205.78633,39364,8319.011,27055172.71694,0
1713949200000,3250.79,3253.40,3240.06,3249.78,31940.099,1713950999999,103688800.89173,50910,16539.912,53698972.09825,0
1713951000000,3249.78,3253.51,3242.30,3253.00,21893.057,1713952799999,71116160.08589,46691,10872.499,35322512.77674,0
1713952800000,3252.99,3268.99,3243.74,3261.62,61251.724,1713954599999,199503287.11104,91641,31807.414,103613512.39132,0
1713954600000,3261.63,3269.61,3252.54,3265.12,30010.408,1713956399999,97920269.72502,59377,16341.779,53327301.76923,0
1713956400000,3265.12,3286.00,3263.33,3282.29,69760.674,1713958199999,228500261.57429,99516,40545.968,132814112.16205,0
1713958200000,3282.29,3284.52,3271.37,3280.15,38018.536,1713959999999,124628391.27622,75410,16128.215,52872901.41095,0
1713960000000,3280.15,3293.38,3273.31,3275.47,61778.614,1713961799999,202840001.54592,91692,34437.947,113104995.04798,0
1713961800000,3275.47,3282.85,3265.00,3271.67,32579.726,1713963599999,106626641.86204,63293,16626.492,54421246.37781,0
1713963600000,3271.67,3271.89,3245.90,3246.66,83192.619,1713965399999,270945700.93982,121792,39247.183,127840290.29781,0
1713965400000,3246.66,3264.04,3237.77,3246.68,89346.125,1713967199999,290291021.08589,146720,44159.314,143503448.68865,0
1713967200000,3246.67,3254.80,3212.00,3223.95,115558.600,1713968999999,373200669.71621,177561,53356.990,172351017.05003,0
1713969000000,3223.96,3223.97,3185.36,3213.11,222394.453,1713970799999,712084183.18503,297316,115035.317,368333268.81831,0
1713970800000,3213.12,3213.38,3190.37,3190.96,71643.883,1713972599999,229319410.97541,131347,31874.459,102036392.99291,0
1713972600000,3190.96,3198.45,3165.00,3174.60,141669.883,1713974399999,450363471.54479,192555,63321.782,201315468.02969,0
1713974400000,3174.59,3191.01,3154.70,3160.84,121201.443,1713976199999,384729541.58475,160476,54235.400,172234069.80970,0
1713976200000,3160.84,3181.24,3156.61,3172.06,57504.215,1713977999999,182360915.92747,101224,28117.820,89168716.24140,0
1713978000000,3172.06,3184.93,3171.54,3183.87,38397.402,1713979799999,122088811.70487,69749,18371.684,58415229.96746,0
1713979800000,3183.88,3192.27,3175.25,3178.56,40934.467,1713981599999,130389489.78482,63750,20706.939,65962023.60175,0
1713981600000,3178.57,3179.71,3161.33,3162.97,30755.344,1713983399999,97424622.87352,59684,13517.412,42819113.90446,0
1713983400000,3162.98,3170.04,3105.00,3128.30,159281.216,1713985199999,499515276.39736,178347,60868.221,190995624.98489,0
1713985200000,3128.29,3146.98,3102.50,3143.25,112859.003,1713986999999,352728860.22279,153995,55015.599,171995996.51224,0
1713987000000,3143.25,3148.68,3131.21,3133.25,40882.650,1713988799999,128395324.37312,68172,19634.334,61669202.25013,0
1713988800000,3133.25,3141.58,3115.60,3128.07,66910.825,1713990599999,209279106.11753,103477,31460.917,98408865.60103,0
1713990600000,3128.08,3137.69,3124.73,3131.98,31821.314,1713992399999,99652458.42285,59044,17056.502,53421018.26699,0
1713992400000,3131.98,3143.17,3125.88,3140.29,24568.929,1713994199999,77002374.49800,47514,13966.959,43775199.38913,0
1713994200000,3140.30,3149.82,3140.29,3148.21,25451.430,1713995999999,80068991.23334,39566,12580.578,39576790.88349,0
1713996000000,3148.20,3151.34,3137.80,3142.85,30799.042,1713997799999,96833321.47947,43487,14107.329,44355982.14464,0
1713997800000,3142.85,3143.24,3119.54,3130.15,29719.872,1713999599999,93033879.46714,52630,13472.750,42171657.88890,0
1713999600000,3130.16,3135.38,3110.11,3124.07,50856.294,1714001399999,158821840.62955,90764,25412.197,79361688.98652,0
1714001400000,3124.08,3141.53,3121.91,3138.84,21770.567,1714003199999,68228475.26088,48364,12703.993,39810780.10350,0
