open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1729728000000,2523.85,2525.02,2507.76,2510.94,40421.378,1729729799999,101701926.41866,56756,13874.757,34907353.94240,0
1729729800000,2510.94,2549.93,2510.93,2549.25,99082.524,1729731599999,251121164.54034,112461,58329.575,147803723.75367,0
1729731600000,2549.26,2561.04,2541.54,2544.42,85805.809,1729733399999,218894890.47341,119970,38567.365,98406979.54550,0
1729733400000,2544.58,2546.66,2536.61,2544.61,42716.673,1729735199999,108573846.54789,65837,24799.879,63042337.76441,0
1729735200000,2544.61,2552.50,2539.02,2551.25,23489.769,1729736999999,59809978.93702,51693,13337.970,33961423.73709,0
1729737000000,2551.25,2557.44,2545.75,2555.55,31471.963,1729738799999,80313753.14599,58817,17939.852,45787609.46114,0
1729738800000,2555.55,2557.79,2549.17,2552.63,25328.670,1729740599999,64677920.67696,48704,11155.144,28489160.59001,0
1729740600000,2552.63,2553.03,2543.96,2544.19,17702.972,1729742399999,45111397.26824,34457,6517.681,16610289.64139,0
1729742400000,2544.20,2548.86,2539.04,2546.34,31003.026,1729744199999,78854690.38758,41030,15832.582,40271778.46686,0
1729744200000,2546.34,2554.63,2543.48,2552.68,30808.319,1729745999999,78537839.95714,40532,16861.341,42983683.87382,0
1729746000000,2552.68,2559.00,2550.32,2552.78,65539.802,1729747799999,167464291.87716,59217,32660.842,83467792.78158,0
1729747800000,2552.78,2558.25,2551.19,2556.06,17580.272,1729749599999,44910614.76660,36141,7135.011,18226808.36530,0
1729749600000,2556.06,2561.83,2556.00,2556.30,29517.204,1729751399999,75532395.40632,39953,14952.918,38267480.54875,0
1729751400000,2556.30,2559.17,2546.20,2547.42,34963.025,1729753199999,89213685.12433,49032,15782.615,40266116.66759,0
1729753200000,2547.41,2554.83,2546.19,2550.13,21505.194,1729754999999,54839787.70419,43256,11998.247,30594665.99879,0
1729755000000,2550.13,2553.39,2542.11,2543.88,30225.104,1729756799999,76993159.72959,51334,12436.627,31686189.68824,0
1729756800000,2543.88,2550.98,2541.11,2544.99,19419.019,1729758599999,49445535.76673,41350,10159.991,25874953.55533,0
1729758600000,2545.00,2548.56,2517.00,2518.90,92388.826,1729760399999,233679709.44963,118580,35889.718,90776133.72021,0
1729760400000,2518.91,2527.00,2507.68,2526.23,106961.867,1729762199999,269267041.99627,126143,55523.406,139783753.98613,0
1729762200000,2526.22,2527.91,2514.83,2520.67,38147.711,1729763999999,96137966.41106,64534,18793.788,47366702.64341,0
1729764000000,2520.68,2532.00,2520.07,2530.56,30217.416,1729765799999,76319656.63287,50290,17387.554,43925289.20470,0
1729765800000,2530.56,2535.27,2523.00,2525.39,28564.720,1729767599999,72256911.00673,49799,14303.547,36187821.41946,0
1729767600000,2525.39,2529.75,2521.26,2528.21,19889.980,1729769399999,50228625.89440,38673,12522.197,31622243.73907,0
1729769400000,2528.20,2533.18,2526.42,2528.97,26800.804,1729771199999,67803346.94597,47856,16141.362,40840858.17571,0
1729771200000,2528.97,2539.50,2527.77,2530.60,35007.440,1729772999999,88697770.38508,59481,19104.023,48405532.62618,0
1729773000000,2530.59,2537.06,2525.79,2530.16,38865.292,1729774799999,98339317.08170,64139,19839.402,50200309.31706,0
1729774800000,2530.17,2536.90,2525.68,2528.60,50361.536,1729776599999,127519769.67884,73603,23606.937,59775634.92027,0
1729776600000,2528.60,2545.24,2524.25,2535.68,88681.879,1729778399999,224789799.49500,133209,49339.812,125085105.35070,0
1729778400000,2535.68,2537.35,2512.37,2517.00,101812.423,1729780199999,256771843.59825,152911,44526.322,112313782.00934,0
1729780200000,2516.99,2536.01,2516.26,2524.77,68779.004,1729781999999,173869506.40130,111046,29485.365,74536723.88963,0
1729782000000,2524.78,2533.20,2519.48,2526.28,39824.801,1729783799999,100659279.72151,82890,18630.277,47092367.47703,0
1729783800000,2526.28,2535.68,2519.42,2525.15,47631.001,1729785599999,120399734.25561,75979,20684.521,52287226.29097,0
1729785600000,2525.16,2529.29,2506.27,2521.66,89839.101,1729787399999,226072556.90768,110449,45023.410,113300778.69826,0
1729787400000,2521.67,2525.69,2517.25,2517.97,31541.863,1729789199999,79539479.96491,57805,16570.999,41790083.79473,0
1729789200000,2517.97,2518.94,2510.00,2515.00,27790.643,1729790999999,69889755.57386,52024,13064.387,32858679.58251,0
1729791000000,2515.00,2527.50,2513.69,2521.14,22762.573,1729792799999,57423586.61905,50365,12407.632,31301205.96017,0
1729792800000,2521.13,2532.19,2519.54,2527.90,32717.635,1729794599999,82644466.36444,49821,17132.332,43281837.14968,0
1729794600000,2527.90,2530.66,2523.79,2526.29,19914.478,1729796399999,50319667.84500,38371,8075.782,20405069.58151,0
1729796400000,2526.29,2538.46,2521.71,2535.69,29561.276,1729798199999,74816153.53736,50059,17012.040,43067261.12685,0
1729798200000,2535.69,2541.80,2532.44,2539.51,49129.061,1729799999999,124683186.60671,78423,28420.095,72128895.22616,0
1729800000000,2539.51,2540.14,2528.64,2529.16,33849.373,1729801799999,85761941.13349,45735,13354.511,33841152.76594,0
1729801800000,2529.17,2538.00,2526.08,2537.50,26769.744,1729803599999,67803159.45144,41406,16061.092,40681580.44980,0
1729803600000,2537.50,2560.00,2536.45,2551.25,81470.269,1729805399999,207781354.98502,91229,51735.670,131937345.17065,0
1729805400000,2551.25,2553.39,2537.00,2538.10,34017.586,1729807199999,86499031.66603,58667,11680.207,29704792.92572,0
1729807200000,2538.10,2547.26,2536.03,2538.32,26438.233,1729808999999,67190866.47007,46837,13498.954,34312796.52779,0
1729809000000,2538.32,2538.79,2529.72,2532.62,28969.940,1729810799999,73398426.64271,47281,13643.554,34568502.35919,0
1729810800000,2532.63,2534.26,2528.70,2530.46,14868.120,1729812599999,37637186.11949,29910,7789.058,19719217.07123,0
1729812600000,2530.46,2537.12,2529.21,2535.39,14722.986,1729814399999,37302466.93448,29051,9365.556,23730432.14775,0
