open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1708732800000,2923.36,2933.86,2918.04,2932.77,38827.440,1708734599999,113596319.01489,50126,19933.022,58318632.06549,0
1708734600000,2932.77,2938.55,2929.44,2934.72,25149.460,1708736399999,73804618.49601,41208,10869.332,31898216.96347,0
1708736400000,2934.72,2935.00,2917.12,2917.83,33111.613,1708738199999,96895122.34413,48616,15211.929,44517806.16984,0
1708738200000,2917.84,2924.84,2907.16,2910.90,49613.246,1708739999999,144506224.43374,73079,22168.689,64572399.62945,0
1708740000000,2910.90,2925.53,2910.05,2923.66,32010.031,1708741799999,93399666.17643,56846,18740.824,54679350.53598,0
1708741800000,2923.67,2925.90,2917.99,2925.31,17241.553,1708743599999,50378242.49402,36583,8093.927,23650500.51938,0
1708743600000,2925.30,2929.51,2919.56,2927.30,20722.894,1708745399999,60621993.23524,36310,10745.035,31432774.93205,0
1708745400000,2927.29,2935.58,2924.78,2932.37,20578.831,1708747199999,60323113.58100,39730,10178.507,29836275.61283,0
1708747200000,2932.37,2943.00,2930.89,2938.59,38705.544,1708748999999,113716180.38412,61818,18354.212,53924373.26990,0
1708749000000,2938.58,2954.87,2938.58,2948.49,62671.528,1708750799999,184800866.22525,84853,32783.086,96662014.82797,0
1708750800000,2948.49,2954.38,2943.60,2952.50,32981.065,1708752599999,97262750.11694,47867,15939.058,47007314.44640,0
1708752600000,2952.50,2953.33,2948.04,2950.01,14151.542,1708754399999,41755395.20669,28914,6048.079,17845912.04097,0
1708754400000,2950.01,2953.42,2945.88,2948.18,19612.274,1708756199999,57858086.46409,29167,8601.499,25379842.83717,0
1708756200000,2948.17,2951.44,2946.13,2949.14,16533.326,1708757999999,48746002.40545,28062,8444.019,24896426.98742,0
1708758000000,2949.15,2956.20,2946.54,2955.25,22481.152,1708759799999,66358024.75187,41011,13481.306,39797717.43999,0
1708759800000,2955.25,2968.00,2953.75,2965.18,66361.769,1708761599999,196493447.76338,84829,38585.577,114261615.53510,0
1708761600000,2965.18,2966.22,2951.22,2958.38,39988.802,1708763399999,118287980.38316,51617,20519.704,60697420.77616,0
1708763400000,2958.38,2959.92,2949.10,2951.94,25131.475,1708765199999,74224417.13568,41327,10045.410,29665436.14205,0
1708765200000,2951.94,2962.80,2951.23,2959.66,21027.381,1708766999999,62195075.83502,35264,10931.889,32334112.26275,0
1708767000000,2959.66,2964.28,2957.80,2960.13,17813.415,1708768799999,52748454.91972,31747,8982.120,26599188.75602,0
1708768800000,2960.14,2968.36,2956.44,2961.68,31231.825,1708770599999,92538559.02113,49738,15779.903,46761806.90028,0
1708770600000,2961.67,2965.58,2957.32,2960.01,15961.423,1708772399999,47264629.00719,30434,5835.275,17280559.61974,0
1708772400000,2960.02,2964.09,2952.88,2962.54,23235.423,1708774199999,68756948.51243,37974,11851.268,35081272.94524,0
1708774200000,2962.54,2965.73,2961.07,2962.75,18242.183,1708775999999,54059520.04337,28676,9279.451,27499469.62688,0
1708776000000,2962.76,2963.99,2956.80,2957.53,19473.310,1708777799999,57638500.92632,28391,7793.012,23070747.17472,0
1708777800000,2957.54,2962.54,2955.00,2958.78,19135.208,1708779599999,56612203.59037,28900,9756.711,28868603.13692,0
1708779600000,2958.78,2965.80,2955.52,2964.95,18631.688,1708781399999,55177780.74961,27611,9538.998,28250411.52964,0
1708781400000,2964.96,2969.27,2961.98,2968.04,24296.224,1708783199999,72063733.94878,36223,13714.073,40677515.95082,0
1708783200000,2968.04,2970.65,2958.00,2962.73,25278.648,1708784999999,74896844.57564,39986,11845.482,35100534.78374,0
1708785000000,2962.72,2964.75,2954.41,2961.73,27248.853,1708786799999,80622514.06100,39500,12369.637,36599635.36601,0
1708786800000,2961.73,2963.16,2958.40,2959.92,10447.434,1708788599999,30931438.78764,20686,4208.164,12459104.49948,0
1708788600000,2959.92,2962.24,2955.41,2956.51,15402.751,1708790399999,45570150.11833,26364,7829.386,23164736.96470,0
1708790400000,2956.51,2964.93,2956.36,2963.62,20224.931,1708792199999,59908089.83054,33370,10226.672,30292873.50037,0
1708792200000,2963.61,2966.50,2961.70,2964.29,15260.277,1708793999999,45235163.58108,28984,8340.891,24725681.77735,0
1708794000000,2964.28,2984.00,2963.81,2977.89,71660.841,1708795799999,213260289.42256,93352,40628.303,120901428.75453,0
1708795800000,2977.89,3009.29,2977.78,2995.99,175990.797,1708797599999,527101944.45767,181598,98760.511,295783085.55724,0
1708797600000,2995.98,3006.47,2995.40,2998.71,51137.244,1708799399999,153449905.65538,82416,26317.012,78971963.32654,0
1708799400000,2998.71,2998.72,2980.09,2984.05,48181.322,1708801199999,144020772.14522,69075,22991.344,68729725.80876,0
1708801200000,2984.05,2989.45,2980.72,2983.37,31435.038,1708802999999,93861843.99509,44314,15618.799,46640215.69394,0
1708803000000,2983.36,2993.92,2983.36,2989.27,26572.084,1708804799999,79453313.46379,42320,14916.568,44601165.00950,0
1708804800000,2989.27,2990.88,2980.71,2990.12,23542.310,1708806599999,70302766.65557,36592,10483.265,31307636.16840,0
1708806600000,2990.12,2992.48,2985.48,2989.72,21584.686,1708808399999,64529209.10779,31371,11960.290,35759068.09213,0
1708808400000,2989.72,2990.58,2983.01,2986.25,16308.067,1708810199999,48692116.96600,31925,8426.538,25158819.49945,0
1708810200000,2986.25,2993.60,2981.69,2986.88,21935.431,1708811999999,65510824.29241,36988,11140.378,33266488.30389,0
1708812000000,2986.88,2997.97,2986.56,2995.30,23389.439,1708813799999,70008134.85901,36969,15164.729,45390082.35515,0
1708813800000,2995.30,2997.40,2989.87,2990.11,9110.776,1708815599999,27265846.70054,19139,3561.503,10657491.24278,0
1708815600000,2990.11,2992.83,2985.44,2988.40,15945.517,1708817399999,47664154.19936,27124,7507.613,22441765.06552,0
1708817400000,2988.40,2995.00,2986.68,2994.39,14776.147,1708819199999,44216053.00962,24167,8078.241,24171299.80390,0
