open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1716595200000,3729.61,3730.92,3715.03,3723.96,31714.519,1716596999999,118010171.67857,57680,13367.829,49744978.95913,0
1716597000000,3723.96,3730.65,3710.14,3713.40,19402.225,1716598799999,72194027.98180,44114,8882.268,33060737.28459,0
1716598800000,3713.39,3730.35,3712.00,3727.86,19753.712,1716600599999,73512919.20053,41039,11389.271,42376606.18222,0
1716600600000,3727.85,3727.86,3717.64,3718.75,16302.632,1716602399999,60678462.99653,38127,7017.575,26120381.92207,0
1716602400000,3718.74,3739.28,3716.13,3729.76,27445.952,1716604199999,102362593.96445,49557,17056.462,63617307.43387,0
1716604200000,3729.76,3735.00,3722.05,3735.00,17708.098,1716605999999,66017993.80837,36775,8994.754,33539407.28534,0
1716606000000,3735.00,3745.00,3726.98,3740.56,30347.737,1716607799999,113434526.43873,53575,15809.541,59099766.40648,0
1716607800000,3740.58,3749.97,3736.70,3746.88,26869.929,1716609599999,100592085.03979,48826,16033.885,60032575.36950,0
1716609600000,3746.88,3770.35,3746.87,3750.39,64850.461,1716611399999,243635943.07967,99866,37098.374,139373823.09892,0
1716611400000,3750.39,3782.82,3750.38,3770.83,49847.720,1716613199999,187998183.63994,90794,28143.414,106133390.97305,0
1716613200000,3770.83,3773.47,3759.00,3762.52,22912.576,1716614999999,86272454.77115,44401,8649.735,32568814.63771,0
1716615000000,3762.52,3766.49,3752.18,3754.29,24092.065,1716616799999,90533732.57412,47115,10603.093,39846088.36233,0
1716616800000,3754.29,3760.95,3751.66,3758.79,20022.284,1716618599999,75188805.92203,37592,11056.523,41523868.13453,0
1716618600000,3758.80,3759.03,3745.00,3750.01,29281.835,1716620399999,109806964.08769,48427,10686.664,40079275.56364,0
1716620400000,3750.01,3761.29,3749.41,3755.61,18249.344,1716622199999,68528163.16366,38018,10580.210,39730747.73501,0
1716622200000,3755.61,3755.62,3746.13,3747.90,18295.867,1716623999999,68596031.79885,34586,8551.053,32061229.65020,0
1716624000000,3747.91,3756.08,3743.09,3750.04,24434.599,1716625799999,91611698.94584,40950,13323.777,49961413.22900,0
1716625800000,3750.04,3753.26,3741.84,3744.10,16154.955,1716627599999,60535808.58719,34468,7868.759,29487403.14964,0
1716627600000,3744.10,3754.00,3737.80,3752.56,21254.349,1716629399999,79591265.60307,46124,11306.112,42348194.11151,0
1716629400000,3752.55,3763.18,3750.00,3760.74,26593.529,1716631199999,99886183.68088,46641,15776.239,59263441.66825,0
1716631200000,3760.75,3760.75,3752.13,3753.47,15359.235,1716632999999,57696597.44247,27306,6068.392,22797737.84581,0
1716633000000,3753.46,3775.47,3752.42,3768.49,34424.388,1716634799999,129646209.91540,61022,18854.229,70998246.33154,0
