open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714003200000,3138.84,3151.44,3134.75,3149.11,32213.163,1714004999999,101289202.00433,56653,17529.653,55122153.92817,0
1714005000000,3149.12,3160.97,3148.62,3155.11,35569.919,1714006799999,112215238.45449,59383,18462.908,58245035.68636,0
1714006800000,3155.11,3169.50,3154.73,3169.01,33758.810,1714008599999,106734692.06422,53735,16893.415,53417747.79814,0
1714008600000,3169.00,3169.98,3140.50,3141.32,38459.071,1714010399999,121405485.61729,59485,12423.338,39208383.74316,0
1714010400000,3141.32,3162.69,3125.00,3162.36,67630.062,1714012199999,212651733.74106,101636,37507.298,117967548.40732,0
1714012200000,3162.37,3162.37,3148.21,3152.72,22141.795,1714013999999,69834099.79600,41906,9539.870,30084696.38812,0
1714014000000,3152.71,3159.93,3138.71,3147.57,31739.832,1714015799999,99940572.85831,54991,16526.123,52053156.81105,0
1714015800000,3147.57,3154.55,3143.98,3145.68,19778.139,1714017599999,62292983.72335,47938,10481.426,33014587.69982,0
1714017600000,3145.69,3148.83,3124.26,3138.99,55968.276,1714019399999,175376657.67899,87840,25734.067,80645163.68562,0
1714019400000,3138.98,3155.59,3138.28,3155.41,34838.601,1714021199999,109744797.19860,54812,20684.722,65159715.94117,0
1714021200000,3155.42,3156.07,3140.58,3147.24,22103.436,1714022999999,69573085.82158,42581,9540.019,30030316.48025,0
1714023000000,3147.23,3163.98,3146.46,3156.63,25777.458,1714024799999,81404370.83234,42146,13484.627,42583625.30864,0
1714024800000,3156.62,3165.32,3154.66,3161.56,20413.105,1714026599999,64531423.67663,31014,11062.777,34971627.19059,0
1714026600000,3161.56,3166.48,3153.01,3156.24,21773.674,1714028399999,68760129.40478,35046,9495.588,29993101.40627,0
1714028400000,3156.25,3159.03,3145.32,3146.69,24239.197,1714030199999,76424506.26264,39519,9874.055,31141529.00162,0
1714030200000,3146.68,3149.87,3127.64,3134.99,51823.856,1714031999999,162578830.88403,80641,23996.293,75280884.04287,0
1714032000000,3134.99,3148.51,3130.28,3134.04,37547.013,1714033799999,117843849.92393,61009,17013.862,53403144.76992,0
1714033800000,3134.03,3140.87,3120.52,3137.20,52452.027,1714035599999,164145512.14965,87713,26073.678,81614911.75749,0
1714035600000,3137.23,3151.95,3133.48,3138.37,34519.512,1714037399999,108503179.96953,59656,17789.364,55915248.26698,0
1714037400000,3138.37,3141.92,3128.42,3134.88,20935.461,1714039199999,65620611.55090,42631,10634.702,33334750.01818,0
1714039200000,3134.88,3135.00,3075.32,3080.29,232692.532,1714040999999,720625500.38050,273150,96969.918,300259693.87367,0
1714041000000,3080.28,3094.30,3070.16,3082.06,67986.330,1714042799999,209714981.86522,118789,34411.969,106174821.70337,0
1714042800000,3082.05,3104.70,3080.25,3104.70,52163.199,1714044599999,161404962.27155,85305,26687.740,82579987.77242,0
1714044600000,3104.70,3119.39,3096.63,3110.35,49525.448,1714046399999,153996614.59658,85124,22548.851,70120233.41489,0
1714046400000,3110.35,3139.12,3102.55,3127.97,83210.494,1714048199999,259998436.15212,120916,45268.901,141460865.59654,0
1714048200000,3127.96,3157.00,3091.98,3107.60,155080.425,1714049999999,484191485.31552,224013,76263.441,238295804.59902,0
1714050000000,3107.60,3118.28,3080.06,3106.56,117294.209,1714051799999,363429715.37662,184048,56098.375,173858477.77780,0
1714051800000,3106.56,3126.77,3093.92,3122.70,92121.568,1714053599999,286909456.34875,143782,49440.023,153985866.19390,0
1714053600000,3122.72,3144.30,3116.10,3132.81,78582.092,1714055399999,246217430.46377,132443,41256.723,129270797.47450,0
1714055400000,3132.81,3133.24,3103.08,3116.50,67102.799,1714057199999,209225719.87702,121564,29972.894,93452966.96917,0
