open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1703462400000,2265.42,2273.62,2257.08,2264.21,47031.909,1703464199999,106526989.88182,52044,25987.375,58868467.16300,0
1703464200000,2264.20,2266.24,2254.38,2264.46,43659.109,1703465999999,98691694.78285,50694,20471.042,46277598.18478,0
1703466000000,2264.46,2277.00,2264.08,2272.76,43807.332,1703467799999,99496298.32841,44281,26016.795,59084244.53170,0
1703467800000,2272.75,2275.67,2268.46,2272.12,19719.762,1703469599999,44818345.97874,27541,9594.470,21808068.00898,0
1703469600000,2272.11,2275.79,2263.68,2263.69,23690.408,1703471399999,53769488.04256,32903,11645.504,26437371.55820,0
1703471400000,2263.69,2274.92,2260.86,2272.82,38193.264,1703473199999,86657913.23146,40982,21049.248,47758396.64699,0
1703473200000,2272.83,2276.31,2269.52,2274.40,25069.617,1703474999999,56998961.45300,28487,13701.128,31153331.67626,0
1703475000000,2274.41,2278.79,2273.57,2277.82,27524.325,1703476799999,62652338.01932,29535,14169.310,32254459.13272,0
1703476800000,2277.82,2283.86,2276.74,2281.25,32817.180,1703478599999,74818390.40602,34204,17759.781,40493661.33213,0
1703478600000,2281.25,2284.00,2279.16,2281.18,20208.153,1703480399999,46104453.81698,26850,7873.789,17965708.41687,0
1703480400000,2281.19,2283.49,2280.15,2283.26,18487.012,1703482199999,42184296.55218,20975,7849.057,17910003.92917,0
1703482200000,2283.25,2288.00,2282.02,2286.97,31153.884,1703483999999,71191844.31675,31238,16433.300,37554997.76528,0
1703484000000,2286.98,2291.98,2284.99,2291.21,29109.487,1703485799999,66597630.95913,29600,17167.580,39282860.41836,0
1703485800000,2291.21,2291.22,2283.05,2284.69,23451.619,1703487599999,53616775.09091,27277,7873.033,17997901.37921,0
1703487600000,2284.70,2284.70,2278.47,2280.05,25728.467,1703489399999,58693759.79561,26852,9861.212,22495437.28278,0
1703489400000,2280.04,2285.99,2280.00,2282.15,22450.418,1703491199999,51256328.26244,23695,12372.256,28248499.45363,0
1703491200000,2282.16,2289.00,2281.14,2288.00,28980.591,1703492999999,66258632.25924,28856,14282.128,32650009.13288,0
1703493000000,2288.00,2288.29,2273.05,2274.32,53915.985,1703494799999,122913472.08680,47774,21472.042,48942933.00022,0
1703494800000,2274.32,2279.45,2273.10,2274.77,34129.215,1703496599999,77688220.67832,35276,16763.046,38160202.56820,0
1703496600000,2274.77,2277.14,2264.96,2275.24,45617.200,1703498399999,103621749.30104,46373,20694.564,47026452.51197,0
1703498400000,2275.24,2280.99,2273.53,2280.02,18407.287,1703500199999,41916319.94563,23527,11128.231,25343642.28770,0
1703500200000,2280.02,2280.32,2275.10,2278.81,14870.245,1703501999999,33869684.92768,19635,6057.565,13798636.14380,0
1703502000000,2278.81,2282.37,2273.97,2282.27,18201.490,1703503799999,41452800.75016,23029,9795.490,22308502.52553,0
1703503800000,2282.27,2285.64,2279.05,2280.47,30639.656,1703505599999,69940416.99282,36250,15164.480,34616336.01071,0
1703505600000,2280.47,2280.84,2275.18,2277.26,25292.693,1703507399999,57604449.34934,29595,11828.489,26939498.45398,0
1703507400000,2277.26,2303.30,2275.61,2301.71,114514.363,1703509199999,262645246.67477,95779,67214.981,154172561.21740,0
