open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1706140800000,2234.62,2238.21,2228.13,2231.16,37336.579,1706142599999,83385766.51215,48022,16018.181,35775994.65497,0
1706142600000,2231.15,2239.40,2227.25,2234.02,32712.916,1706144399999,73063085.03637,46796,16898.937,37746060.74595,0
1706144400000,2234.01,2234.83,2225.28,2226.81,20868.961,1706146199999,46509630.51376,34829,9993.023,22269965.63788,0
1706146200000,2226.80,2227.94,2208.03,2212.64,58659.354,1706147999999,130057187.30043,70665,25981.802,57606568.87905,0
1706148000000,2212.64,2218.12,2211.83,2216.70,22458.145,1706149799999,49747726.03570,36412,12043.844,26678510.83330,0
1706149800000,2216.70,2217.96,2205.07,2209.13,31988.325,1706151599999,70702792.19231,45212,14051.757,31061813.97737,0
1706151600000,2209.14,2220.71,2208.49,2218.21,32201.271,1706153399999,71302454.61038,40781,20017.348,44327762.22368,0
1706153400000,2218.21,2219.62,2214.43,2216.14,14578.130,1706155199999,32320676.37015,23104,6842.970,15173731.88161,0
1706155200000,2216.14,2218.12,2212.09,2214.56,16167.821,1706156999999,35810433.78977,24517,6559.906,14531710.82139,0
1706157000000,2214.57,2215.27,2208.08,2212.47,14934.457,1706158799999,33036306.83149,28255,6537.580,14459889.04589,0
1706158800000,2212.48,2212.62,2202.41,2205.89,35640.448,1706160599999,78622086.88650,53611,16587.400,36590592.49970,0
1706160600000,2205.89,2212.12,2204.88,2210.01,17743.368,1706162399999,39190822.60910,31324,10527.862,23253173.03657,0
1706162400000,2210.01,2216.58,2209.47,2213.29,20112.243,1706164199999,44505364.75101,32015,10726.145,23737948.23546,0
1706164200000,2213.30,2225.10,2208.74,2223.02,46499.366,1706165999999,103167258.23966,59473,25176.613,55858235.28798,0
1706166000000,2223.01,2226.13,2218.26,2224.76,28293.271,1706167799999,62866242.22899,41976,14998.957,33331649.32437,0
1706167800000,2224.76,2227.47,2221.94,2226.94,21188.356,1706169599999,47134080.13311,31454,12064.354,26840553.43136,0
1706169600000,2226.94,2232.50,2222.94,2223.86,35340.801,1706171399999,78717470.92548,51152,17920.168,39918853.08788,0
1706171400000,2223.87,2225.84,2219.40,2225.22,30032.204,1706173199999,66738534.03726,35152,11184.232,24858297.87985,0
1706173200000,2225.22,2230.81,2223.04,2224.46,23249.597,1706174999999,51776758.08773,33846,12577.610,28014603.21935,0
1706175000000,2224.47,2227.50,2219.35,2221.88,22897.707,1706176799999,50914222.67238,35717,11332.759,25199455.67228,0
1706176800000,2221.89,2224.95,2216.17,2222.81,35301.003,1706178599999,78412020.93479,52090,16411.815,36458487.79284,0
1706178600000,2222.81,2239.81,2222.80,2237.54,60618.533,1706180399999,135394909.72982,80097,37541.796,83846974.67134,0
1706180400000,2237.53,2242.55,2232.08,2238.20,63033.366,1706182199999,141018695.67829,70817,30107.223,67367559.23642,0
1706182200000,2238.19,2239.00,2228.19,2231.10,35168.961,1706183999999,78549884.53268,49286,13840.735,30913021.71716,0
1706184000000,2231.09,2233.91,2213.03,2214.46,56195.607,1706185799999,124933688.04767,72304,24979.581,55542870.09025,0
1706185800000,2214.47,2215.58,2204.01,2208.52,82945.512,1706187599999,183245758.45656,102833,42133.749,93092509.87676,0
1706187600000,2208.52,2209.90,2202.18,2204.36,47335.642,1706189399999,104413297.05022,73397,22637.014,49931497.21191,0
1706189400000,2204.36,2211.05,2196.50,2205.20,74382.678,1706191199999,163870980.82245,100541,35145.330,77438036.54840,0
1706191200000,2205.20,2213.98,2200.85,2209.12,52703.872,1706192999999,116389413.27663,74574,28199.624,62292598.25834,0
1706193000000,2209.12,2216.18,2200.27,2211.15,46866.853,1706194799999,103534384.85943,70494,22972.818,50759892.30508,0
1706194800000,2211.17,2212.82,2185.01,2196.92,94086.483,1706196599999,206727783.70024,101793,37503.223,82398872.55020,0
1706196600000,2196.92,2197.31,2181.03,2187.61,98746.570,1706198399999,216150969.36977,130195,49152.597,107602644.21195,0
1706198400000,2187.61,2193.58,2182.00,2191.40,62719.952,1706200199999,137208075.97530,82039,34730.542,75987202.15116,0
1706200200000,2191.40,2194.81,2184.06,2185.32,34860.473,1706201999999,76347175.78669,54846,17163.594,37592380.63370,0
1706202000000,2185.31,2192.58,2169.04,2190.21,118066.127,1706203799999,257397095.74691,140238,57153.291,124638746.59868,0
1706203800000,2190.16,2203.00,2189.24,2202.77,73550.448,1706205599999,161658400.58672,88681,47880.227,105236349.59248,0
1706205600000,2202.77,2221.59,2202.77,2220.67,93804.078,1706207399999,207644184.83155,108509,53186.162,117730804.37574,0
1706207400000,2220.66,2223.45,2203.62,2210.65,79197.043,1706209199999,175201366.71309,90583,37985.372,84031744.67520,0
1706209200000,2210.64,2214.87,2203.20,2212.99,34929.550,1706210999999,77178875.68525,52643,18469.479,40813431.24673,0
1706211000000,2212.99,2225.00,2210.93,2217.96,44701.868,1706212799999,99169145.19740,61359,23413.204,51939922.23789,0
1706212800000,2217.96,2222.51,2212.86,2222.25,32639.103,1706214599999,72383706.71497,45493,18865.410,41839975.84849,0
1706214600000,2222.25,2223.11,2211.40,2222.15,44816.266,1706216399999,99387148.91116,55571,22929.486,50853967.82508,0
1706216400000,2222.15,2231.10,2219.22,2224.89,56917.191,1706218199999,126699656.88296,70530,30467.088,67827218.35197,0
1706218200000,2224.90,2225.55,2216.20,2219.03,24634.942,1706219999999,54672157.68059,37826,10571.610,23459520.24617,0
1706220000000,2219.03,2219.36,2212.35,2215.92,25385.253,1706221799999,56243844.73213,34357,9797.356,21709547.94400,0
1706221800000,2215.92,2222.88,2212.91,2220.71,16028.419,1706223599999,35548268.95969,26400,8312.212,18434940.52513,0
1706223600000,2220.71,2224.21,2216.68,2217.37,18583.974,1706225399999,41248547.47835,34908,9789.606,21727621.24232,0
1706225400000,2217.37,2220.99,2216.56,2218.02,11703.617,1706227199999,25965790.86793,24242,6039.034,13398963.73431,0
