open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1721865600000,3334.23,3342.02,3328.90,3335.85,32053.107,1721867399999,106928205.72700,52253,18336.318,61172375.42664,0
1721867400000,3335.85,3336.51,3318.79,3323.68,34237.191,1721869199999,113932175.43263,48375,18711.264,62266503.46286,0
1721869200000,3323.64,3323.65,3183.84,3218.30,620565.109,1721870999999,2010640416.36101,608318,263188.532,852017424.88178,0
1721871000000,3218.23,3218.62,3176.69,3213.11,233626.273,1721872799999,748144816.29325,243711,112261.860,359611628.14748,0
1721872800000,3213.08,3213.26,3148.78,3174.61,165328.830,1721874599999,526291317.97237,199892,65789.973,209618850.98470,0
1721874600000,3174.61,3184.05,3155.26,3182.47,126624.657,1721876399999,401659148.33225,179965,63528.352,201570625.05365,0
1721876400000,3182.47,3183.13,3160.66,3176.21,78413.598,1721878199999,248744044.27855,102339,38668.546,122679034.45962,0
1721878200000,3176.21,3178.48,3153.16,3166.40,68880.437,1721879999999,217971586.69948,94828,32306.272,102252401.38488,0
1721880000000,3166.41,3170.94,3125.37,3161.82,121607.566,1721881799999,383523201.49017,143183,56281.238,177619850.50626,0
1721881800000,3161.81,3188.98,3156.01,3181.89,70287.468,1721883599999,223173037.97171,94109,39316.648,124850750.48783,0
1721883600000,3181.90,3189.00,3173.37,3180.79,58985.535,1721885399999,187666671.78576,71791,29482.790,93822722.67713,0
1721885400000,3180.79,3192.85,3180.21,3181.41,39435.416,1721887199999,125678231.94990,54998,18879.848,60175671.22169,0
1721887200000,3181.41,3181.85,3162.01,3175.61,58378.323,1721888999999,185149378.72626,79324,27822.370,88230896.62074,0
1721889000000,3175.60,3184.16,3168.27,3169.16,35523.403,1721890799999,112834360.02287,54623,17794.007,56525146.97747,0
1721890800000,3169.15,3180.00,3159.01,3174.00,58530.305,1721892599999,185522149.38935,69544,32224.997,102157292.07061,0
1721892600000,3173.99,3182.63,3167.36,3170.22,39926.812,1721894399999,126762561.92010,54484,17587.344,55842206.63447,0
1721894400000,3170.22,3176.22,3151.16,3161.00,71847.116,1721896199999,227323403.82101,90889,34288.332,108510405.20680,0
1721896200000,3161.00,3179.79,3155.28,3175.47,47139.800,1721897999999,149364863.73227,70550,27639.103,87589693.75323,0
1721898000000,3175.48,3185.48,3170.38,3183.20,37469.087,1721899799999,119060831.66616,55984,20480.254,65084663.24347,0
1721899800000,3183.20,3186.58,3168.30,3173.99,31033.685,1721901599999,98598298.73156,45764,14415.835,45795608.83337,0
1721901600000,3173.99,3175.00,3153.00,3157.74,58888.471,1721903399999,186275722.75785,72776,27939.923,88383355.28303,0
1721903400000,3157.74,3169.00,3153.53,3168.05,44011.734,1721905199999,139139851.53758,65703,24253.887,76682709.90394,0
1721905200000,3168.06,3178.55,3167.57,3177.83,38267.507,1721906999999,121474455.17907,52352,19438.293,61704640.34729,0
1721907000000,3177.83,3178.99,3168.00,3170.88,28637.709,1721908799999,90886136.02708,40173,11487.554,36460025.52834,0
1721908800000,3170.89,3182.56,3163.43,3167.24,39065.524,1721910599999,124028276.34896,55929,17988.454,57122096.72002,0
1721910600000,3167.24,3178.98,3136.09,3150.15,145278.334,1721912399999,457726727.91599,171703,71811.961,226284314.85370,0
1721912400000,3150.14,3156.93,3126.78,3154.05,107556.333,1721914199999,337894393.26876,134458,53767.349,168970118.10447,0
1721914200000,3154.05,3167.95,3139.56,3153.76,105767.375,1721915999999,333568425.50995,152395,56554.308,178378573.04112,0
1721916000000,3153.75,3162.71,3103.50,3160.20,218017.863,1721917799999,682350456.41251,243566,98970.901,309968996.75358,0
1721917800000,3160.19,3176.96,3148.00,3170.63,135861.770,1721919599999,430077820.03518,158883,67452.581,213578508.31741,0
1721919600000,3170.63,3173.93,3136.66,3139.29,105389.824,1721921399999,332504417.42886,130584,51221.122,161627800.53264,0
1721921400000,3139.30,3149.00,3130.12,3140.81,66764.382,1721923199999,209511312.16090,92080,37329.039,117159194.51359,0
1721923200000,3140.81,3158.29,3131.32,3157.01,65180.144,1721924999999,205036397.11434,98133,34494.408,108506081.83616,0
1721925000000,3157.18,3171.00,3150.08,3153.92,62174.156,1721926799999,196534136.55716,88654,30765.990,97255441.88445,0
1721926800000,3153.94,3170.00,3150.50,3164.87,36895.974,1721928599999,116746644.10073,57011,20045.344,63428013.99423,0
1721928600000,3164.87,3169.27,3155.29,3164.51,31060.687,1721930399999,98218601.87178,58948,15251.758,48222781.15359,0
1721930400000,3164.52,3170.00,3140.48,3144.04,53974.114,1721932199999,170375448.60319,76332,24855.006,78466484.56404,0
1721932200000,3144.02,3147.91,3096.54,3114.21,140081.236,1721933999999,436913215.18876,153119,61697.734,192493978.97049,0
1721934000000,3114.22,3138.56,3100.05,3131.37,93100.530,1721935799999,290386926.48638,122512,46813.114,146038258.93746,0
1721935800000,3131.37,3134.17,3105.38,3122.04,65758.375,1721937599999,205090103.53061,95650,30956.924,96542139.92778,0
1721937600000,3122.04,3124.52,3085.57,3116.38,116463.633,1721939399999,361164113.99383,148874,56312.583,174700038.83208,0
1721939400000,3116.39,3155.54,3107.19,3153.61,88203.402,1721941199999,276137219.51311,103848,52425.853,164195188.69382,0
1721941200000,3153.61,3198.00,3149.23,3175.60,119084.857,1721942999999,377765132.75306,142952,64149.192,203543956.26938,0
1721943000000,3175.60,3185.00,3160.62,3175.56,79004.342,1721944799999,250795932.04099,92753,41041.647,130318770.35230,0
1721944800000,3175.56,3186.13,3160.40,3172.15,55109.709,1721946599999,174820562.12643,67635,25529.400,80996894.04723,0
1721946600000,3172.15,3177.45,3162.39,3163.79,26389.788,1721948399999,83628372.83934,46499,10829.375,34320601.28007,0
1721948400000,3163.78,3176.27,3161.66,3170.71,27022.514,1721950199999,85622341.31066,37092,12167.026,38552474.77551,0
1721950200000,3170.71,3178.57,3169.00,3173.67,21378.848,1721951999999,67872977.79730,33521,10915.585,34655401.81195,0
