open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1719273600000,3351.99,3358.88,3346.81,3348.68,33530.582,1719275399999,112410922.40645,48283,15310.083,51328791.57076,0
1719275400000,3348.68,3359.96,3341.55,3346.29,32574.472,1719277199999,109083130.69697,45945,16299.865,54581735.20908,0
1719277200000,3346.30,3347.54,3336.79,3339.96,29635.763,1719278999999,99015912.05375,43754,13087.801,43730544.92984,0
1719279000000,3339.96,3349.85,3335.58,3348.37,26320.408,1719280799999,87956496.66677,42408,15876.173,53070335.11184,0
1719280800000,3348.37,3353.65,3337.93,3340.05,38831.374,1719282599999,129908347.60512,53702,18150.176,60728125.58378,0
1719282600000,3340.37,3351.91,3338.53,3343.71,33784.300,1719284399999,113058413.62045,53492,17901.153,59909251.36978,0
1719284400000,3343.70,3385.00,3341.15,3374.60,131046.190,1719286199999,441865145.07044,122976,68967.770,232512240.28173,0
1719286200000,3374.60,3383.00,3368.77,3370.38,43286.238,1719287999999,146158122.09933,59035,16210.471,54748667.52021,0
1719288000000,3370.38,3388.93,3370.17,3384.54,41529.340,1719289799999,140332068.43548,58583,22948.933,77552352.99935,0
1719289800000,3384.54,3393.38,3380.10,3389.59,29999.336,1719291599999,101609941.99638,48419,16118.723,54595875.22255,0
1719291600000,3389.78,3393.98,3386.00,3390.13,26826.337,1719293399999,90960616.49429,38888,13495.408,45759292.30181,0
1719293400000,3390.13,3392.35,3367.36,3373.96,57676.881,1719295199999,194782764.94160,58664,23330.206,78788260.34592,0
1719295200000,3373.97,3376.71,3366.86,3368.39,32052.237,1719296999999,108040784.31051,42510,15245.682,51399486.40963,0
1719297000000,3368.39,3378.78,3367.25,3369.48,19038.117,1719298799999,64202837.46117,31358,9170.768,30928497.88597,0
1719298800000,3369.48,3378.23,3358.35,3359.80,35900.349,1719300599999,120823458.91945,46231,17217.480,57957208.49150,0
1719300600000,3359.81,3366.37,3356.00,3360.49,35899.614,1719302399999,120669339.65519,47002,17547.357,58981590.07634,0
1719302400000,3360.49,3365.75,3352.47,3355.01,35274.473,1719304199999,118504398.08504,47293,15677.145,52681623.03410,0
1719304200000,3355.00,3355.01,3345.00,3353.82,35594.198,1719305999999,119263858.40392,50829,17176.679,57552530.24079,0
1719306000000,3353.81,3366.00,3353.15,3362.00,22468.733,1719307799999,75492460.91370,37590,14118.751,47437904.82947,0
1719307800000,3361.99,3395.24,3358.95,3382.09,74318.119,1719309599999,251163251.81765,99145,43155.805,145854775.75846,0
1719309600000,3382.08,3384.62,3369.37,3372.61,31472.633,1719311399999,106288419.99576,59515,14515.935,49024152.89276,0
1719311400000,3372.61,3380.40,3364.11,3376.32,25637.754,1719313199999,86449470.85494,45935,12821.945,43239540.75237,0
1719313200000,3376.31,3385.85,3375.24,3376.36,23563.094,1719314999999,79667382.29190,42547,11869.946,40141481.43166,0
1719315000000,3376.37,3379.54,3370.07,3375.03,20470.748,1719316799999,69089187.53614,38028,10187.973,34389340.00313,0
1719316800000,3375.02,3379.54,3363.79,3372.83,34633.130,1719318599999,116750305.27784,58963,14287.246,48164380.50769,0
1719318600000,3372.83,3375.80,3362.14,3364.55,23203.971,1719320399999,78146942.14472,46198,8490.348,28595603.09124,0
1719320400000,3364.56,3372.49,3364.04,3372.34,18879.737,1719322199999,63599977.57011,39173,8629.478,29070663.53635,0
1719322200000,3372.33,3380.69,3357.00,3366.48,59017.141,1719323999999,198711381.23413,88188,31067.685,104615176.97166,0
1719324000000,3366.48,3406.50,3361.66,3403.70,95621.251,1719325799999,323977202.73835,121353,54253.508,183832437.83487,0
1719325800000,3403.70,3413.00,3395.16,3401.41,95696.806,1719327599999,325731067.25575,129319,42778.329,145637899.97261,0
1719327600000,3401.42,3423.50,3394.06,3419.84,99767.845,1719329399999,340248025.15841,121811,53109.000,181160408.46209,0
1719329400000,3419.83,3423.50,3409.57,3417.63,55258.684,1719331199999,188803588.42894,78661,29137.056,99552587.78856,0
1719331200000,3417.63,3423.47,3398.39,3400.40,60558.346,1719332999999,206502108.96137,80762,27888.375,95128136.95619,0
1719333000000,3400.39,3403.00,3380.20,3382.33,55748.373,1719334799999,189063702.35122,82960,27997.442,94945066.12546,0
1719334800000,3382.33,3404.68,3380.53,3400.81,44975.405,1719336599999,152542332.63603,60280,28884.724,97962059.46028,0
1719336600000,3400.81,3402.92,3385.88,3387.57,31086.202,1719338399999,105432031.76057,48773,12283.809,41658119.05481,0
1719338400000,3387.57,3416.50,3383.26,3415.99,85150.199,1719340199999,289669968.77753,92155,48194.115,163952938.45417,0
1719340200000,3415.98,3422.72,3405.08,3416.19,61188.036,1719341999999,208867544.36205,80117,31002.125,105832635.46736,0
1719342000000,3416.19,3431.27,3405.16,3414.88,64636.870,1719343799999,220739513.87440,79062,33504.195,114456896.53651,0
1719343800000,3414.89,3420.47,3409.42,3414.29,23367.649,1719345599999,79787717.97088,43129,11851.497,40469849.91207,0
