open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1711324800000,3457.16,3463.68,3435.38,3443.58,52834.231,1711326599999,182014086.64851,87423,24843.990,85589979.00173,0
1711326600000,3443.57,3445.72,3422.18,3431.13,32697.848,1711328399999,112211350.29105,66139,14314.180,49114892.32823,0
1711328400000,3431.12,3449.31,3428.53,3439.01,37482.262,1711330199999,128896330.88781,61846,17813.720,61271142.58794,0
1711330200000,3439.01,3440.85,3425.83,3431.50,17898.548,1711331999999,61443651.06854,45444,8088.615,27769941.98182,0
1711332000000,3431.49,3441.00,3422.41,3437.54,28749.055,1711333799999,98652632.50041,58167,13260.362,45513475.46690,0
1711333800000,3437.50,3447.77,3437.22,3442.99,22099.764,1711335599999,76087677.48857,48320,12309.404,42380130.42221,0
1711335600000,3443.08,3447.60,3436.17,3437.64,14077.985,1711337399999,48456607.82013,36008,5745.541,19780523.29967,0
1711337400000,3437.64,3457.98,3436.47,3457.06,29065.105,1711339199999,100208898.18807,58004,16805.432,57944017.82266,0
1711339200000,3457.05,3470.00,3448.84,3457.67,43704.077,1711340999999,151169358.51762,88608,23075.568,79835558.23454,0
1711341000000,3457.67,3493.61,3456.00,3492.00,53169.917,1711342799999,184886973.01009,96605,31331.190,108945240.93903,0
1711342800000,3492.00,3501.68,3484.00,3496.56,50758.771,1711344599999,177332046.94098,96671,24527.120,85711436.62599,0
1711344600000,3496.56,3508.80,3486.29,3488.39,36477.704,1711346399999,127555081.79387,74492,16682.993,58355468.89859,0
1711346400000,3488.39,3490.16,3471.09,3473.38,29920.204,1711348199999,104125532.03981,54023,12176.643,42375679.88760,0
1711348200000,3473.39,3474.11,3460.00,3469.44,33602.428,1711349999999,116489563.88947,63417,16000.602,55476289.47744,0
1711350000000,3469.44,3479.04,3465.34,3469.56,25019.408,1711351799999,86866302.40224,53392,12489.216,43367176.77417,0
1711351800000,3469.57,3469.74,3443.16,3446.71,42774.989,1711353599999,147777536.20133,74351,17560.453,60667311.96992,0
1711353600000,3446.72,3462.16,3445.09,3454.81,30604.419,1711355399999,105733075.89220,64606,16717.159,57756169.37997,0
1711355400000,3454.81,3459.62,3442.48,3451.02,25614.812,1711357199999,88379970.95885,60326,11819.577,40783998.96316,0
1711357200000,3451.01,3455.62,3441.14,3444.41,21934.024,1711358999999,75617604.96522,47745,11031.398,38034823.35229,0
1711359000000,3444.41,3462.34,3436.45,3458.96,35451.142,1711360799999,122244087.40224,67558,18334.903,63237795.53914,0
1711360800000,3458.95,3474.98,3454.84,3463.02,39915.713,1711362599999,138424466.62087,77067,21150.103,73348375.88344,0
1711362600000,3463.03,3470.04,3447.26,3457.26,32583.913,1711364399999,112631938.92467,62293,12642.836,43703086.44696,0
1711364400000,3457.26,3458.09,3433.81,3441.54,32331.773,1711366199999,111309166.00003,68463,14080.938,48473044.43572,0
1711366200000,3441.54,3447.64,3434.60,3438.40,22209.511,1711367999999,76383545.89733,63084,11703.460,40255316.12565,0
